Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	238/1406	2.957497e-41	1.978566e-38	0	0	3.140316e+00	2.930594e+02	EIF4A2;RPL5;TCERG1;RPL30;RPL31;RPL34;RTCB;IFIT5;HNRNPR;THUMPD1;RPL8;RPL9;CCAR2;GPATCH8;RRP8;IFIT3;LSM10;RPS15;PNN;RPS16;SNRPD2;RPS19;RPL18A;RPS18;RPL36;RPL35;DENR;RPL37;RPS11;RPS13;SRRM2;DDX18;MBNL1;RPL21;SCAF11;RPL23;CRNKL1;SND1;CDC40;DDX39A;EWSR1;TEP1;CLNS1A;SUB1;RPL27;SUCLG1;KCTD12;RPL29;EZR;EIF1B;ANP32A;MEPCE;NOLC1;AKAP17A;MRPL12;GSPT1;RRP7A;LTA4H;BTF3;JUN;ZRANB2;XRCC5;KNOP1;MRPL28;PRRC2C;PRRC2A;SETX;AIMP1;HNRNPM;RPS28;EIF5;HNRNPK;RPS27;FUBP1;GRB2;RNPS1;RPS20;RPS21;DZIP3;RPS24;RPS23;RPLP0;GDI2;ADK;ZCCHC17;MRPL32;MRPL40;C1QBP;ANXA7;PARP1;NSUN5;PRMT1;PABPC4;STRBP;MRPS23;PPHLN1;MRPL45;PPRC1;GNL3;DUS2;NSA2;HNRNPH1;CSDE1;CANX;TCP1;PABPC1;DCP2;STAU1;RPL10;RPL12;RPL11;USO1;AKAP8;MRPS30;MRPL54;RBM15B;EXOSC10;RPS15A;RPL13;RPL15;RPS2;RPS27A;EXOSC3;RPL18;RPL17;CCT4;RPL19;NPM1;SF3A1;SF3A2;CMSS1;HNRNPA2B1;RPL22L1;FAU;PEBP1;SRP14;RPL10A;EDC3;ZNF207;FBRSL1;CAST;RARS2;PNISR;SUPT16H;RPS9;RPS7;EIF1AX;RPS8;RPS5;PUS1;RPS6;RPSA;LARP4B;POLRMT;TUFM;PDIA4;EEF1A1;NCL;SIDT1;SRSF4;SRSF5;SNRPF;SRSF7;SNRPB;LRRC59;ZCCHC7;DDX5;RPS19BP1;DDX1;IREB2;ZCCHC9;RPF1;ZFP36L1;STIP1;RNASEH1;HNRNPDL;SAFB2;FDPS;TDRD7;TBCA;EEF2;LSM4;LSM3;LSM2;LSM7;GNL3L;DDX3Y;DIDO1;HSP90AB1;PSIP1;HMGB1;YBX1;ELAVL1;YBX3;DUSP11;RPL7A;UBTF;LRRFIP1;RBM7;RBM33;EIF5A;EIF5B;NCBP1;SPATS2;DDX54;RPL13A;EDF1;RPS3A;UTP18;OAS1;C1D;RPL37A;RP9;DDX24;SRBD1;PARN;RBM4B;CSTF2T;U2AF1;ADD1;IFI16;PUF60;TRA2B;TRA2A;POLR2G;EIF4E;SMNDC1;HNRNPA0;PTCD3;PTPN1;NOP58;CNBP;CCDC59;RPL23A;NAP1L1;EIF3L;EIF3H;EIF3D
GO_Molecular_Function_2021	ubiquitin ligase inhibitor activity (GO:1990948)	7/8	5.274063e-08	1.764174e-05	0	0	9.559824e+01	1.602024e+03	RPS15;RPL5;RPS7;RPL23;RPL11;RPS20;RPL37
GO_Molecular_Function_2021	ubiquitin-protein transferase inhibitor activity (GO:0055105)	7/9	2.231835e-07	4.976992e-05	0	0	4.779655e+01	7.320172e+02	RPS15;RPL5;RPS7;RPL23;RPL11;RPS20;RPL37
GO_Molecular_Function_2021	MHC class II protein complex binding (GO:0023026)	9/17	4.784199e-07	7.800891e-05	0	0	1.538078e+01	2.238331e+02	CD74;HLA-DMA;HSP90AB1;HLA-DMB;CD81;HLA-DRA;HLA-DOB;MS4A1;HLA-DRB1
GO_Molecular_Function_2021	mRNA binding (GO:0003729)	41/263	6.508177e-07	7.800891e-05	0	0	2.556008e+00	3.641043e+01	RPL5;DDX5;SHMT2;IREB2;SRBD1;PARN;CSTF2T;RBM4B;HNRNPR;ELAVL1;YBX3;EDC3;ZFP36L1;C1QBP;TRA2B;RPL35;DENR;RPS2;RPS13;HNRNPA0;SRRM2;RPS7;NCBP1;PABPC4;RPS5;CNBP;RPL13A;TDRD7;RPS3A;LARP4B;GNL3;HNRNPM;HNRNPK;FUBP1;NCL;HNRNPA2B1;RNPS1;SRSF4;PABPC1;SRSF5;EIF3D
GO_Molecular_Function_2021	MHC class II receptor activity (GO:0032395)	7/10	6.996315e-07	7.800891e-05	0	0	3.186266e+01	4.515803e+02	HLA-DRA;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Molecular_Function_2021	nucleoside kinase activity (GO:0019206)	4/5	1.039403e-04	9.933722e-03	0	0	5.450768e+01	4.999278e+02	DGUOK;ADK;CMPK1;DCK
GO_Molecular_Function_2021	ubiquitin protein ligase binding (GO:0031625)	35/265	1.458548e-04	1.219711e-02	0	0	2.095694e+00	1.851106e+01	RPL5;BECN1;CD40;HSP90AB1;RALB;RPL11;CXCR4;SMC6;AUP1;TANK;UBE2J1;BAG6;MAP1LC3B;UBB;UBXN7;RPS27A;RFFL;CCDC50;GABARAPL2;MOAP1;DAXX;JUN;SHPRH;CAMLG;XRCC5;RPL23;LAPTM5;UBE2G1;TRAF2;PML;TCP1;TRAF5;TXNIP;UBA52;ZNF675
GO_Molecular_Function_2021	translation elongation factor activity (GO:0003746)	6/14	1.908174e-04	1.298631e-02	0	0	1.023132e+01	8.762299e+01	EIF5A;EIF5AL1;EEF1A1;EEF1B2;EEF2;TUFM
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	40/322	1.941153e-04	1.298631e-02	0	0	1.955230e+00	1.671147e+01	LRRC59;RAB1A;HSP90AB1;RPL34;USO1;ARHGAP1;CAPG;CBL;ADD1;PDLIM1;RPL7A;SNX2;PUF60;COBLL1;RPL15;RPS2;LRRFIP1;CLIC1;WASF2;SNX5;CAST;USP8;PTPN1;DBNL;SWAP70;IDH1;RPL23A;EEF2;SND1;PPP1CA;EHD1;CCS;EIF5;HNRNPK;VAPA;CAPZA1;ABI1;CHMP4B;EZR;RPL29
