Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	89/488	1.157643e-17	2.996355e-14	0	0	3.171873e+00	1.236953e+02	GHDC;ITGAM;SLC44A2;GMFG;ITGB2;SNAP23;LPCAT1;SLC2A3;MAGT1;HMGB1;PSMD6;PSMD7;ACTR1B;LAMP1;LAMP2;TOM1;RAC1;CAPN1;OSTF1;B2M;GOLGA7;CTSD;CTSC;CAP1;CD53;CCT2;SERPINB1;HSP90AA1;MANBA;DBNL;FCER1G;NHLRC3;CD300A;ATP6AP2;HLA-B;HLA-C;ARMC8;TMC6;MIF;RHOF;IRAK4;DYNLL1;UNC13D;SERPINB6;APRT;PSMA5;VAMP8;FGR;ACLY;VAMP7;TYROBP;BIN2;CSNK2B;PPIE;DOCK2;PPIA;VAMP2;ARL8A;RAB7A;CD63;GSTP1;HVCN1;IQGAP2;PLAC8;RAP1B;SYNGR1;PRDX4;PSMB1;ORMDL3;MAPK1;STOM;LTA4H;CCT8;LAIR1;DYNC1H1;HSPA8;GSN;TRAPPC1;TMEM30A;XRCC5;CMTM6;BST2;PTPRC;VAPA;SELL;RAB18;PTPN6;LAMTOR1;YPEL5
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	88/481	1.448214e-17	2.996355e-14	0	0	3.182681e+00	1.234040e+02	GHDC;ITGAM;SLC44A2;GMFG;ITGB2;SNAP23;LPCAT1;SLC2A3;MAGT1;HMGB1;PSMD6;PSMD7;ACTR1B;LAMP1;LAMP2;TOM1;RAC1;CAPN1;OSTF1;B2M;GOLGA7;CTSD;CTSC;CAP1;CD53;CCT2;SERPINB1;HSP90AA1;MANBA;DBNL;FCER1G;NHLRC3;CD300A;ATP6AP2;HLA-B;HLA-C;ARMC8;TMC6;MIF;RHOF;DYNLL1;UNC13D;SERPINB6;APRT;PSMA5;VAMP8;FGR;ACLY;VAMP7;TYROBP;BIN2;CSNK2B;PPIE;DOCK2;PPIA;VAMP2;ARL8A;RAB7A;CD63;GSTP1;HVCN1;IQGAP2;PLAC8;RAP1B;SYNGR1;PRDX4;PSMB1;ORMDL3;MAPK1;STOM;LTA4H;CCT8;LAIR1;DYNC1H1;HSPA8;GSN;TRAPPC1;TMEM30A;XRCC5;CMTM6;BST2;PTPRC;VAPA;SELL;RAB18;PTPN6;LAMTOR1;YPEL5
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	88/485	2.475869e-17	3.415048e-14	0	0	3.149922e+00	1.204447e+02	GHDC;ITGAM;SLC44A2;GMFG;ITGB2;SNAP23;LPCAT1;SLC2A3;MAGT1;HMGB1;PSMD6;PSMD7;ACTR1B;LAMP1;LAMP2;TOM1;RAC1;CAPN1;OSTF1;B2M;GOLGA7;CTSD;CTSC;CAP1;CD53;CCT2;SERPINB1;HSP90AA1;MANBA;DBNL;FCER1G;NHLRC3;CD300A;ATP6AP2;HLA-B;HLA-C;ARMC8;TMC6;MIF;RHOF;DYNLL1;UNC13D;SERPINB6;APRT;PSMA5;VAMP8;FGR;ACLY;VAMP7;TYROBP;BIN2;CSNK2B;PPIE;DOCK2;PPIA;VAMP2;ARL8A;RAB7A;CD63;GSTP1;HVCN1;IQGAP2;PLAC8;RAP1B;SYNGR1;PRDX4;PSMB1;ORMDL3;MAPK1;STOM;LTA4H;CCT8;LAIR1;DYNC1H1;HSPA8;GSN;TRAPPC1;TMEM30A;XRCC5;CMTM6;BST2;PTPRC;VAPA;SELL;RAB18;PTPN6;LAMTOR1;YPEL5
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	30/78	1.222822e-15	1.265010e-12	0	0	8.660048e+00	2.973654e+02	SNAP23;PSMA7;PSMB10;PSMD8;PSMB6;PSMD9;PSMD6;PSMD7;PSMB2;PSMB1;B2M;PDIA3;FCER1G;HLA-B;HLA-C;LNPEP;HLA-A;HLA-F;PSMB8;HLA-E;PSMB9;PSMA5;VAMP8;PSMA6;PSMA4;PSMA1;PSMC4;PSME1;PSME2;CALR
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	28/73	1.183860e-14	9.797624e-12	0	0	8.610110e+00	2.761039e+02	SNAP23;PSMA7;PSMB10;PSMD8;PSMB6;PSMD9;PSMD6;PSMD7;PSMB2;PSMB1;B2M;PDIA3;HLA-B;HLA-C;HLA-A;HLA-F;PSMB8;HLA-E;PSMB9;PSMA5;VAMP8;PSMA6;PSMA4;PSMA1;PSMC4;PSME1;PSME2;CALR
GO_Biological_Process_2021	mRNA processing (GO:0006397)	59/300	1.383918e-13	9.544420e-11	0	0	3.431118e+00	1.015909e+02	HNRNPU;ELAVL1;UBL5;SART1;SNRNP70;MAGOH;SNRNP35;TXNL4A;CMTR2;RBM5;SRRM2;BUD31;CRNKL1;GTF2F2;THOC6;DDX39A;PRPF6;SYF2;SNRPG;PPIE;SRSF3;GEMIN6;SNRPE;SRSF4;SNRPA1;SNRNP25;SNRPF;SRSF5;AURKAIP1;SRSF9;SF3B5;DDX5;SF3B3;SRSF1;SUPT4H1;PRPF8;POLR2G;RALY;SF3A3;HSPA8;CHTOP;HNRNPA3;PPIL1;PRPF38A;CPSF6;UPF3B;LSM4;CHERP;LSM2;HNRNPL;HNRNPM;HNRNPK;SNW1;LSM6;ERCC3;MFAP1;HNRNPA2B1;HNRNPD;HNRNPC
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	43/179	2.560785e-13	1.513790e-10	0	0	4.402900e+00	1.276546e+02	IFITM1;SPPL2A;ITGB2;ICAM2;ICAM3;SLA2;KIR2DL3;ICAM1;SPN;FCGR3A;CASP8;SLAMF7;SLAMF6;ITGB7;KLRC1;B2M;CD99;LAIR1;MICA;LYN;CD96;CD300A;SH2D1A;ERAP1;HLA-B;SH2D1B;HLA-C;PILRB;KIR3DL1;HLA-A;KIR3DL2;HLA-F;HLA-E;FGR;NCR3;TYROBP;CLEC2B;SELL;KLRF1;IRF7;KLRD1;CD247;HCST
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	52/251	4.721578e-13	2.442236e-10	0	0	3.651160e+00	1.036252e+02	HNRNPU;ELAVL1;UBL5;SART1;SNRNP70;MAGOH;SNRNP35;TXNL4A;RBM5;SRRM2;BUD31;CRNKL1;GTF2F2;DDX39A;PRPF6;SYF2;SNRPG;PPIE;SRSF3;GEMIN6;SNRPE;SRSF4;SNRPA1;SNRNP25;SNRPF;SRSF5;SRSF9;SF3B5;DDX5;SF3B3;SRSF1;PRPF8;POLR2G;RALY;SF3A3;HSPA8;HNRNPA3;PPIL1;PRPF38A;UPF3B;LSM4;CHERP;LSM2;HNRNPL;HNRNPM;HNRNPK;SNW1;LSM6;MFAP1;HNRNPA2B1;HNRNPD;HNRNPC
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	54/274	1.380375e-12	6.346658e-10	0	0	3.430959e+00	9.369491e+01	HNRNPU;ELAVL1;UBL5;SART1;SNRNP70;MAGOH;SNRNP35;TXNL4A;RBM5;DDX17;SRRM2;BUD31;CRNKL1;GTF2F2;DDX39A;PRPF6;SYF2;SNRPG;STRAP;PPIE;SRSF3;GEMIN6;SNRPE;SRSF4;SNRPA1;SNRNP25;SNRPF;SRSF5;SRSF9;SF3B5;DDX5;SF3B3;SRSF1;PRPF8;POLR2G;RALY;SF3A3;HSPA8;HNRNPA3;PPIL1;PRPF38A;UPF3B;LSM4;CHERP;LSM2;HNRNPL;HNRNPM;HNRNPK;SNW1;LSM6;MFAP1;HNRNPA2B1;HNRNPD;HNRNPC
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	92/621	1.535040e-12	6.351997e-10	0	0	2.461162e+00	6.694967e+01	IFITM1;ITGAM;IFITM2;TRADD;ITGB2;IRS2;RORA;FASLG;SLA2;ICAM1;PSMD8;PSMD9;PSMD6;PSMD7;IL18RAP;CFL1;PIM1;MAP3K8;B2M;TRIM22;JAK1;SKP1;HSP90AA1;ANXA1;FCER1G;TNFRSF18;HLA-B;HLA-C;HLA-A;MIF;TYK2;IRAK4;HLA-F;COMMD7;YWHAZ;HLA-E;PSMA5;PSMA6;PSMA4;PSMA1;IFNG;IRF3;OAS1;TCP1;CSNK2B;PSME1;XCL2;IRF7;PSME2;XCL1;SNRPA1;LCP1;SQSTM1;PPIA;IRF9;SP100;CEBPD;IL2RG;PSMA7;RELA;PSMB10;HSP90B1;PSMB6;RAP1B;SOCS1;PSMB2;IRAK1;UBB;IRAK2;INPP5D;PSMB1;CCL4;CCL3;PTK2B;STAT6;NCAM1;HSPA8;TGFB1;MX1;MSN;ISG15;PSMB8;PSMB9;BST2;POMC;PSMC4;IL2RB;HNRNPA2B1;UBE2N;PTPN6;GRB2;P4HB
