Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	ficolin-1-rich granule (GO:0101002)	55/184	2.105701e-21	7.559468e-19	0	0	5.993615e+00	2.853538e+02	CDA;DDX3X;SERPINA1;TMEM179B;GMFG;TCIRG1;AP2A2;CTSS;PSMD6;FTH1;PSMD2;COTL1;TBC1D10C;OSTF1;CTSD;CTSB;ACTR2;HSP90AA1;CR1;DBNL;FCER1G;CD300A;ATP6AP2;NME2;COMMD3;DYNLL1;SERPINB6;CLEC4D;DOK3;BIN2;CSNK2B;ALDOA;CFD;CSTB;ASAH1;PSMD11;COPB1;MVP;FGL2;PRCP;GNS;LILRA3;CST3;PSMB7;COMMD9;MAPK1;LTA4H;CCT8;NBEAL2;ARPC5;LILRB2;PFKL;IMPDH1;PSMC2;HSPA1A
GO_Cellular_Component_2021	secretory granule membrane (GO:0030667)	63/274	7.310195e-18	1.312180e-15	0	0	4.204291e+00	1.658898e+02	SLC44A2;TMEM179B;LPCAT1;TCIRG1;ITGAL;AP2A2;SIRPB1;STK10;FCGR3B;TBC1D10C;SNAP29;CD53;FCER1G;CR1;CD300A;APLP2;ATP6AP2;HLA-B;RHOG;PLAUR;ADAM10;CYBB;CYBA;KCNAB2;DYNLL1;TNFRSF1B;CKAP4;SERPINB6;CEACAM3;CLEC4D;DOK3;TYROBP;DNAJC5;CD47;CD44;VAMP2;RAB5C;BRI3;COPB1;PTAFR;C5AR1;PRCP;SRI;LILRA3;AGPAT2;NCSTN;PSAP;ATP6V1D;LAIR1;CMTM6;NBEAL2;LILRB2;IGF2R;BST2;TSPAN14;PTPRC;VAPA;P2RX1;RAB18;CYSTM1;LAMTOR2;CD68;CYB561
GO_Cellular_Component_2021	ficolin-1-rich granule lumen (GO:1904813)	38/123	9.802137e-16	1.172989e-13	0	0	6.219249e+00	2.149295e+02	CFD;CDA;CSTB;ASAH1;PSMD11;DDX3X;SERPINA1;GMFG;MVP;FGL2;GNS;CTSS;CST3;PSMB7;PSMD6;COMMD9;FTH1;PSMD2;COTL1;MAPK1;OSTF1;LTA4H;CCT8;CTSD;CTSB;ACTR2;HSP90AA1;DBNL;NME2;COMMD3;ARPC5;PFKL;BIN2;IMPDH1;CSNK2B;PSMC2;ALDOA;HSPA1A
GO_Cellular_Component_2021	lysosome (GO:0005764)	83/477	2.535850e-15	2.275925e-13	0	0	2.982440e+00	1.002346e+02	IFITM3;IFITM1;IFITM2;SLC44A2;SPPL2A;ARRB1;TCIRG1;IFI30;LIPA;CTSS;FLCN;LAPTM4A;CTSL;RB1CC1;ACP2;CTSD;CTSC;CTSB;RAB2A;NSF;SRGN;HSP90AA1;ATP6V0B;ATP6V0E1;ANXA2;DTX3L;RNASET2;ATP6AP2;HLA-F;MFSD12;HCK;RRAGA;LMBRD1;RRAGC;NPC2;DNAJC5;NAAA;TMEM106B;ATP6V0D1;ATP6V1A;ASAH1;SEH1L;RAB5C;LRP1;UNC93B1;STXBP2;GNAI3;BCL10;GNS;NAPG;TMEM165;NCSTN;SNX1;GGA3;SNX2;BLOC1S1;PSAP;RDH14;SLC15A3;DRAM2;RFFL;ATP6V1D;HPS1;LAPTM5;AP3D1;GZMB;LNPEP;MCOLN1;GDAP2;TMEM59;P2RX4;RHEB;SNX14;VMA21;LAMTOR2;TPP1;LAMTOR4;CD68;CYB561;ADA;HLA-DRB1;TECPR1;LAMTOR5
GO_Cellular_Component_2021	tertiary granule (GO:0070820)	43/164	9.352596e-15	6.715164e-13	0	0	4.952728e+00	1.599886e+02	CDA;CSTB;ASAH1;TMEM179B;COPB1;STXBP2;PTAFR;PRCP;TCIRG1;CFP;AP2A2;LILRA3;CTSS;CST3;FTH1;TBC1D10C;LTA4H;CTSD;LAIR1;CD53;CR1;DBNL;FCER1G;CD300A;ATP6AP2;ADAM10;CYBB;CYBA;NBEAL2;PPBP;KCNAB2;LILRB2;DYNLL1;OSCAR;SERPINB6;TSPAN14;CLEC4D;DOK3;CYSTM1;LAMTOR2;PTPN6;CD47;ALDOA
GO_Cellular_Component_2021	lysosomal membrane (GO:0005765)	62/330	2.830639e-13	1.693666e-11	0	0	3.244992e+00	9.375788e+01	IFITM3;IFITM1;IFITM2;SLC44A2;TMEM179B;SPPL2A;LPCAT1;AP2A1;ARRB1;TCIRG1;AP2A2;FLCN;LAPTM4A;CTSD;SNAP29;NSF;RAB2A;ATP6V0B;ATP6V0E1;ANXA2;ATP6AP2;HLA-F;MFSD12;CKAP4;RRAGA;LMBRD1;DNAJC5;CDIP1;TMEM106B;ATP6V0D1;ATP6V1A;SEH1L;RAB5C;LRP1;BRI3;GNAI3;PRCP;NAPG;TMEM165;NCSTN;BLOC1S1;PSAP;RDH14;SLC15A3;ATP6V1D;CMTM6;AP3D1;LAPTM5;LNPEP;MCOLN1;GDAP2;BST2;P2RX4;VAPA;RHEB;LAMTOR2;CD68;LAMTOR4;CYB561;HLA-DRB1;TECPR1;LAMTOR5
GO_Cellular_Component_2021	mitochondrial inner membrane (GO:0005743)	60/328	2.254579e-12	1.156277e-10	0	0	3.135524e+00	8.408866e+01	MRPS15;NDUFA13;ACADVL;SLC25A3;MRPS16;NDUFA12;MRPS11;COX6A1;PHB2;COX7C;CLU;MRPL3;PMPCB;UQCRFS1;CHCHD1;COX8A;MRPS26;ACAD9;MRPS18B;MRPS2;MRPS21;NDUFC1;MRPL48;MRPS18C;COX6B1;HADHB;MRPL52;MRPL53;SMDT1;NDUFS6;NOA1;SLC25A19;MICU1;DAP3;NDUFB6;SHMT2;MRPS33;MRPL19;IFI6;OMA1;UQCR10;COX5B;HIGD1A;COX5A;MRPL10;NDUFV2;DNAJC19;NDUFA6;NDUFA5;UQCC2;NDUFA4;NDUFA3;NDUFA1;MRPL23;MRPL24;TTC19;MRPL21;NDUFAF6;UQCRQ;NDUFAB1
GO_Cellular_Component_2021	secretory granule lumen (GO:0034774)	58/316	4.552358e-12	1.827467e-10	0	0	3.145403e+00	8.214339e+01	CDA;SERPINA1;DDX3X;GMFG;GDI2;CLU;PYCARD;PSMD6;PSMD2;TMSB4X;COTL1;TIMP1;OSTF1;CTSD;CTSC;CAP1;SRGN;ACTR2;HSP90AA1;DBNL;ANXA2;TUBB;RNASET2;NME2;ACTN4;OSCAR;FGR;BIN2;NPC2;CSNK2B;SERPING1;ALDOA;FTL;CFD;CSTB;PSMD11;ROCK1;MVP;RETN;CFP;GNS;PLAC8;PSMB7;COMMD9;DPP7;MAPK1;CCT8;S100A11;PPBP;ARPC5;TUBB4B;CPPED1;ERP44;PFKL;IMPDH1;TOLLIP;PSMC2;PTPN6
GO_Cellular_Component_2021	mitochondrial membrane (GO:0031966)	75/469	4.581394e-12	1.827467e-10	0	0	2.678341e+00	6.992884e+01	SLC25A3;MRPS15;NDUFA13;ACADVL;MRPS16;NDUFA12;MRPS11;COX6A1;PHB2;CLU;COX7C;TOMM20;MRPL3;TSPO;PMPCB;UQCRFS1;CHCHD1;COX8A;MRPS26;STARD7;ACAD9;MRPS18B;MRPS2;MRPS21;NDUFC1;MRPL48;MRPS18C;COX6B1;HADHB;MRPL52;RAB32;MRPL53;GNPAT;RNF144B;SMDT1;SLC25A19;NDUFS6;VDAC3;VDAC1;MICU1;RAF1;DAP3;NDUFB6;BCL2A1;SHMT2;MRPS33;MRPL19;IFI6;OMA1;UQCR10;COX5B;HIGD1A;COX5A;MRPL10;SAMM50;UBC;PMAIP1;BID;NDUFV2;DNAJC19;NDUFA6;NDUFA5;NDUFA4;UQCC2;NDUFA3;NDUFA1;MRPL23;MRPL24;TTC19;MRPL21;NDUFAF6;UQCRQ;NDUFAB1;OGDH;BAX
GO_Cellular_Component_2021	lytic vacuole membrane (GO:0098852)	50/267	6.475816e-11	2.324818e-09	0	0	3.211504e+00	7.534304e+01	IFITM3;IFITM1;IFITM2;SLC44A2;SPPL2A;ARRB1;TCIRG1;FLCN;LAPTM4A;CTSD;NSF;RAB2A;ATP6V0B;ATP6V0E1;ANXA2;ATP6AP2;HLA-F;MFSD12;RRAGA;LMBRD1;DNAJC5;TMEM106B;ATP6V0D1;ATP6V1A;SEH1L;RAB5C;LRP1;GNAI3;NAPG;TMEM165;NCSTN;BLOC1S1;PSAP;RDH14;SLC15A3;ATP6V1D;AP3D1;LAPTM5;LNPEP;MCOLN1;GDAP2;P2RX4;RHEB;LAMTOR2;CD68;LAMTOR4;CYB561;HLA-DRB1;TECPR1;LAMTOR5
