Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	67/251	1.015614e-22	4.132532e-19	0	0	5.150603e+00	2.608336e+02	ISY1;PDCD7;HNRNPR;CWC27;UBL5;SNRPD2;RBMX2;SNRNP70;CWC22;DHX15;BCAS2;IK;BUD31;PLRG1;GTF2F1;WBP11;SRRM1;WDR33;HNRNPUL1;HNRNPH1;SRSF2;SRSF3;PPIH;SRSF4;SNRPA1;HNRNPH3;GEMIN7;SNRPF;SNRNP200;SRSF7;SNRPB;RBM22;SF3B4;DDX5;SRRT;RNF113A;PUF60;POLR2B;U2AF2;POLR2C;TRA2B;POLR2F;RALY;SNRPB2;POLR2H;POLR2I;SF3B1;SRSF11;POLR2K;POLR2L;ZRSR2;CPSF4;HSPA8;HNRNPA3;PRPF38A;GPKOW;FUS;NONO;MAGOHB;HNRNPM;NUDT21;HNRNPK;HNRNPF;HNRNPA2B1;RNPS1;PRPF31;HNRNPC
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	69/274	8.512580e-22	1.731884e-18	0	0	4.762864e+00	2.310719e+02	ISY1;PDCD7;HNRNPR;CWC27;UBL5;SNRPD2;RBMX2;SNRNP70;CWC22;DHX15;BCAS2;IK;BUD31;PLRG1;GTF2F1;WBP11;SRRM1;WDR33;SCNM1;HNRNPUL1;HNRNPH1;SRSF2;STRAP;SRSF3;PPIH;SRSF4;SNRPA1;HNRNPH3;GEMIN7;SNRPF;SNRNP200;SRSF7;SNRPB;RBM22;SF3B4;DDX5;SRRT;RNF113A;PUF60;POLR2B;U2AF2;POLR2C;TRA2B;POLR2F;RALY;SNRPB2;POLR2H;POLR2I;SF3B1;SRSF11;POLR2K;POLR2L;ZRSR2;CPSF4;HSPA8;HNRNPA3;PRPF38A;GPKOW;FUS;NONO;MAGOHB;HNRNPM;NUDT21;HNRNPK;HNRNPF;HNRNPA2B1;RNPS1;PRPF31;HNRNPC
GO_Biological_Process_2021	mRNA processing (GO:0006397)	69/300	1.883242e-19	2.554304e-16	0	0	4.220819e+00	1.819854e+02	ISY1;PDCD7;HNRNPR;CWC27;UBL5;SNRPD2;RBMX2;SNRNP70;CWC22;DHX15;BCAS2;IK;BUD31;PLRG1;GTF2F1;WBP11;SRRM1;WDR33;HNRNPUL1;HNRNPH1;SRSF2;SRSF3;PPIH;SRSF4;SNRPA1;HNRNPH3;GEMIN7;SNRPF;SNRNP200;SRSF7;SNRPB;RBM22;SF3B4;DDX5;SRRT;RNF113A;PUF60;POLR2B;U2AF2;POLR2C;TRA2B;POLR2F;RALY;SNRPB2;POLR2H;POLR2I;SF3B1;SRSF11;POLR2K;POLR2L;ZRSR2;CPSF4;HSPA8;HNRNPA3;PRPF38A;RNGTT;GPKOW;FUS;NONO;MAGOHB;HNRNPM;NUDT21;HNRNPK;SON;HNRNPF;HNRNPA2B1;RNPS1;PRPF31;HNRNPC
GO_Biological_Process_2021	T cell receptor signaling pathway (GO:0050852)	44/158	4.066278e-16	4.136421e-13	0	0	5.385185e+00	1.908436e+02	DENND1B;ITK;STOML2;PSMD14;CD3G;PTPN22;GATA3;CD3E;CD3D;PSMA7;PSMD8;PSMB6;PSMD7;PSMD4;GRAP2;PSMD3;PSMB1;CSK;FYN;PLCG1;SKP1;NCK1;BTN3A1;TRAT1;THEMIS;BTN3A3;HLA-A;BTN3A2;PSMB8;PSMB9;PSMA5;ZAP70;PSMC5;PTPRC;PSMA1;PSMC3;LCK;PSME1;CD28;PSME2;LCP2;CD247;SKAP1;LAT
GO_Biological_Process_2021	cellular response to interleukin-12 (GO:0071349)	24/48	6.215647e-16	4.598206e-13	0	0	1.381218e+01	4.836235e+02	HSPA9;ARF1;ANXA2;RPLP0;AIP;CDC42;CNN2;RAP1B;HNRNPDL;IFNG;CAPZA1;HNRNPF;CFL1;HNRNPA2B1;STAT4;PDCD4;PSME2;SNRPA1;CD47;LCP1;P4HB;IL12RB1;PPIA;JAK1
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	100/621	6.780348e-16	4.598206e-13	0	0	2.734558e+00	9.551083e+01	IFITM1;IFITM2;SLA;RORA;SLA2;TNF;PSMD8;MT2A;PSMD7;IL18RAP;PSMD4;GRAP2;PSMD3;CFL1;PIM1;B2M;SKP1;AIP;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;PSME1;PSME2;PPIA;PSMD14;CTR9;GATA3;HSP90B1;RAP1B;CNN2;HNRNPDL;UBB;UBC;RIPK1;IP6K2;HSPA9;HSPA8;TNFSF14;SMARCA4;ISG20;HNRNPF;CD27;IL7R;ARF1;CDKN1B;RPLP0;ITGB2;OASL;TMSB4X;JAK1;EIF5A;HSP90AA1;JAGN1;ANXA1;ANXA2;IL16;TNFRSF1A;PSMA5;PSMA1;IFNG;IRF3;LCK;IRF1;XCL2;XCL1;SNRPA1;TNFRSF25;LCP1;CD44;IL2RG;PSMA7;PSMB6;CDC42;CCL5;PSMB1;CCL4;STAT4;STX4;CSK;FYN;IL12RB1;RPS27A;GBP2;GBP1;IL32;IL10RA;PSMB8;PSMB9;BATF;PSMC5;PSMC3;TNIP2;CAPZA1;IL2RB;HNRNPA2B1;PDCD4;P4HB;IL18R1
GO_Biological_Process_2021	interleukin-12-mediated signaling pathway (GO:0035722)	23/46	2.519092e-15	1.464312e-12	0	0	1.380267e+01	4.639751e+02	HSPA9;ARF1;ANXA2;RPLP0;AIP;CDC42;CNN2;RAP1B;HNRNPDL;IFNG;CAPZA1;HNRNPF;CFL1;HNRNPA2B1;STAT4;PDCD4;PSME2;SNRPA1;LCP1;P4HB;IL12RB1;PPIA;JAK1
GO_Biological_Process_2021	antigen receptor-mediated signaling pathway (GO:0050851)	45/185	4.395056e-14	2.235435e-11	0	0	4.481820e+00	1.378416e+02	DENND1B;ITK;STOML2;PSMD14;CD3G;PTPN22;GATA3;SLA2;CD3E;CD3D;PSMA7;PSMD8;PSMB6;PSMD7;PSMD4;GRAP2;PSMD3;PSMB1;CSK;FYN;PLCG1;SKP1;NCK1;BTN3A1;TRAT1;THEMIS;BTN3A3;HLA-A;BTN3A2;PSMB8;PSMB9;PSMA5;ZAP70;PSMC5;PTPRC;PSMA1;PSMC3;LCK;PSME1;CD28;PSME2;LCP2;CD247;SKAP1;LAT
GO_Biological_Process_2021	gene expression (GO:0010467)	65/356	2.960741e-13	1.338584e-10	0	0	3.136383e+00	9.047891e+01	RPL3;MRPS16;CELF2;RPLP0;MRPL34;RPL9;MRPL32;GLE1;DUSP11;RBM3;MRPL9;RPL21;RPS7;RPSA;RPS3A;MLF1;MRPL43;SRRM1;WDR33;MRPL51;HNRNPUL1;HNRNPH1;DNAJB11;SRSF2;SRSF3;SRSF4;NUP54;HNRNPH3;SRSF7;SLBP;NUFIP1;MRPL10;TSPAN32;MRPL55;RPS15A;POLR2B;U2AF2;POLR2C;TPR;RPL14;RPS3;POLR2F;POLR2H;RPS27A;POLR2I;RPL17;SRSF11;POLR2K;POLR2L;CPSF4;RNGTT;MRPL28;RPL23A;MAGOHB;RPS26;HNRNPK;COPS5;TNIP1;HNRNPF;RPL27A;HNRNPA2B1;MPHOSPH10;RNPS1;STUB1;NUP37
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	42/179	1.128378e-12	4.591369e-10	0	0	4.265674e+00	1.173497e+02	DENND1B;IFITM1;KLRB1;CD81;ITGB2;CD3G;PTPN22;SLA2;CD3E;ITGAL;CD3D;SPN;CASP8;SLAMF7;SLAMF6;ITGB7;CSK;B2M;CD99;NPDC1;CD96;LAG3;CD300A;CD160;CRTAM;SH2D1A;HLA-B;HLA-C;PILRB;HLA-A;HLA-F;HLA-E;NCR3;CLEC2B;CD8B;CD8A;IRF1;KLRD1;CD247;PDCD1;HCST;CLEC2D
