Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	194/1406	6.384895e-22	4.833366e-19	0	0	2.368623e+00	1.155958e+02	TES;HNRNPU;ENO1;NOC2L;NUDT5;GPATCH8;UBE2L3;PNN;LGALS1;PSMD4;SNRPD1;MAGOH;ARL6IP4;DDX17;SRRM2;ABT1;MBNL1;IMP3;CIRBP;ACTN4;HLA-A;JMJD6;DDX39A;SUB1;UNC50;PFN1;ANP32A;RTF1;MRPL10;MTDH;MRPL20;PCBP1;LYAR;APOBEC3C;SRPK2;PRPF38A;APOBEC3G;XRCC5;APOBEC3H;MRPL28;UPF3B;MANF;BST2;HNRNPL;HNRNPM;EIF5;HNRNPK;HNRNPF;RNPS1;CALR;ARF1;MRPS11;MRPS12;CCDC124;CLTC;SRP54;AATF;ZCCHC17;TUBA1B;TMSB4X;SEC61B;LRRC47;PRPF40A;PPHLN1;SRP9;UCHL5;PSMA6;SLTM;CANX;TCP1;FRG1;RPUSD3;ARHGEF1;HNRNPH2;MAPRE1;SF3B4;FYTTD1;SF3B5;EXOSC9;PPP1R8;FLNA;RAE1;SF3B1;SRSF11;YTHDF2;MDH2;RSRC2;PHF5A;SERBP1;HNRNPA2B1;SRP19;ACAA2;PARK7;SRP14;BZW1;YY1;ZNF207;KPNA2;SNRNP35;ZBP1;CAST;PDIA3;PDIA4;SRSF2;SNRPG;SRSF3;PPIE;SRSF4;S100A4;ERH;MATR3;PPIB;SRSF7;PPIA;FKBP3;KPNB1;SRSF9;SNRPB;DDX6;DDX5;RBM8A;RPS19BP1;PEF1;MAZ;CORO1A;RTN4;HSP90B1;STIP1;UBC;HSPA9;FDPS;HSPA8;TIA1;CHTOP;CPSF6;LSM1;MSN;HELZ;EIF2S1;DIAPH1;SON;UBE2N;PIN4;NOP10;CELF2;HMGB1;ELAVL1;SYNE1;RBM3;SUMO1;SNRNP70;SUMO2;TNPO1;LBR;EIF5A;HSP90AA1;TRNAU1AP;SAFB;DDX50;YWHAZ;PATL2;DDX19B;SYF2;THRAP3;MYH9;LUC7L3;SLC25A11;HDAC2;RRBP1;SLC3A2;SAMHD1;HSD17B10;ADD1;TBRG4;IFI16;PUF60;TRA2A;EIF4H;SAP18;RALY;POLR2G;RBM39;HNRNPA3;TAF15;CNBP;CDC5L;PDAP1;DEK;SNRNP40;EIF3I;EIF3G;P4HB;EIF3A;RAN
GO_Molecular_Function_2021	oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	24/58	1.268602e-13	4.801659e-11	0	0	9.744530e+00	2.893706e+02	COX8A;NDUFA9;NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFA4;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFC2;COX6A1;COX5B;COX5A;CYB561D2;NDUFS8;UQCRFS1;NDUFS2;NDUFV1
GO_Molecular_Function_2021	NADH dehydrogenase (quinone) activity (GO:0050136)	18/35	1.481095e-12	2.802973e-10	0	0	1.456528e+01	3.967326e+02	NDUFA9;NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFA4;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFC2;NDUFS8;NDUFS2;NDUFV1
GO_Molecular_Function_2021	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	18/35	1.481095e-12	2.802973e-10	0	0	1.456528e+01	3.967326e+02	NDUFA9;NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFA4;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFC2;NDUFS8;NDUFS2;NDUFV1
GO_Molecular_Function_2021	ubiquitin-like protein ligase binding (GO:0044389)	49/282	1.448335e-09	1.980267e-07	0	0	2.926389e+00	5.956037e+01	UBE2L6;AUP1;UBE2L3;ACTG1;MAP1LC3B;TUBA1B;CASP8;SUMO1;CASP10;SUMO3;SUMO2;PRKACB;JAK1;CCT2;HSP90AA1;TPI1;TUBB;YWHAZ;PSMA3;TCP1;TXNIP;NDUFS2;TMBIM6;SQSTM1;OTUB1;ABCB1;DERL1;RNF8;PRR5L;UBE2J2;RELA;RTN4;UBB;DDRGK1;UBC;HSPA9;HSPA8;MOAP1;HSPA5;XRCC5;PYHIN1;MAP1LC3B2;RPA2;ISG15;DNAJA1;SYT11;UBE2N;STUB1;CALR
GO_Molecular_Function_2021	ubiquitin protein ligase binding (GO:0031625)	47/265	1.569564e-09	1.980267e-07	0	0	2.997994e+00	6.077674e+01	ABCB1;DERL1;RNF8;UBE2L6;PRR5L;AUP1;UBE2J2;RELA;RTN4;UBE2L3;ACTG1;MAP1LC3B;TUBA1B;CASP8;UBB;SUMO1;CASP10;UBC;SUMO2;PRKACB;JAK1;HSPA9;CCT2;HSPA8;MOAP1;HSP90AA1;TPI1;HSPA5;XRCC5;PYHIN1;TUBB;MAP1LC3B2;RPA2;ISG15;YWHAZ;DNAJA1;PSMA3;SYT11;TCP1;UBE2N;TXNIP;NDUFS2;TMBIM6;STUB1;CALR;SQSTM1;OTUB1
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	53/322	2.290685e-09	2.477212e-07	0	0	2.744611e+00	5.460244e+01	TES;YWHAB;ENO1;PARK7;BZW1;PCMT1;LASP1;CAPZB;KIF5B;BSG;EFHD2;CLIC1;NCK1;CAST;SH3GLB1;LYPLA2;NUDC;ANXA1;DBNL;AHSA1;CSNK1D;YWHAZ;MYH9;TAGLN2;PFN1;MAPRE1;CHMP5;DDX6;SLC3A2;IQGAP1;RTN4;ADD1;PSMB6;LDHA;PUF60;PCBP1;EIF4H;FLNA;STX5;SNX5;VASP;RANBP1;HSPA8;HSPA5;PPP1CA;EHD1;CCS;EIF5;HNRNPK;VAPA;ABI1;SERBP1;RAN
GO_Molecular_Function_2021	kinase binding (GO:0019900)	61/461	5.735665e-07	5.427373e-05	0	0	2.122078e+00	3.049722e+01	CLTC;ITGB2;ILK;PARK7;WDR45;ELAVL1;ACTB;CCND3;CCND2;RAC2;CASP1;RAC1;IFNAR2;MAP2K3;FBXW5;PPP1R12A;FCRL3;PGAM1;RHOG;RHOF;IRAK4;RHOC;YWHAZ;RHOA;FGR;LCK;CDC37;TAX1BP1;JTB;HCLS1;CARD16;MAPRE1;SQSTM1;SKAP1;EXOC2;SP100;CTBP2;RHOBTB3;WAS;GSKIP;IQGAP1;ADIPOR1;RELA;CDC42;IRAK1;PDCD10;FLNA;CDKN2D;CDKN2C;GSN;CD160;GADD45A;MSN;USF1;PTPRC;PTPN6;STUB1;CALM1;LAT;BCL2L1;RAD9A
GO_Molecular_Function_2021	protein homodimerization activity (GO:0042803)	76/636	1.458650e-06	1.226887e-04	0	0	1.893607e+00	2.544629e+01	PDCD6;SPPL2A;PLEK;DPY30;ENO1;PARK7;NUDT5;GIMAP7;ELAVL1;SYNE1;STK10;PSMD7;GLIPR2;CHMP1A;CYP2R1;BANF1;GYG1;B2M;SH3GLB1;GBP5;STARD3;HSP90AA1;G6PD;TPI1;PRMT2;STARD3NL;TAP1;ACTN4;TERF1;DCK;NRBP1;NAALADL1;TPST2;TYROBP;IRF3;DDIT3;XCL1;MYH9;CHMP4A;MVD;VPS25;PRPS1;GTF2A2;VPS4B;ZBTB1;RNF8;ADRB2;CST7;CORO1A;RELA;ADD1;IRAK1;PDCD10;PPCS;IRAK2;CCL5;FLNA;BAK1;MGAT2;GBP2;GBP4;SNX6;GADD45A;CARD8;ZBTB16;GZMA;SNF8;S100B;USF1;BST2;GNPTG;GRHPR;BHLHE40;BAX;STUB1;BCL2L1
GO_Molecular_Function_2021	GTP binding (GO:0005525)	31/189	5.060569e-06	3.830851e-04	0	0	2.704520e+00	3.297900e+01	ARF1;RHOBTB3;SRP54;GIMAP7;RAB22A;RAP1B;CDC42;TUBA1B;RHOT1;ANXA6;RAC2;RAC1;GBP2;RAB8A;GBP4;RAB2A;GBP5;TUBB;RHOG;RAB27A;RRAS2;RAB27B;RHOF;RHOC;RHOA;DNM2;ARL4C;DRG1;RAN;ARF6;RAB7A
