,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
0,LDHB,S100A8,CD79A,CCL5,GNLY,FCGR3A,FCER1A,PPBP
1,CD3D,LYZ,HLA-DRA,GZMK,GZMB,LST1,HLA-DQA1,PF4
2,NOSIP,S100A9,MS4A1,NKG7,FGFBP2,IFITM2,CLEC10A,GNG11
3,FYB,LGALS2,CD74,CST7,PRF1,MT2A,CST3,SDPR
4,RPL22,FCN1,CD79B,CD3D,CTSW,LILRA3,HLA-DQB1,GPX1
5,LTB,CD14,HLA-DPB1,GZMA,NKG7,AIF1,HLA-DPB1,NRGN
6,CD3E,MS4A6A,HLA-DRB1,CD8A,TYROBP,FCER1G,HLA-DPA1,HIST1H2AC
7,TMEM66,FTL,HLA-DQA1,IL32,XCL2,IFITM3,HLA-DRA,GP9
8,RPL7A,GSTP1,CD37,KLRG1,FCGR3A,STXBP2,LYZ,CCL5
9,COX7C,CFD,HLA-DPA1,CTSW,FCER1G,RHOC,HLA-DQA2,TPM4
10,TMEM123,GPX1,HLA-DQB1,GZMH,SPON2,PSAP,CD74,SPARC
11,RPL31,NPC2,LINC00926,S100A6,GZMA,SAT1,HLA-DRB1,RUFY1
12,IL32,NCF2,TCL1A,LYAR,ID2,MS4A7,SRSF7,TMEM40
13,VIM,APOBEC3A,HLA-DRB5,POLR1D,CD7,ABI3,HLA-DMA,TUBB1
14,JUNB,TYROBP,LTB,NCR3,HOPX,DRAP1,LSP1,RGS18
15,TMSB10,CTSS,BANK1,HCST,CST7,NINJ1,HLA-DRB5,ACRBP
16,RGCC,IER2,VPREB3,S100A4,PLAC8,CHCHD10,IL1B,RGS10
17,IL7R,GRN,LAPTM5,PTPRCAP,CD247,LRRC25,VIM,GRAP2
18,RPS29,CSF3R,IGLL5,AMICA1,IGFBP7,SERPINA1,CD1C,MPP1
19,NSMCE1,LGALS3,HVCN1,POLR2L,GZMM,NAP1L1,RNASE6,PTCRA
20,S100A10,S100A6,EAF2,PPIA,CLIC3,LYN,ANXA1,CD9
21,NDFIP1,TMEM176B,HLA-DMA,LCK,XCL1,COTL1,SERPINF1,TAGLN2
22,PLP2,LGALS1,HLA-DMB,UBE2I,AKR1C3,PPDPF,TAGLN2,CALM3
23,MYL12A,BLVRB,HLA-DQA2,KLRB1,CD63,C5AR1,AP1S2,NGFRAP1
24,SOD1,ASGR1,PTPN6,TIGIT,SELL,ATP5I,EIF3L,CLU
25,RPS28,SCO2,LY86,NDUFV2,CCL4,BID,GPX1,TUBA4A
26,AES,CCL3,FCER2,AHSA1,KLRD1,RPS19,ENHO,FERMT3
27,MPHOSPH8,CD37,IGJ,DUSP2,BST2,ZNF706,PHACTR1,CA2
28,RPS3,CD68,CD52,HLA-E,IL2RB,CD79B,GRN,SEPT5
29,C1orf162,KLF6,SNX2,C1QBP,APMAP,ATP6V0D1,CPVL,AP001189.4
30,ANKRD12,CEBPD,P2RX5,CUTA,LIMD2,HES4,CD33,TREML1
31,RNASET2,FPR1,ISG20,SAMD3,C5orf56,FTL,RGS1,ODC1
32,RPL38,S100A4,PTPRCAP,MYL12B,SRGN,CST3,HLA-DMB,C2orf88
33,RPS14,GLIPR2,SNHG7,CD2,ITGB2,RP11-290F20.3,ALDH2,H3F3A
34,ITM2B,CST3,POLD4,C10orf54,TTC38,FKBP1A,PLD4,ILK
35,RPS20,CECR1,QRSL1,MT2A,DRAP1,C1QA,NDUFAB1,LIMS1
36,RPS23,RHOA,RPS11,CD8B,PRSS23,FAM26F,ID2,MYL12A
37,NDUFC2,TYMP,GNG7,CXCR4,ARPC5L,COX7C,GSTP1,LAMTOR1
38,TOMM20,FTH1,FAIM3,CD48,IFITM2,FTH1,H2AFY,AC147651.3
39,PRPF19,FOLR3,PNOC,SPSB3,CD300A,TUBA1B,ARL4C,PGRMC1
40,PIK3IP1,MRPL20,NCF1,CDC42EP3,DHRS7,SLC16A3,AP2S1,MAX
41,CD27,TNFSF13B,PDLIM1,SSNA1,CTSD,CTSL,IGSF6,OAZ1
42,IGBP1,CTSZ,IRF8,TEX264,CCL3,OAS1,AMICA1,CLDN5
