Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	67/90	7.525874e-59	2.782316e-55	0	0	4.156448e+01	5.562748e+03	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;SRP14;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;SRP9;RPL37A;RPL24;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;SRP72;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	68/94	2.783830e-58	5.145909e-55	0	0	3.733998e+01	4.948523e+03	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;SRP14;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;SRP9;RPL37A;RPL24;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;SRP72;RPL14;RPS3;RPL13;SSR1;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	70/103	6.546311e-57	8.067237e-54	0	0	3.031980e+01	3.922426e+03	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;SRP14;RPL9;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPS18;SEC61G;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;SRP9;RPL37A;RPL24;CHMP4A;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;SRP72;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;SPCS1;RPS29;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	72/113	1.877888e-55	1.735638e-52	0	0	2.512882e+01	3.166534e+03	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;EIF4A3;RPL9;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPS19;PPP2R1A;RPS18;MAGOH;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPL37A;RPL24;PABPC1;RPL29;RPL28;UBA52;RBM8A;RPL12;RPL11;RPL36A;RPS4Y1;HELZ2;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL19;RPL41;UPF3B;RPL35A;UPF3A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	64/93	1.172468e-52	8.669229e-50	0	0	3.140648e+01	3.755440e+03	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL29;RPL28;UBA52;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL18;RPS27A;RPL19;RPL41;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;EIF3I;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	83/171	1.150530e-50	7.089181e-48	0	0	1.357728e+01	1.561238e+03	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;EIF4A3;RPL9;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPS19;PPP2R1A;RPS18;MAGOH;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RC3H2;THRAP3;CSDE1;XRN2;RPL37A;RPL24;PABPC1;RPL29;RPL28;UBA52;DDX5;RBM8A;RPL12;RPL11;RPL36A;RPS4Y1;HELZ2;RPS15A;RPL14;RPS3;RPL13;POLR2G;RPL18;RPS27A;RPL19;RPL41;LSM1;UPF3B;RPL35A;SAMD4B;UPF3A;RPL23A;RPS26;RPS25;RPS28;CNOT7;RPS27;CNOT11;RPS29;RPL27A;RPS20;RPS21;DCP1B;RPS23
GO_Biological_Process_2021	gene expression (GO:0010467)	115/356	1.833961e-47	9.685933e-45	0	0	6.985953e+00	7.517935e+02	RPL5;RPL30;NUP107;RPL3;RPL32;RPL31;RPL34;EIF4A3;RPL9;RPL7;RPS15;RPS14;RPS16;RPS19;RPS18;MAGOH;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;AGFG1;RPS12;RPS9;NUP210;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS18C;SRRM1;THAP1;THOC6;NUP93;EEF1A1;DDX39B;XRN2;SRSF2;RPL24;RPL29;SRSF6;RPL28;SRSF7;DHX8;RBM8A;YTHDC1;MRPL18;BAZ2A;CREBL2;RPS4Y1;DEDD2;POM121C;TPR;EIF4EBP2;TASP1;RPL41;UPF3B;RPS26;RPS25;RPS28;RPS27;FUBP3;RPS29;HNRNPF;RPL27A;RPS20;RPS21;RPS23;RPLP1;MRPL37;RPS4X;MRPL42;RPL7A;RPLP2;RBM6;DHPS;MRPS21;DDX54;RPL13A;RPS3A;MRPS5;RPL37A;RBMS1;PTMA;RPL12;RPL11;SRSF1;RPL36A;U2AF1;HSPD1;U2AF1L4;RPS15A;FIP1L1;POLR2A;RPL14;RPS3;RPL13;POLR2G;RPL18;RPS27A;SRSF11;RPL19;RANBP2;RBM39;GALNT2;RPL35A;RPL23A;SORL1;HNRNPA2B1
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	72/162	8.941942e-41	4.132295e-38	0	0	1.141740e+01	1.052858e+03	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;MRPL37;RPL9;RPL7;RPS15;RPS4X;RPS14;MRPL42;RPL7A;RPS16;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;DHPS;MRPS21;RPL13A;RPS3A;MRPS5;MRPS18C;EEF1A1;RPL37A;RPL24;RPL29;RPL28;MRPL18;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;EIF4EBP2;RPL13;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	82/214	2.292878e-40	9.418635e-38	0	0	8.914322e+00	8.136422e+02	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;MRPL37;RPL9;RPL7;RPS15;RPS4X;RPS14;MRPL42;TRMT112;RPL7A;RPS16;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;DHPS;MRPS21;RPL13A;RPS3A;MRPS5;MRPS18C;EEF1A1;PPA1;EEF1D;RPL37A;RPL24;RPL29;EEF1E1;RPL28;UBA52;MRPL18;RPL12;RPL11;MRPL16;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;EIF4EBP2;RPL18;RPS27A;RPL19;PTCD3;RPL41;TMA7;RPL35A;RPL23A;EEF2;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FARSA;RPS21;RPS23
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	97/314	3.012020e-38	1.113544e-35	0	0	6.460164e+00	5.581299e+02	RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL9;RPL7;RPS15;RPS14;RPS16;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS18C;THAP1;EEF1A1;GRWD1;RPL24;RPL29;RPL28;MRPL18;BAZ2A;CREBL2;RPS4Y1;ORC4;EIF4EBP2;ST3GAL2;RPL41;EEF2;RPS26;RPS25;RPS28;RPS27;FUBP3;RPS29;RPL27A;RPS20;RPS21;EIF4G2;RPS23;RAD9A;MCM7;RPLP1;MRPL37;ING4;RPS4X;MRPL42;RPL7A;RPLP2;DHPS;MRPS21;RPL13A;RPS3A;MRPS5;EEF1D;RPL37A;RBMS1;TOP1;PTMA;RPL12;RPL11;RPL36A;POLD3;TBRG1;RPS15A;POLR2A;POLD2;RPL14;RPS3;RPL13;POLR2G;RPL18;RPS27A;RPL19;RPA1;RPA2;RPL35A;NAP1L1;RPL23A;POLE3
