Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	207/1406	4.498042e-27	3.463492e-24	0	0	2.585208e+00	1.568347e+02	EIF4A1;RPL3;TFRC;RPL32;POP4;RPL6;RRP8;RPL7;IFIT2;LGALS3;ALKBH5;LGALS1;RPS16;ZC3H12A;RPS11;RPL39;SEC63;SRRM2;ABT1;RPL23;FNDC3B;SRRM1;EWSR1;CLNS1A;XRN2;KCTD12;RPL26;RPL29;RPL28;SF1;AARS2;DHX9;PRKDC;BAZ2A;MRPL14;TXN;RPS4Y1;MRPL13;MRPL11;RRP7A;MRPL20;PRDX1;PCBP2;ERI3;CSTF1;LTA4H;TOE1;BTF3;RPL41;RDX;MRPL27;MRPL28;PUM1;SNUPN;EIF1;MRPL22;PRRC2A;HNRNPM;RPS28;AGO1;HNRNPD;GRB2;CALR;APOBEC3A;RPS24;APOBEC3B;ARF1;FASTKD3;CCDC124;NKAP;MRPL37;MRPL32;FARS2;SMG6;TMSB4X;C1QBP;NELFE;ANXA2;PRMT1;MRPL43;MRPS5;NSA2;TLR8;FAM32A;GRN;RPL10;RPL11;RPS27L;MRPL54;EXOSC7;TCOF1;RPL14;CTNNA1;RPL13;ZNF106;RPL15;RPL18;EXOSC2;RPL17;SF3B1;EXOSC1;RPL19;TRMT10B;YTHDF2;MDH2;TRMT1;ELP5;SCAF4;RSL1D1;SEC23IP;PHF5A;PKN2;HDGF;FAU;OTUD4;HDLBP;CASC3;PARK7;APEH;IPO5;FBL;ZFP36;RPP38;ZBP1;RPS9;NOSIP;ALG13;EBNA1BP2;SRSF2;SRSF3;S100A4;PPIG;SRSF9;SIDT2;SNRPB;KHDRBS1;DDX5;RBM8A;PRPF8;ZFP36L2;ZFP36L1;BAG4;SAFB2;NDUFV3;EEF2;QKI;DIAPH1;LSM14B;NOP10;YWHAE;AKAP8L;PINX1;HMGB2;DDX42;HMGB3;MTO1;YBX3;MRPL4;RBM3;SUMO1;SNRNP70;RBM7;COA6;RBM5;EIF5A;EIF5B;RBM14;DDX55;RBM18;RPL13A;SMC1A;DNAJC2;SFPQ;DDX19B;DALRD3;PKM;SYF2;OAS2;OAS3;RP9;TOP1;SLC25A5;SLC25A11;TRIM56;PLEC;SAMHD1;HSD17B10;TRA2B;BMS1;IGF2BP2;HNRNPA1;NOP56;CNBP;CDC5L;PDAP1;SSRP1;HNRNPAB;TPD52L2;ESF1;DRG2;P4HB;FAM98A;VIM;PPIL4;EIF3A;TPT1;FAM50A
GO_Molecular_Function_2021	ubiquitin-like protein ligase binding (GO:0044389)	50/282	4.792843e-10	1.300092e-07	0	0	3.001416e+00	6.440657e+01	RB1;YWHAE;GPI;GSK3B;FAF1;UBE2D1;AUP1;CASC3;TRIOBP;CASP8;SUMO1;PSMD1;FBXO7;IKBKE;CDK5RAP3;GABARAPL2;GABARAPL1;RPL23;RNF40;TRAF3;UQCRC1;SLC25A5;UBA52;OTUB1;RALA;RALB;HM13;RPL11;CUL2;NEDD8;HIF1A;GABARAP;UBE2J1;BAG4;UBB;PRKAR2A;PCBP2;BAG1;ZNF746;SMAD2;GLMN;MAP1LC3B2;TRIP4;RPA2;ISG15;PRDX6;PML;NFKBIA;DNAJA1;CALR
GO_Molecular_Function_2021	ubiquitin protein ligase binding (GO:0031625)	48/265	5.065292e-10	1.300092e-07	0	0	3.078383e+00	6.588798e+01	RB1;YWHAE;GPI;GSK3B;RALA;RALB;FAF1;HM13;RPL11;CUL2;UBE2D1;NEDD8;AUP1;CASC3;HIF1A;GABARAP;TRIOBP;UBE2J1;BAG4;CASP8;UBB;SUMO1;PRKAR2A;PCBP2;BAG1;ZNF746;PSMD1;FBXO7;IKBKE;SMAD2;GABARAPL2;GABARAPL1;RPL23;GLMN;MAP1LC3B2;RPA2;ISG15;PRDX6;RNF40;PML;NFKBIA;DNAJA1;TRAF3;UQCRC1;CALR;SLC25A5;UBA52;OTUB1
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	44/322	9.285834e-06	1.591539e-03	0	0	2.188753e+00	2.536112e+01	YWHAE;HDLBP;CAPG;IQGAP1;PARK7;RPL6;PSMB6;PCMT1;SLK;PRDX1;BSG;STK38;CTNNA1;RPL14;RPL15;EMD;SPTAN1;PAK2;YKT6;WASF2;S100A11;NOP56;RANBP1;NUDC;ANXA2;RDX;EEF2;PRDX6;MPP7;RAB10;RSL1D1;CCS;PKM;EEF1D;NUMB;CDC42EP1;PLIN3;CTNNB1;CHMP4B;PKN2;RPL29;TLN1;CD46;PLEC
GO_Molecular_Function_2021	mRNA binding (GO:0003729)	38/263	1.033467e-05	1.591539e-03	0	0	2.331756e+00	2.676858e+01	EIF4A1;KHDRBS1;DDX5;RBM8A;DHX9;HDLBP;PARK7;MRPL13;YBX3;RPL7;ZFP36L1;ZFP36;SNRNP70;C1QBP;TRA2B;ZC3H12A;PCBP2;IGF2BP2;SF3B1;RBM5;SRRM2;RPL41;RBM14;YTHDF2;CNBP;RPL13A;PUM1;HNRNPAB;RNF40;QKI;HNRNPM;RSL1D1;PKM;RPL26;CALR;LSM14B;EIF3A;SF1
GO_Molecular_Function_2021	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664)	7/15	2.762344e-05	3.545008e-03	0	0	1.194529e+01	1.253879e+02	CYB5R4;NCF1;AIFM1;NCF2;NCF4;CYBA;KMO
GO_Molecular_Function_2021	protein homodimerization activity (GO:0042803)	70/636	5.793649e-05	6.373014e-03	0	0	1.717094e+00	1.675225e+01	CDA;ABCD3;TFRC;CALCOCO2;PARK7;ZDHHC3;TRIM8;PYCARD;HHEX;PSMD7;SLK;GLIPR2;KYNU;MLX;MFSD1;BANF1;PDK2;STARD3;BNIP3L;ST6GAL1;CDADC1;PDCD6IP;STARD3NL;SLC11A1;DNTTIP1;KNSTRN;RNF40;ALDH3A2;PEX7;SFPQ;TYROBP;DPYD;ERP29;S100A6;TRIM14;CHMP4B;CHMP4A;TKT;PAFAH1B2;CSF1R;CEBPB;HM13;XPA;HSD17B4;TXN;MFF;STK4;SRM;TYMP;PSAP;HMOX1;PSMF1;ZBTB7B;GBP2;GBP1;S100A11;GBP4;NQO2;GCA;CARD9;MYO9B;SNF8;PML;GGCT;CD4;TP53I3;S100Z;SP1;STK25;MAP3K13
GO_Molecular_Function_2021	RAGE receptor binding (GO:0050786)	5/9	1.499263e-04	1.443041e-02	0	0	1.704337e+01	1.500732e+02	HMGB2;S100A12;S100A4;S100A9;S100A8
GO_Molecular_Function_2021	RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	27/190	2.474785e-04	2.117316e-02	0	0	2.275882e+00	1.889935e+01	RB1;RERE;HDAC4;GSK3B;HDAC5;SPI1;SMARCD3;DHX9;HDAC1;FAF1;BAZ2A;HIF1A;ACTB;CDK5RAP3;BCAS3;GABARAPL1;BUD31;TRIP4;FOS;COMMD7;NFKBIA;NCOR2;DNAJA1;BRMS1;IFI27;SP1;CTNNB1
GO_Molecular_Function_2021	cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656)	6/15	2.996141e-04	2.255214e-02	0	0	9.094017e+00	7.377990e+01	PYCARD;NLRP12;BAD;CASP1;RPS27L;CTSH
