Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	482/5192	3.536599e-15	1.297932e-12	0	0	1.602258e+00	5.331611e+01	ITSN2;RPL4;CHIC2;GABPB2;RPL3;TFRC;EHMT1;HNRNPR;GPATCH3;ENO1;GABPB1;PHB2;RPL6;ELK3;SMC2;HENMT1;PSMD2;GPBP1;PSMD3;IER2;TSPYL2;DAXX;AARSD1;MED4;SND1;GTPBP4;HCFC1;EID1;EID3;RNF125;PSME3;RPL27;RHNO1;SLBP;URI1;SET;PRKDC;XPA;IQGAP1;AKAP17A;LDHA;PTPMT1;PRDX1;MYO6;RREB1;CDK17;BTF3;ARL14EP;F8A1;PBX4;MAGOHB;HNRNPK;HNRNPC;SETD4;ITK;SMG1;SERPINA1;CDKN1B;PHF1;RPLP0;CLTB;ASH2L;OSBPL11;LITAF;MECP2;MED13;CSRP1;ANXA7;AP3S1;JARID2;SS18;BRD2;DUSP2;ANXA1;ANXA2;TERF2;DDB2;GNL3;ITPKB;NCOR1;MTF2;CACTIN;DLD;AHNAK;URM1;PSMA7;UNG;PSMB7;GGA1;PSMB4;AP2S1;USP1;RPS3;FLNA;ZNF468;RPS2;RPS27A;ZNF346;RPL17;SF3B1;ZNF587;BRD4;ZNF101;PCGF5;CDKN2A;ELP5;ELP6;PSMB8;NUDT21;PSMC5;PSMC3;SNX17;PSMC1;PSMC2;GID8;SNX15;HYLS1;ZNF330;MTCH2;UBE2D2;PDCD5;UBE2D3;RORA;MSI2;IPO5;PPP1CB;HMGN4;RUVBL2;CFL1;PIM1;ZNF689;TLE4;RAB2A;MAP2K2;RPS8;ZBTB38;UBE2E1;GTF3A;RPSA;ATP11A;TC2N;GTF2F1;ILF2;PIAS2;THOC7;CLIP1;ILF3;NCL;S100A6;S100A4;PHIP;SNRPF;SNRNP200;KPNB1;CSNK1G2;SNRPB;KHDRBS1;ZNF792;ARL2;CORO1A;HSP90B1;HMBOX1;PSAP;SAFB2;SMYD4;ZNF786;IP6K2;OSBPL9;TRAPPC2;TOR1A;FUS;ZBTB10;ARPC4;NSG1;FBXO32;HOPX;PTPRE;TFCP2;COPS5;CDK6;PIN1;OGT;RNF187;CDCA7L;PTPN22;ARRB2;SYNE2;TNFSF13B;SYNE1;PPP6R2;SUMO3;PPP6R3;LBR;EID2B;CTNNBL1;ILKAP;ACTR3;EIF5B;HSP90AA1;PDCD6IP;GPX4;VBP1;VPS37A;PLRG1;SMC1A;REXO4;ARL4C;METTL23;PKM;SYF2;TMBIM1;TMBIM6;SNRPA1;NUFIP1;HDAC3;VPS4B;RCHY1;MALT1;MLLT6;DNAJB1;U2AF2;POLR2B;VPS53;POLR2F;FYN;POLR2I;POLR2K;POLR2L;SMARCE1;CYB5A;GZMA;GZMH;KLF6;RAB14;PDCD4;STUB1;EIF4A1;CCNI;CCNH;SLC35B1;PWP1;NUDT3;TIAL1;MT2A;RASSF1;TRIM28;BSG;ARL6IP4;TRIM27;CCNL1;FBXO7;TRIM22;RPS13;RPS12;SMARCC1;IMP3;NFKBIL1;SLC35C2;IFRD1;TALDO1;RUNX3;THAP2;RUNX2;RUNX1;VDAC3;VDAC2;KDELR2;TRIB3;HECA;PFN1;MT1E;LLGL2;BEX4;GGNBP2;ANP32A;TEX264;MGST3;SP140;MYCBP2;ZBTB1;GMCL1;FXR1;ZNHIT1;ZNHIT3;DHX36;DPH3;LYAR;TRMT1L;CRADD;APOBEC3G;GADD45B;XRCC5;PARP15;MANF;SRPK1;ID2;INTS5;NDUFAF3;CALM2;RPS24;CSRNP1;PPP1R10;CITED2;TECR;MIA3;RSF1;WASL;N4BP2L2;PTMS;C1QBP;MLX;DHX16;CTSH;ACADM;SPTAN1;CLIC1;CTSC;TMED5;HTATIP2;PRMT5;PRMT2;PARP1;PABPC4;GAA;ACAD9;RHOH;KIF22;TUBG2;RHOF;SUPT3H;MLF1;GAK;PITPNM1;HNRNPH1;HNRNPH3;VGLL4;CD63;AKAP8;WAS;SERTAD3;EXOSC8;SCAND1;TSNAX;UBL4A;SUZ12;NPM1;RANBP3;NFYA;YIPF4;PTGES3;NFYC;KRT10;MLH1;YIF1A;RAB11A;BATF;STK17A;CCNG1;TACC3;CTNNB1;TRIP12;CRTC3;UBE3D;PEBP1;GIMAP7;ETS2;EEF1B2;EFTUD2;DOCK10;CCND3;CHCHD2;PTTG1;RBMX2;CWC22;G6PD;BORA;KDM2B;THEMIS;ADAM10;UBE4B;WBP11;DOK1;BRMS1;SLFN11;HGS;CMPK1;GEMIN8;PPIA;ATP6V1A;DDX6;VCP;TMED10;UBA6;UBA5;TCF7;HTRA2;STK4;NDRG1;ZFP36L2;ZFP36L1;UBC;ECT2;BCL9L;BPTF;SMAD2;PRNP;CPSF4;CBX7;UBE2I;CPSF6;SMAD3;HSPA5;NONO;DENND4C;HMGA1;CHCHD10;POU2F2;CLK3;DIAPH1;EIF2S3;UBA3;TCF3;SERGEF;KDM5D;CHD8;HMGB2;DPY30;TNFAIP3;HMGB1;CHD3;RBM3;RBM4;DBP;SNAPC2;TTC37;SUN1;NCBP2;PPP2R5A;RPS3A;TRNAU1AP;DDX19A;LMBRD1;IRF3;MYH9;TERF2IP;USP40;PFDN2;OTUB1;USP15;KDM3A;RGS14;POLDIP2;NAA20;DCTN1;USP10;USP11;POMP;TGFBRAP1;WIZ;CLCN3;TOB1;TBX21;TRA2B;FAM120A;RALY;MTA3;MAPK3;KLRG1;NAA10;TAF12;WTAP;MX2;DTNBP1;DEK;REST;KATNBL1;ABHD17A;PITHD1;BAX;RAN;SSBP4;NUP37
GO_Cellular_Component_2021	nucleus (GO:0005634)	417/4484	6.966214e-13	1.278300e-10	0	0	1.565073e+00	4.381035e+01	RPL4;GABPB2;RPL3;EHMT1;HNRNPR;GPATCH3;ENO1;GABPB1;PHB2;RPL6;ELK3;SMC2;HENMT1;PSMD2;GPBP1;PSMD3;IER2;TSPYL2;DAXX;AARSD1;MED4;SND1;GTPBP4;HCFC1;EID1;EID3;PSME3;RPL27;RHNO1;SLBP;URI1;SET;PRKDC;XPA;IQGAP1;AKAP17A;LDHA;PTPMT1;PRDX1;MYO6;RREB1;CDK17;BTF3;F8A1;PBX4;MAGOHB;HNRNPK;HNRNPC;SETD4;ITK;SMG1;CDKN1B;PHF1;RPLP0;ASH2L;MECP2;MED13;CSRP1;ANXA7;JARID2;SS18;BRD2;DUSP2;ANXA1;ANXA2;TERF2;DDB2;GNL3;ITPKB;NCOR1;MTF2;CACTIN;DLD;AHNAK;URM1;PSMA7;UNG;PSMB7;PSMB4;USP1;RPS3;FLNA;ZNF468;RPS2;RPS27A;ZNF346;RPL17;SF3B1;ZNF587;BRD4;ZNF101;PCGF5;CDKN2A;ELP5;ELP6;PSMB8;NUDT21;PSMC5;PSMC3;PSMC1;PSMC2;GID8;HYLS1;ZNF330;MTCH2;UBE2D2;PDCD5;UBE2D3;RORA;IPO5;PPP1CB;HMGN4;RUVBL2;CFL1;PIM1;ZNF689;TLE4;RAB2A;MAP2K2;RPS8;ZBTB38;UBE2E1;GTF3A;RPSA;TC2N;GTF2F1;ILF2;PIAS2;THOC7;CLIP1;ILF3;NCL;S100A6;S100A4;PHIP;SNRPF;SNRNP200;KPNB1;CSNK1G2;SNRPB;KHDRBS1;ZNF792;ARL2;CORO1A;HSP90B1;HMBOX1;SAFB2;SMYD4;ZNF786;IP6K2;TRAPPC2;FUS;ZBTB10;ARPC4;NSG1;FBXO32;HOPX;PTPRE;TFCP2;COPS5;CDK6;PIN1;OGT;RNF187;CDCA7L;PTPN22;ARRB2;SYNE2;SYNE1;PPP6R2;SUMO3;PPP6R3;LBR;EID2B;CTNNBL1;ILKAP;ACTR3;EIF5B;HSP90AA1;GPX4;PLRG1;SMC1A;REXO4;ARL4C;METTL23;PKM;SYF2;TMBIM6;SNRPA1;NUFIP1;HDAC3;VPS4B;RCHY1;MALT1;MLLT6;DNAJB1;U2AF2;POLR2B;POLR2F;FYN;POLR2I;POLR2K;POLR2L;SMARCE1;GZMA;KLF6;PDCD4;STUB1;EIF4A1;CCNI;CCNH;PWP1;NUDT3;TIAL1;MT2A;RASSF1;TRIM28;ARL6IP4;TRIM27;CCNL1;FBXO7;TRIM22;RPS13;SMARCC1;IMP3;NFKBIL1;IFRD1;TALDO1;RUNX3;THAP2;RUNX2;RUNX1;VDAC3;VDAC2;TRIB3;HECA;PFN1;MT1E;BEX4;GGNBP2;ANP32A;TEX264;SP140;MYCBP2;ZBTB1;GMCL1;FXR1;ZNHIT1;ZNHIT3;DHX36;DPH3;LYAR;TRMT1L;CRADD;APOBEC3G;GADD45B;XRCC5;PARP15;MANF;SRPK1;ID2;INTS5;NDUFAF3;CALM2;RPS24;CSRNP1;PPP1R10;CITED2;TECR;RSF1;WASL;N4BP2L2;PTMS;C1QBP;MLX;DHX16;ACADM;CLIC1;HTATIP2;PRMT5;PRMT2;PARP1;PABPC4;ACAD9;KIF22;TUBG2;SUPT3H;MLF1;HNRNPH1;HNRNPH3;VGLL4;AKAP8;WAS;SERTAD3;EXOSC8;SCAND1;TSNAX;UBL4A;SUZ12;NPM1;RANBP3;NFYA;PTGES3;NFYC;KRT10;MLH1;BATF;STK17A;CCNG1;CTNNB1;TRIP12;CRTC3;UBE3D;PEBP1;ETS2;EEF1B2;EFTUD2;DOCK10;CCND3;CHCHD2;PTTG1;RBMX2;CWC22;BORA;KDM2B;THEMIS;ADAM10;UBE4B;WBP11;DOK1;BRMS1;SLFN11;CMPK1;GEMIN8;PPIA;DDX6;VCP;UBA6;TCF7;HTRA2;STK4;NDRG1;ZFP36L2;ZFP36L1;UBC;ECT2;BCL9L;BPTF;SMAD2;PRNP;CBX7;UBE2I;CPSF6;SMAD3;HSPA5;NONO;HMGA1;CHCHD10;POU2F2;CLK3;DIAPH1;EIF2S3;UBA3;TCF3;SERGEF;KDM5D;CHD8;HMGB2;DPY30;TNFAIP3;HMGB1;CHD3;RBM3;RBM4;DBP;SNAPC2;TTC37;NCBP2;PPP2R5A;RPS3A;TRNAU1AP;DDX19A;IRF3;MYH9;TERF2IP;USP40;PFDN2;OTUB1;USP15;KDM3A;RGS14;POLDIP2;NAA20;DCTN1;USP10;USP11;POMP;WIZ;TOB1;TBX21;TRA2B;FAM120A;RALY;MAPK3;NAA10;TAF12;WTAP;MX2;DTNBP1;DEK;REST;KATNBL1;PITHD1;BAX;RAN;SSBP4;NUP37
GO_Cellular_Component_2021	mitochondrial membrane (GO:0031966)	71/469	2.188420e-10	2.677167e-08	0	0	2.501741e+00	5.564541e+01	MRPS15;MRPS16;NDUFA11;TAMM41;CISD1;CISD2;MRPS10;MRPL36;MRPL34;COX6A1;PHB2;MRPL32;TOMM22;MRPL41;MRPL4;OPA1;TIMM17A;PMPCB;MRPL9;ACADM;TMEM14C;STARD7;VPS13C;ACAD9;VPS13A;MRPS18A;MRPL48;DNM2;HADHA;MRPL51;VDAC3;VDAC2;TMBIM6;RAF1;SLC25A4;STOML2;TOMM40;MTFP1;NDUFB5;MRPS36;TIMM9;NDUFB3;TIMM13;OMA1;MRPS30;COX5A;MRPL55;AGPAT4;PGS1;LDHB;UCP2;UBC;RPS3;RPS27A;NDUFV2;CYB5A;TRAP1;NDUFA6;NDUFA5;BAD;MX2;MRPL28;COX6C;CRLS1;NDUFAF4;NDUFAF2;NDUFAF3;BAX;NDUFAF1;SLC25A33;TOMM5
GO_Cellular_Component_2021	organelle inner membrane (GO:0019866)	53/346	2.867797e-08	2.182243e-06	0	0	2.516503e+00	4.370445e+01	MRPS15;MRPS16;NDUFA11;TAMM41;MRPS10;MRPL36;MRPL34;COX6A1;PHB2;MRPL32;MRPL41;MRPL4;OPA1;TIMM17A;PMPCB;MRPL9;LBR;ARL6IP6;TMEM14C;ACAD9;MRPS18A;MRPL48;HADHA;MRPL51;SLC25A4;STOML2;TOMM40;MTFP1;MRPS36;NDUFB5;TIMM9;NDUFB3;TIMM13;OMA1;MRPS30;COX5A;MRPL55;PGS1;LDHB;UCP2;RPS3;NDUFV2;TRAP1;SMAD3;NDUFA6;NDUFA5;MRPL28;COX6C;CRLS1;NDUFAF4;NDUFAF2;NDUFAF3;NDUFAF1
GO_Cellular_Component_2021	mitochondrial inner membrane (GO:0005743)	51/328	3.182777e-08	2.182243e-06	0	0	2.559764e+00	4.418901e+01	MRPS15;MRPS16;NDUFA11;TAMM41;MRPS10;MRPL36;MRPL34;COX6A1;PHB2;MRPL32;MRPL41;MRPL4;OPA1;TIMM17A;PMPCB;MRPL9;TMEM14C;ACAD9;MRPS18A;MRPL48;HADHA;MRPL51;SLC25A4;STOML2;TOMM40;MTFP1;MRPS36;NDUFB5;TIMM9;NDUFB3;TIMM13;OMA1;MRPS30;COX5A;MRPL55;PGS1;LDHB;UCP2;RPS3;COX11;NDUFV2;TRAP1;NDUFA6;NDUFA5;MRPL28;COX6C;CRLS1;NDUFAF4;NDUFAF2;NDUFAF3;NDUFAF1
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	57/387	3.567700e-08	2.182243e-06	0	0	2.405431e+00	4.125016e+01	RPL4;ARF1;RPL3;CD81;YWHAB;ARPC1B;RPLP0;ARPC5L;SLA;ILK;RPL6;SYNE2;TNFSF13B;PPP1CB;RPS4X;CSRP1;YWHAQ;CFL1;BSG;B2M;RPS13;ACTR3;ANXA1;MAP2K2;PDCD6IP;RPS8;RRAS2;ADAM10;RPS3A;DNM2;MTF2;MYH9;RPL27;LCP1;PFN1;PPIA;AHNAK;ARL2;IQGAP1;HSP90B1;CNN2;DPP4;RPS3;FLNA;RSU1;RPS2;CD99;MAPK3;VASP;ARL14EP;NPM1;HSPA5;HMGA1;HNRNPK;PTPRC;CTNNB1;P4HB
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	57/394	6.711535e-08	3.518762e-06	0	0	2.354566e+00	3.889001e+01	RPL4;ARF1;RPL3;CD81;YWHAB;ARPC1B;RPLP0;ARPC5L;SLA;ILK;RPL6;SYNE2;TNFSF13B;PPP1CB;RPS4X;CSRP1;YWHAQ;CFL1;BSG;B2M;RPS13;ACTR3;ANXA1;MAP2K2;PDCD6IP;RPS8;RRAS2;ADAM10;RPS3A;DNM2;MTF2;MYH9;RPL27;LCP1;PFN1;PPIA;AHNAK;ARL2;IQGAP1;HSP90B1;CNN2;DPP4;RPS3;FLNA;RSU1;RPS2;CD99;MAPK3;VASP;ARL14EP;NPM1;HSPA5;HMGA1;HNRNPK;PTPRC;CTNNB1;P4HB
GO_Cellular_Component_2021	small ribosomal subunit (GO:0015935)	14/45	1.051739e-06	4.824853e-05	0	0	6.189460e+00	8.519832e+01	MRPS16;RPS8;RPS3A;RPSA;RPS4X;RPS26;RPS15A;RPS3;RPS2;RPS27A;RPS13;RPS24;EIF2A;RPS12
GO_Cellular_Component_2021	mitochondrial envelope (GO:0005740)	25/127	1.447674e-06	5.359981e-05	0	0	3.373649e+00	4.536057e+01	STOML2;TIMM9;AK2;ARL2;HTRA2;OMA1;TRIAP1;CHCHD2;OPA1;BLOC1S1;ACADM;TMEM14C;COA4;TRAP1;PRELID1;NDUFA6;MX2;ACAD9;VPS13A;CHCHD10;DNM2;NDUFAF4;VDAC2;TMBIM6;SLC25A33
GO_Cellular_Component_2021	cytosolic small ribosomal subunit (GO:0022627)	13/40	1.460485e-06	5.359981e-05	0	0	6.595374e+00	8.862034e+01	RPS8;RPS3A;RPSA;RPS4X;RPS26;RPS15A;RPS3;RPS2;RPS27A;RPS13;RPS24;EIF2A;RPS12
