Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	262/1406	5.890253e-54	4.023043e-51	0	0	3.610849e+00	4.425684e+02	RPL4;EIF4A2;POP5;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RRP1;HNRNPR;THUMPD1;RPL8;RPL9;RPL6;RPL7;RPS15;PNN;RPS14;RPS16;SNRPD2;RPS19;RPL18A;RPS18;RPL36;RPL35;RPL38;RPL37;RPL39;RPS10;RPS13;EIF2A;RPS12;DDX18;MBNL1;RPL21;SECISBP2;ACTN1;RPL23;RPL22;CIRBP;DNTTIP2;HLA-A;DDX39B;RPL24;RPL27;RPL26;RPL29;RPL28;SF1;MACF1;DHX9;ZC3HAV1;TXN;RPS4Y1;HTATSF1;HNRNPLL;SAMSN1;GSPT1;GAR1;RRS1;SPTBN1;BTF3;PRPF38B;JUN;XRCC6;RPL41;PA2G4;AIMP1;RPS26;RPS25;RPS28;RPS27;RPL27A;HNRNPF;MPHOSPH10;RPS20;DCP1A;RPS21;RPS23;RPLP0;C1QBP;ANXA7;CCT3;PRMT1;PABPC4;ZFR;MRPS21;PPHLN1;NUDT16L1;SRP9;NSA2;CSDE1;RPUSD2;STRAP;ARHGEF1;PABPC1;HNRNPH3;MAPRE1;RPL10;RNMT;NIP7;RPL12;RPL11;MRPS31;RPS27L;MRPS30;BCLAF1;RPS15A;SRP72;RPL14;RPS3;RPL13;RPL15;RPS2;RPS27A;RPL18;RPL17;SF3B1;SRSF11;CCT4;RPL19;SF3A3;NPM1;TRMT10C;YTHDF2;SF3A2;STAT3;RSRC2;SRP68;RRP1B;NPM3;NUDT21;RSL1D1;CMSS1;XPOT;PRKRA;APEX1;SERBP1;PRPF31;FAU;SRP19;PEBP1;NUCKS1;RPL10A;PPP1CC;FBL;PNISR;PCID2;RPS9;RPS7;EIF1AX;DIMT1;RPS8;RPS5;RPS6;NOSIP;ANXA11;RPSA;TRNT1;EEF1A1;PRPF6;HNRNPUL1;MRTO4;SBDS;NHP2;MATR3;SRSF5;PPIG;SNRPF;SRSF7;DAP3;KHDRBS1;DDX5;MAZ;ZFP36L2;HNRNPDL;G3BP1;TPR;G3BP2;BRIX1;ZC3H15;HSPA8;PNPT1;FUS;API5;CWC15;TBCA;EEF2;LSM5;EIF2S2;YRDC;SON;EIF2S3;RCAN3;UBE2N;LSM14A;EIF4G2;DDX3Y;HSP90AB1;CELF2;PSIP1;ZC3H8;HSPB1;HMGB1;CHD3;CHD2;MTO1;DUSP11;RPS4X;MRPL3;RPL7A;RBM4;MRPL1;MRPL9;HSP90AA1;DDX58;NCBP2;RPL13A;RPS3A;YWHAZ;DDX19A;NEMF;RPL37A;RBMS1;DDX24;USP10;SRSF1;RPL36A;SLC3A2;TBRG4;HSPD1;FIP1L1;HNRNPA1;EIF4B;HNRNPA0;NOP56;PTCD3;RBM39;NOP58;DUT;SSB;CNBP;CCDC59;RPL35A;RPL23A;NAP1L1;HSPE1;NAP1L4;EIF3L;EIF3H;EIF3E;CEBPZ;NAA15;VIM;SSBP1;EIF3D;RBMX;RAN;TPT1;TNRC6B;METAP2
GO_Molecular_Function_2021	mRNA binding (GO:0003729)	49/263	1.210230e-10	4.132936e-08	0	0	3.189500e+00	7.283236e+01	RPL5;CELF2;HNRNPR;RPL7;RPS14;RBM4;C1QBP;RPL35;RPS13;EIF2A;RPS7;NCBP2;SECISBP2;PABPC4;RPS5;CIRBP;RPL13A;RPS3A;RBMS1;RPL26;PABPC1;SRSF5;SF1;KHDRBS1;DDX5;DHX9;SRSF1;HNRNPLL;G3BP1;TPR;RPS3;G3BP2;RPS2;SF3B1;HNRNPA0;RPL41;YTHDF2;SSB;CNBP;EIF2S2;RPS26;NUDT21;RSL1D1;SERBP1;DCP1A;LSM14A;EIF3D;RBMX;EIF4G2
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	51/322	1.714092e-08	3.902417e-06	0	0	2.617293e+00	4.680190e+01	ITGB1;HSP90AB1;DOCK9;RPL34;RPL6;RPL7A;MPRIP;RUVBL1;EMD;SPTAN1;TBC1D10A;EIF2A;LYPLA2;YWHAZ;EEF1G;EEF1D;RPL24;ITGA6;RPL29;CD46;MAPRE1;MACF1;TXNDC9;SLC3A2;ZC3HAV1;CORO1B;CNN2;DNAJB1;RPL14;EPS8L2;RPL15;RPS2;SPTBN1;ZC3H15;NOP56;HSPA8;STAT1;RPL23A;EEF2;EHD1;RPS26;RSL1D1;DLG1;EIF2S3;GIPC1;GLOD4;SERBP1;EIF3E;FXYD5;EIF4G2;RAN
GO_Molecular_Function_2021	ubiquitin ligase inhibitor activity (GO:1990948)	7/8	5.274063e-08	7.419571e-06	0	0	9.559824e+01	1.602024e+03	RPS15;RPL5;RPS7;RPL23;RPL11;RPS20;RPL37
GO_Molecular_Function_2021	rRNA binding (GO:0019843)	15/42	5.431604e-08	7.419571e-06	0	0	7.621272e+00	1.274920e+02	PTCD3;RPL5;RPS9;RPL12;RPL23;RPS5;RPL11;RPLP0;CIRBP;GTF3A;RPS14;RPS3;RRS1;SBDS;RPS13
GO_Molecular_Function_2021	ubiquitin-protein transferase inhibitor activity (GO:0055105)	7/9	2.231835e-07	2.540572e-05	0	0	4.779655e+01	7.320172e+02	RPS15;RPL5;RPS7;RPL23;RPL11;RPS20;RPL37
GO_Molecular_Function_2021	mRNA 3'-UTR binding (GO:0003730)	17/85	5.452599e-05	5.320179e-03	0	0	3.427068e+00	3.364295e+01	RPL5;DDX5;RPL41;RPS7;CELF2;PABPC4;SECISBP2;CIRBP;ZFP36L2;RBM4;NUDT21;RSL1D1;EXOSC8;SERBP1;RBMS1;PABPC1;HNRNPA0
GO_Molecular_Function_2021	translation initiation factor activity (GO:0003743)	11/41	7.017201e-05	5.990935e-03	0	0	5.014436e+00	4.796088e+01	EIF4A2;EIF2S3;EIF3L;EIF3H;EIF2D;EIF3E;EIF3F;EIF2S2;EIF3D;EIF4G2;EIF2A
GO_Molecular_Function_2021	mRNA 5'-UTR binding (GO:0048027)	8/25	1.800251e-04	1.366190e-02	0	0	6.425963e+00	5.540732e+01	RPL5;RPS14;RSL1D1;RPL41;RPS7;RPS3A;RPL26;RPS13
GO_Molecular_Function_2021	phosphatase binding (GO:0019902)	18/114	7.365925e-04	5.030927e-02	0	0	2.568320e+00	1.852652e+01	CDKN1B;MVP;STAT3;NFATC2;RPA2;PIK3R1;SH3YL1;DLG1;CNST;KIF3A;LCK;RCAN3;TERF2IP;ANAPC5;IKBKE;JAK3;SFI1;SKAP1
