Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	nucleus (GO:0005634)	451/4484	1.620583e-20	5.882716e-18	0	0	1.774166e+00	8.084684e+01	ATF1;TES;GABPB2;RPL3;HNRNPU;HNRNPR;PHAX;ENO1;RPL9;GPATCH8;RPL6;PSMD4;HENMT1;GPBP1;PSMD3;IER2;TSPYL2;PRKAB2;DAXX;MED4;SND1;GTPBP4;EID1;RNF126;BIN1;RPL27;OPTN;ASF1A;RHNO1;SLBP;URI1;ZNF22;GATA3;ZNF24;LDHA;PRDX1;CDK17;JUN;NFATC3;PBX4;PA2G4;MAGOHB;HNRNPM;HNRNPK;HNRNPF;HNRNPC;SETD4;ITK;BTG3;RPLP0;SRP54;ECSIT;PRSS23;MECP2;UBL5;TMSB4X;ANXA7;JAK1;SS18;BRD2;DUSP2;ANXA1;ANXA2;TERF1;GNL3;WDR33;NCOR1;PSMA1;SF3B4;AHNAK;RPS27L;CCNDBP1;ASCL2;PSMA7;UNG;PSMB6;PSMB7;PSMB1;USP1;RPS3;FLNA;RPS27A;RPL17;SF3B1;SRSF11;CDKN2D;CRBN;MGMT;CDKN2A;MCRS1;TUBB4B;ELP6;PSMB8;DEF6;GATAD2A;PSMB9;ZNF33A;NUDT21;PSMC5;PSMC3;SERBP1;UBE2D2;PDCD5;UBE2D3;RORA;PARK7;IPO5;MAEA;GRAP2;MPC2;RUVBL1;CFL1;PIM1;PHLDA1;TLE4;IK;MAP2K2;USP5;RPS7;ZBTB38;GTF3A;VRK1;RPSA;TC2N;GTF2F1;ILF2;DGKZ;CDC25B;ILF3;MAF;S100A6;SRSF2;SRSF4;S100A4;SNRPF;TNIK;SNRNP200;SRSF7;KPNB1;CSNK1G2;SNRPB;KMT2E;ZNF792;MAZ;PHB;CORO1A;HSP90B1;SLC9A3R1;BAG5;MED30;TPR;IP6K2;FUS;POLR3GL;ZBTB16;ARPC4;NSG1;FBXO32;HOPX;COPS4;CDK9;COPS5;GON4L;PIN1;ZNF655;COPS8;OGT;RNF187;RAD9A;HSP90AB1;CELF2;PTPN22;SYNE2;SYNE1;LBH;SNRNP70;PPP6R2;LBR;CTNNBL1;BCAS2;METTL18;ILKAP;ACTR3;EIF5B;HSP90AA1;RAD23A;PLRG1;PATL2;ARL4C;METTL23;BIRC6;TMBIM6;DNAJC9;SNRPA1;SLC25A11;GAPDH;NUFIP1;HDAC1;VPS4B;VPS4A;PBXIP1;PDHB;RCHY1;MLLT6;PPM1G;DNAJB1;CCDC85B;U2AF2;POLR2B;POLR2C;POLR2F;FYN;ASCC2;SNRPB2;POLR2I;POLR2K;POLR2L;SMARCE1;HNRNPA3;DUT;RNGTT;GPKOW;GZMA;GZMB;RPL23A;SNRK;KLF6;PDCD4;EIF3G;PDCD2;STUB1;PFKP;PANK4;CCNH;RTCB;ACTB;UXT;TIAL1;NFU1;MT2A;RASSF1;SNRPD2;KAT5;RPL36AL;RASSF5;CCNL1;FBXO7;SKP1;ABT1;IMP3;IFRD1;CIRBP;RUNX3;RUNX1;SRRM1;SUB1;GRWD1;MT1F;VDAC3;PFN1;CCDC82;MT1E;GGNBP2;ANP32A;SP140;ZBTB1;NMD3;TXN;UBE2J2;HNRNPLL;GMCL1;FXR1;ZNHIT3;DHX36;INPP5K;LYAR;APOBEC3C;XBP1;XRCC6;APOBEC3G;GADD45B;BCL11B;XRCC5;APOBEC3H;SS18L2;SMARCA5;PARP15;SMARCA4;MANF;ID2;INTS5;RNPS1;ATM;CALR;CALM1;CALM2;CLIC3;PPP1R11;CITED2;TECR;RSF1;N4BP2L2;PTMS;C1QBP;DHX15;CLIC1;PRMT2;PRMT1;TUBB;CACYBP;KIF22;SUPT3H;UCHL5;MLF1;SCNM1;HNRNPH1;HNRNPH3;VGLL4;PPP2CA;SERTAD1;TSNAX;NPM1;RANBP3;PTGES3;NFYC;RPA2;KRT10;PPP1CA;BATF;STK17A;CCNG1;HNRNPA2B1;PRPF31;NARF;PEBP1;NUCKS1;CIB1;SRP14;ETS1;ACTG1;DOCK10;CCND3;CHCHD2;RGS3;PTTG1;RBMX2;CWC22;ZBP1;PDIA3;PCID2;BORA;THEMIS;ADAM10;WBP11;RSBN1;DPM1;BRMS1;HNRNPUL1;CMPK1;CHMP4A;PPIB;PPIA;PPID;DDX6;DDX5;VCP;HTRA2;STK4;ZFP36L2;UBB;UBC;LPXN;PMAIP1;BCL9L;SMAD2;PRNP;CBX7;HSPA8;UBE2I;HSPA5;CBX3;NONO;PHF11;HMGA1;USB1;CLK3;ISG20;DIAPH1;NABP2;SERGEF;GSK3B;CHD8;NGLY1;DPY30;TNFAIP3;HMGB1;CABIN1;RBM3;DTWD1;RBM4;MYBL1;NCBP2;BUD31;ABHD14B;PPP2R5A;RPS3A;GLRX2;PPP2R5C;TRNAU1AP;SUPV3L1;CREB3;DDX19A;IRF3;IRF1;MYH9;TERF2IP;ITGB1BP1;ZMYND11;RBM22;OTUB1;SASH3;RGS14;POLDIP2;NAA20;PNKP;POMP;TOB1;IWS1;TFPT;RNF113A;TBX21;TRA2B;FAM120A;RALY;GBP2;RBM38;TAF12;WTAP;DTNBP1;DEK;MAPK13;REST;RPS6KB1;CDK2AP2;BAX;SSBP1;CCDC174;LPIN1;RAN;SSBP4;NUP37
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	498/5192	1.099797e-18	1.996131e-16	0	0	1.693476e+00	7.002760e+01	ATF1;ITSN2;TES;GABPB2;RPL3;HNRNPU;HNRNPR;PHAX;ENO1;SLA2;RPL9;GPATCH8;RPL6;TBK1;PSMD4;SCP2;HENMT1;GPBP1;PSMD3;IER2;TSPYL2;PRKAB2;DAXX;FNBP1;MED4;SND1;GTPBP4;EID1;RNF126;RNF125;BIN1;RPL27;OPTN;ASF1A;RHNO1;SLBP;URI1;ZNF22;GATA3;ZNF24;LDHA;PRDX1;CDK17;ARL14EP;JUN;NFATC3;PBX4;PA2G4;MAGOHB;EHD1;HNRNPM;HNRNPK;HNRNPF;HNRNPC;SETD4;ITK;BTG3;DENND1B;RPLP0;SRP54;ECSIT;LITAF;PRSS23;MECP2;UBL5;TMSB4X;ANXA7;JAK1;SS18;BRD2;DUSP2;ANXA1;ANXA2;TERF1;GNL3;WDR33;NCOR1;PSMA1;VAMP2;SF3B4;AHNAK;RPS27L;CCNDBP1;ASCL2;PSMA7;UNG;PSMB6;PSMB7;GGA1;PSMB1;USP1;RPS3;FLNA;RPS27A;RPL17;SF3B1;SRSF11;CDKN2D;CRBN;MGMT;CDKN2A;AGK;MCRS1;TUBB4B;ELP6;PSMB8;DEF6;GATAD2A;PSMB9;ZNF33A;NUDT21;PSMC5;PSMC3;SERBP1;UBE2D2;PDCD5;UBE2D3;RORA;MSI2;PARK7;IPO5;MAEA;GRAP2;MPC2;RUVBL1;CFL1;PIM1;PHLDA1;TLE4;IK;MAP2K2;USP5;RPS7;ZBTB38;F2R;GTF3A;VRK1;RPSA;TC2N;GTF2F1;ILF2;DGKZ;CDC25B;ILF3;MAF;S100A6;SRSF2;SRSF4;S100A4;SNRPF;TNIK;SNRNP200;SRSF7;KPNB1;CSNK1G2;SNRPB;KMT2E;ZNF792;MAZ;PHB;CORO1A;HSP90B1;SLC9A3R1;BAG5;MED30;TPR;IP6K2;TOR1A;FUS;POLR3GL;ZBTB16;ARPC4;NSG1;FBXO32;HOPX;COPS4;CDK9;COPS5;GON4L;PIN1;ZNF655;COPS8;OGT;RNF187;RAD9A;HSP90AB1;CELF2;PTPN22;SYNE2;SYNE1;LBH;SNRNP70;PPP6R2;LBR;CTNNBL1;BCAS2;METTL18;ILKAP;ACTR3;EIF5B;HSP90AA1;VBP1;VPS37A;RAD23A;PLRG1;DDOST;PATL2;ARL4C;METTL23;TMBIM1;BIRC6;TMBIM6;DNAJC9;SNRPA1;SLC25A11;GAPDH;NUFIP1;HDAC1;VPS4B;VPS4A;PBXIP1;PDHB;RCHY1;MLLT6;PPM1G;DNAJB1;CCDC85B;U2AF2;POLR2B;POLR2C;POLR2F;FYN;ASCC2;SNRPB2;POLR2I;POLR2K;POLR2L;SMARCE1;CYB5A;HNRNPA3;DUT;RNGTT;GPKOW;GZMA;GZMB;RPL23A;GZMH;SNRK;KLF6;RAB14;PDCD4;EIF3G;PDCD2;STUB1;PFKP;PANK4;CCNH;SLC35B1;RTCB;ECI2;ACTB;UXT;TIAL1;NFU1;MT2A;RASSF1;SNRPD2;KAT5;RPL36AL;RASSF5;BSG;CCNL1;FBXO7;SKP1;ABT1;IMP3;SLC35C2;IFRD1;CIRBP;RUNX3;RUNX1;SRRM1;SUB1;GRWD1;MT1F;VDAC3;KDELR2;PFN1;CCDC82;MT1E;LLGL2;GGNBP2;ANP32A;MGST3;SP140;ZBTB1;NMD3;TXN;UBE2J2;HNRNPLL;GMCL1;FXR1;ZNHIT3;DHX36;INPP5K;LYAR;APOBEC3C;XBP1;XRCC6;APOBEC3G;GADD45B;BCL11B;XRCC5;APOBEC3H;SS18L2;SMARCA5;PARP15;SMARCA4;MANF;ID2;INTS5;RNPS1;ATM;CALR;CALM1;CALM2;ITM2B;CLIC3;PPP1R11;CITED2;TECR;RSF1;N4BP2L2;PTMS;C1QBP;DHX15;RAC2;CLIC1;CTSC;TMED5;PRMT2;PRMT1;TUBB;CACYBP;KIF22;RHOF;SUPT3H;UCHL5;MLF1;GAK;SCNM1;HNRNPH1;HNRNPH3;VGLL4;CD63;PPP2CA;SERTAD1;TSNAX;NPM1;RANBP3;PTGES3;NFYC;RPA2;KRT10;PPP1CA;BATF;STK17A;CCNG1;HNRNPA2B1;PRPF31;PEBP1;NUCKS1;CIB1;SRP14;GIMAP7;ETS1;ACTG1;DOCK10;CCND3;CHCHD2;RGS3;PTTG1;RBMX2;CWC22;ZBP1;PDIA3;G6PD;PCID2;BORA;THEMIS;ADAM10;WBP11;RSBN1;DPM1;BRMS1;HNRNPUL1;CMPK1;PPIH;CHMP4A;PPIB;PPIA;PPID;DDX6;DDX5;VCP;TMED10;UBA5;HTRA2;STK4;ZFP36L2;UBB;UBC;LPXN;PMAIP1;BCL9L;SMAD2;PRNP;CPSF4;CBX7;HSPA8;UBE2I;HSPA5;CBX3;NONO;PHF11;HMGA1;USB1;CLK3;ISG20;DIAPH1;ARHGAP30;NABP2;SERGEF;GSK3B;ABCD3;CHD8;NGLY1;DPY30;TNFAIP3;HMGB1;CABIN1;RBM3;DTWD1;RBM4;MYBL1;NCBP2;BUD31;ABHD14B;PPP2R5A;RPS3A;GLRX2;PPP2R5C;TRNAU1AP;SUPV3L1;CREB3;DDX19A;IRF3;IRF1;MYH9;TERF2IP;ITGB1BP1;ZMYND11;RBM22;OTUB1;SASH3;RGS14;POLDIP2;NAA20;PNKP;POMP;CLCN3;TOB1;IWS1;TFPT;RNF113A;TBX21;TRA2B;FAM120A;RALY;GBP2;KLRG1;RBM38;TAF12;WTAP;DTNBP1;DEK;MAPK13;REST;RPS6KB1;ABHD17A;CDK2AP2;BAX;SSBP1;CCDC174;LPIN1;RAN;SSBP4;NUP37
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	67/387	1.660189e-12	2.008829e-10	0	0	2.939760e+00	7.973831e+01	ARF1;RPL3;TES;CD81;YWHAB;RPLP0;ITGB2;ARPC5L;SLA;RPL9;RPL6;SYNE2;ACTB;ACTG1;YWHAQ;CFL1;BSG;ANXA6;RAC2;CAPN2;FLOT1;ITGB7;B2M;JAK1;ACTR3;CAP1;PDIA3;ANXA1;MAP2K2;RPS7;ADAM10;IL16;RPS3A;DNM2;MYH9;RPL27;EVL;ITGB1BP1;LCP1;PFN1;CD46;MAPRE1;PPIB;PPIA;ARF6;AHNAK;PXN;HSP90B1;CDC42;CNN2;DPP4;RPS3;FLNA;LPXN;CD59;RSU1;CD99;HSPA9;ARL14EP;HSPA8;NPM1;HSPA5;HMGA1;HNRNPK;PTPRC;P4HB;CALR
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	67/394	3.865425e-12	3.507873e-10	0	0	2.875729e+00	7.557115e+01	ARF1;RPL3;TES;CD81;YWHAB;RPLP0;ITGB2;ARPC5L;SLA;RPL9;RPL6;SYNE2;ACTB;ACTG1;YWHAQ;CFL1;BSG;ANXA6;RAC2;CAPN2;FLOT1;ITGB7;B2M;JAK1;ACTR3;CAP1;PDIA3;ANXA1;MAP2K2;RPS7;ADAM10;IL16;RPS3A;DNM2;MYH9;RPL27;EVL;ITGB1BP1;LCP1;PFN1;CD46;MAPRE1;PPIB;PPIA;ARF6;AHNAK;PXN;HSP90B1;CDC42;CNN2;DPP4;RPS3;FLNA;LPXN;CD59;RSU1;CD99;HSPA9;ARL14EP;HSPA8;NPM1;HSPA5;HMGA1;HNRNPK;PTPRC;P4HB;CALR
GO_Cellular_Component_2021	intracellular non-membrane-bounded organelle (GO:0043232)	132/1158	3.537111e-09	2.567942e-07	0	0	1.827856e+00	3.556999e+01	SRP19;NARF;RPL3;POP4;HNRNPR;NUCKS1;GIMAP7;RPL9;ACTB;ACTG1;UXT;MAEA;KAT5;PIM1;PHLDA1;TSPYL2;ABT1;RPS7;IMP3;SCAF11;DIMT1;ANXA11;VRK1;ILF2;RUNX3;TUBA4A;GTPBP4;EBNA1BP2;ILF3;BIN2;BIN1;WDR82;SUB1;MORF4L2;GRWD1;CMPK1;RPL27;ADAM8;TNIK;PPID;RHNO1;SLBP;DDX5;VCP;MEAF6;RPS19BP1;EPB41;PRKRIP1;HTRA2;NMD3;RAP1B;CNN2;FXR1;RRS1;LPXN;BRIX1;LYAR;BCL9L;ARL14EP;XRCC6;XRCC5;CBX3;PYHIN1;PA2G4;TBCA;SMARCA4;ISG20;EHD1;MOB2;ATM;ZNF655;NOL11;LPCAT1;SRP54;WDR43;SYNE1;RBM4;CASP8;CAPZB;RAC2;RBM34;METTL18;NCK1;NUDC;ANXA2;TUBB;VPS13A;ABHD14B;RPS3A;RHOF;MRPS7;TERF1;UCHL5;GNL3;MZT2B;MZT2A;RCN2;SDHAF2;CDC42EP3;PLIN2;ITGB1BP1;LCP1;MAPRE1;GAPDH;DBN1;GTF3C1;SF3B4;STOML2;NUFIP1;ROCK1;RGS14;PNKP;MRPS31;NOL7;DDX21;TAF1C;RPS3;FLNA;STOM;RPS27A;EXOSC1;DCAF13;NOP56;NPM1;MCRS1;RPL23A;TUBB4B;KLF6;RAB18;TCEA1;P4HB;RAN
GO_Cellular_Component_2021	mitochondrial membrane (GO:0031966)	65/469	4.333575e-08	2.621813e-06	0	0	2.245207e+00	3.806588e+01	MRPS16;CISD1;MRPS10;ECSIT;MRPL34;MRPL32;MRPL4;CASP8;OPA1;PMPCB;MRPL9;VPS13C;MRPL49;VPS13A;TIMM22;SDHC;MRPL48;MRPS7;MRPL43;DNM2;VDAC3;TMBIM6;TMEM126B;MICU2;SLC25A11;SLC25A4;NDUFB9;STOML2;NDUFB7;MTFP1;NDUFB10;NDUFB3;MRPS31;PHB;MRPS30;MRPL10;MRPL55;AGPAT4;PGS1;SLC25A26;UBB;UCP2;UBC;RPS3;PMAIP1;BAK1;SLC25A20;RPS27A;NDUFV2;DNAJC19;CYB5A;NDUFA6;NDUFA5;AGK;NDUFA4;BAD;MRPL28;COX6C;CRLS1;PPP2R2B;NDUFAF4;NDUFAF2;BAX;NDUFAF1;LPIN1
GO_Cellular_Component_2021	nuclear lumen (GO:0031981)	90/745	9.520505e-08	4.458734e-06	0	0	1.927955e+00	3.116969e+01	SRP19;RPL3;NARF;POP4;SRP54;HNRNPU;HNRNPR;NUCKS1;WDR43;SYNE2;SYNE1;RBM4;KAT5;PIM1;RBM34;PHLDA1;METTL18;TSPYL2;ABT1;IK;RPS7;IMP3;SCAF11;DIMT1;ABHD14B;VRK1;RPS3A;TERF1;ILF2;RUNX3;GTPBP4;UCHL5;GNL3;EBNA1BP2;ILF3;RCN2;SDHAF2;WDR82;MORF4L2;GRWD1;SUB1;CMPK1;TERF2IP;RPL27;PPID;SF3B4;GTF3C1;SLBP;DDX5;NUFIP1;MEAF6;RPS19BP1;PRKRIP1;PNKP;MRPS31;NOL7;DDX21;NMD3;FXR1;TAF1C;RRS1;RPS3;FLNA;BRIX1;RPS27A;LYAR;DCAF13;EXOSC1;BCL9L;NOP56;SMARCE1;ARL14EP;JUN;XRCC6;NPM1;XRCC5;MCRS1;PYHIN1;RPL23A;PA2G4;TBCA;SMARCA4;ISG20;KLF6;MOB2;TCEA1;ATM;ZNF655;NOL11;RAN
GO_Cellular_Component_2021	U2-type spliceosomal complex (GO:0005684)	22/89	9.826412e-08	4.458734e-06	0	0	4.518151e+00	7.290310e+01	SF3B4;IK;BUD31;PLRG1;CWC27;MAGOHB;RNF113A;SNRNP40;SNRPD2;RBMX2;SNRNP70;U2AF2;CWC22;SNRPA1;SNRPB2;PRPF31;SNRPF;SNRNP200;SF3B1;BCAS2;RBM22;SNRPB
GO_Cellular_Component_2021	nucleolus (GO:0005730)	88/733	1.750805e-07	6.086642e-06	0	0	1.912417e+00	2.975342e+01	SRP19;RPL3;NARF;POP4;SRP54;HNRNPR;NUCKS1;WDR43;SYNE1;RBM4;KAT5;PIM1;RBM34;PHLDA1;METTL18;TSPYL2;ABT1;RPS7;IMP3;SCAF11;DIMT1;ABHD14B;VRK1;RPS3A;TERF1;ILF2;RUNX3;GTPBP4;UCHL5;GNL3;EBNA1BP2;ILF3;RCN2;SDHAF2;WDR82;MORF4L2;GRWD1;SUB1;POLR1D;CMPK1;RPL27;PPID;SF3B4;GTF3C1;SLBP;DDX5;NUFIP1;MEAF6;RPS19BP1;PRKRIP1;PNKP;MRPS31;NOL7;DDX21;NMD3;FXR1;TAF1C;RRS1;RPS3;FLNA;POLR2F;BRIX1;RPS27A;LYAR;DCAF13;POLR2K;EXOSC1;POLR2L;BCL9L;NOP56;ARL14EP;XRCC6;NPM1;XRCC5;MCRS1;PYHIN1;RPL23A;PA2G4;TBCA;SMARCA4;ISG20;KLF6;MOB2;TCEA1;ATM;ZNF655;NOL11;RAN
GO_Cellular_Component_2021	organelle inner membrane (GO:0019866)	51/346	1.811572e-07	6.086642e-06	0	0	2.401217e+00	3.727626e+01	MRPS16;MRPS10;ECSIT;MRPL34;MRPL32;MRPL4;OPA1;PMPCB;MRPL9;LBR;MRPL49;TIMM22;SDHC;MRPL48;MRPS7;MRPL43;MFSD10;TMX4;TMEM126B;MICU2;SLC25A11;SLC25A4;NDUFB9;STOML2;NDUFB7;NDUFB10;MTFP1;NDUFB3;MRPS31;MRPS30;PHB;MRPL10;MRPL55;PGS1;SLC25A26;UCP2;RPS3;SLC25A20;NDUFV2;DNAJC19;NDUFA6;NDUFA5;AGK;CBX3;NDUFA4;MRPL28;COX6C;CRLS1;NDUFAF4;NDUFAF2;NDUFAF1
