Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	122/485	8.595309e-38	3.497431e-34	0	0	4.915121e+00	4.194909e+02	FCN1;TMEM179B;PYCARD;LGALS3;PSMD7;FTH1;COTL1;ACAA1;CD300A;PRKCD;CYBA;MIF;ILF2;DYNC1LI1;CLEC4C;RAB31;TYROBP;CSNK2B;S100A9;PPIA;VCL;FTL;VCP;RAB5C;BRI3;STXBP2;CFP;SYNGR1;PRDX4;RAP1A;COMMD9;DPP7;ALDH3B1;PSAP;MLEC;NCKAP1L;S100A11;XRCC6;RAB4B;TRAPPC1;XRCC5;ARPC5;LYZ;PRDX6;BST2;DIAPH1;TOLLIP;CYSTM1;SERPINA1;HEXB;ITGB2;CTSZ;GDI2;CTSS;HEBP2;GLIPR1;CTSH;RAC1;GUSB;SNAP29;CD33;CTSC;CTSB;CAP1;ACTR2;HGSNAT;SERPINB1;FCER1G;ANXA2;SYK;PGAM1;RNASET2;GAA;RHOG;PLAUR;NDUFC2;COMMD3;DYNLL1;DDOST;RHOA;SERPINB6;PSMA5;VAMP8;FGR;VAMP7;PKM;NPC2;CAT;CD47;ALDOA;DNASE1L1;RAB7A;CD63;CSTB;GRN;GSTP1;FGL2;PRCP;LILRA2;CST3;PSMB7;CREG1;PSMB1;CD59;CCT8;CD55;GSN;GCA;CMTM6;LILRB2;TUBB4B;CPPED1;PFKL;FCGR2A;FABP5;IMPDH1;IMPDH2;LAMTOR2;MNDA;PTPN6;LAMTOR1;CD68
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	120/481	8.512275e-37	1.731822e-33	0	0	4.854089e+00	4.031522e+02	FCN1;TMEM179B;PYCARD;LGALS3;PSMD7;FTH1;COTL1;ACAA1;CD300A;PRKCD;CYBA;MIF;ILF2;DYNC1LI1;CLEC4C;RAB31;TYROBP;CSNK2B;S100A9;PPIA;VCL;FTL;VCP;RAB5C;BRI3;STXBP2;CFP;SYNGR1;PRDX4;RAP1A;COMMD9;DPP7;ALDH3B1;PSAP;MLEC;NCKAP1L;S100A11;XRCC6;RAB4B;TRAPPC1;XRCC5;ARPC5;LYZ;PRDX6;BST2;DIAPH1;TOLLIP;CYSTM1;SERPINA1;HEXB;ITGB2;CTSZ;GDI2;CTSS;HEBP2;GLIPR1;CTSH;RAC1;GUSB;SNAP29;CD33;CTSC;CTSB;CAP1;ACTR2;HGSNAT;SERPINB1;FCER1G;ANXA2;PGAM1;RNASET2;GAA;RHOG;PLAUR;NDUFC2;COMMD3;DYNLL1;DDOST;RHOA;SERPINB6;PSMA5;VAMP8;FGR;VAMP7;PKM;NPC2;CAT;CD47;ALDOA;DNASE1L1;RAB7A;CD63;CSTB;GRN;GSTP1;FGL2;PRCP;CST3;PSMB7;CREG1;PSMB1;CD59;CCT8;CD55;GSN;GCA;CMTM6;LILRB2;TUBB4B;CPPED1;PFKL;FCGR2A;FABP5;IMPDH1;IMPDH2;LAMTOR2;MNDA;PTPN6;LAMTOR1;CD68
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	120/488	3.936026e-36	5.338564e-33	0	0	4.759931e+00	3.880434e+02	FCN1;TMEM179B;PYCARD;LGALS3;PSMD7;FTH1;COTL1;ACAA1;CD300A;PRKCD;CYBA;MIF;ILF2;DYNC1LI1;CLEC4C;RAB31;TYROBP;CSNK2B;S100A9;PPIA;VCL;FTL;VCP;RAB5C;BRI3;STXBP2;CFP;SYNGR1;PRDX4;RAP1A;COMMD9;DPP7;ALDH3B1;PSAP;MLEC;NCKAP1L;S100A11;XRCC6;RAB4B;TRAPPC1;XRCC5;ARPC5;LYZ;PRDX6;BST2;DIAPH1;TOLLIP;CYSTM1;SERPINA1;HEXB;ITGB2;CTSZ;GDI2;CTSS;HEBP2;GLIPR1;CTSH;RAC1;GUSB;SNAP29;CD33;CTSC;CTSB;CAP1;ACTR2;HGSNAT;SERPINB1;FCER1G;ANXA2;PGAM1;RNASET2;GAA;RHOG;PLAUR;NDUFC2;COMMD3;DYNLL1;DDOST;RHOA;SERPINB6;PSMA5;VAMP8;FGR;VAMP7;PKM;NPC2;CAT;CD47;ALDOA;DNASE1L1;RAB7A;CD63;CSTB;GRN;GSTP1;FGL2;PRCP;CST3;PSMB7;CREG1;PSMB1;CD59;CCT8;CD55;GSN;GCA;CMTM6;LILRB2;TUBB4B;CPPED1;PFKL;FCGR2A;FABP5;IMPDH1;IMPDH2;LAMTOR2;MNDA;PTPN6;LAMTOR1;CD68
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	43/70	1.410757e-32	1.435093e-29	0	0	2.230829e+01	1.636059e+03	COX7B;NDUFA11;NDUFB10;UQCRB;NDUFB11;NDUFB5;COX4I1;NDUFB4;NDUFA10;NDUFB3;NDUFB1;UQCR10;COX6A1;COX5B;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV3;NDUFV2;NDUFV1;COX8A;NDUFA8;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC2;SDHC;SDHD;COX6C;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;UQCRC1;NDUFS2;CYCS
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	43/71	3.344772e-32	2.721975e-29	0	0	2.151041e+01	1.558974e+03	COX7B;NDUFA11;NDUFB10;UQCRB;NDUFB11;NDUFB5;COX4I1;NDUFB4;NDUFA10;NDUFB3;NDUFB1;UQCR10;COX6A1;COX5B;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV3;NDUFV2;NDUFV1;COX8A;NDUFA8;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC2;SDHC;SDHD;COX6C;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;UQCRC1;NDUFS2;CYCS
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	25/39	3.820157e-20	2.590703e-17	0	0	2.469619e+01	1.104201e+03	NDUFA11;NDUFB10;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB1;NDUFV3;NDUFV2;NDUFV1;NDUFA8;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC2;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS4;NDUFS3;NDUFS2
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	106/621	1.217415e-18	7.076658e-16	0	0	2.947287e+00	1.215750e+02	IFITM3;CD86;SPI1;CSF3R;IFITM2;IFI30;TXNDC17;PSMD8;PYCARD;RPS6KA4;MT2A;PSMD7;PSMD4;CFL1;PRKACA;IL6R;TRIM22;IL13RA1;PRKCD;TALDO1;MIF;CSNK2B;PSME2;PPIA;IFNAR1;CSF1R;CSF2RA;HSP90B1;INPP5D;HLA-DQA2;HLA-DQA1;MCL1;HLA-DRB5;MSN;ISG15;SMARCA4;BST2;NFKBIA;TOLLIP;HLA-DRA;GRB2;XAF1;HLA-DRB1;MYD88;CDKN1A;CIITA;FLT3;TRADD;ITGB2;TNFSF13B;CASP1;TIMP1;APPL1;HLA-DPA1;CCR2;ANXA1;FCER1G;ANXA2;SYK;GSTO1;RIPK2;IFNGR2;IL18;COMMD7;TNFRSF1A;PSMA5;HCK;PSMA3;PSMA4;PSMA1;OAS1;IL1B;CANX;IRF7;IRF8;LCP1;HLA-DQB2;HLA-DQB1;CEBPD;IFI6;SAMHD1;PSMB10;PSMB6;PSMB7;PSMB4;PSMB5;PSMB2;PSMB3;PSMB1;STAT6;PAK2;STAT1;MX2;MX1;LILRB2;LILRB4;PSMB8;PSMC5;CD4;PSMC4;HNRNPA2B1;HLA-DPB1;PTPN6;PLP2;TRIM38;VIM
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	35/90	3.391087e-18	1.724791e-15	0	0	8.847169e+00	3.558808e+02	NDUFA11;COX16;NDUFB10;NDUFB11;NDUFB5;NDUFB4;NDUFA10;COX17;NDUFB3;NDUFB1;UQCRFS1;COX14;NDUFV3;NDUFV2;NDUFV1;COA5;NDUFA8;SURF1;NDUFA6;TIMMDC1;NDUFA2;NDUFA1;NDUFC2;OXA1L;NDUFS8;NDUFS7;NDUFS6;SCO2;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;NDUFAF2;NDUFS2;NDUFAF3
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	63/274	7.310195e-18	2.837256e-15	0	0	4.204291e+00	1.658898e+02	PDCD7;EIF4A3;HNRNPU;YBX1;PQBP1;UBL5;PTBP1;SNRPD1;PCF11;MAGOH;PAPOLA;DDX17;RBM17;BUD31;PRPF40A;ZCRB1;GTF2F2;SFPQ;SCNM1;CLNS1A;FRG1;SNRPG;SRSF2;STRAP;SNRNP27;SRSF3;SNRPE;SRSF4;PABPC1;SNRPF;DNAJC8;SNRPC;SRSF7;SNRPA;SNRPB;SRSF9;SF3B4;SF3B5;RBM8A;SRSF1;U2AF1L4;PABPN1;POLR2A;PUF60;TRA2B;POLR2E;RALY;SNRPB2;POLR2H;POLR2I;SMNDC1;SRSF11;HNRNPA0;HNRNPA3;NONO;UPF3B;LSM2;LSM7;SNW1;LSM6;HNRNPA2B1;HNRNPD;HNRNPC
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	28/58	7.670144e-18	2.837256e-15	0	0	1.292559e+01	5.093871e+02	NDUFA11;NDUFB10;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB1;NDUFV3;NDUFV2;NDUFV1;NDUFA8;NDUFA6;TIMMDC1;NDUFA2;NDUFA1;NDUFC2;OXA1L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;NDUFAF2;NDUFS2;NDUFAF3
