,0,1,2,3,4,5,6,7
0,CD3D,S100A8,CD79A,CCL5,FCGR3A,GNLY,FCER1A,PPBP
1,LDHB,S100A9,HLA-DRA,GZMK,LST1,GZMB,HLA-DQA1,PF4
2,NOSIP,LYZ,MS4A1,NKG7,IFITM2,FGFBP2,CLEC10A,GNG11
3,IL32,LGALS2,CD74,CST7,STXBP2,PRF1,HLA-DQB1,SDPR
4,RGCC,FCN1,HLA-DPB1,GZMA,IFITM3,CTSW,HLA-DPB1,GPX1
5,RPL22,CD14,CD79B,CD3D,FCER1G,NKG7,CST3,NRGN
6,MYL12A,FTL,HLA-DRB1,CTSW,RHOC,TYROBP,HLA-DPA1,HIST1H2AC
7,CD3E,GSTP1,HLA-DQA1,CD8A,AIF1,FCGR3A,HLA-DRA,CCL5
8,JUNB,TYROBP,HLA-DPA1,KLRG1,PSAP,XCL2,LYZ,GP9
9,RPL31,CFD,CD37,GZMH,MT2A,SPON2,HLA-DQA2,TPM4
10,LTB,MS4A6A,HLA-DQB1,S100A6,MS4A7,FCER1G,CD74,SPARC
11,VIM,GPX1,LINC00926,LYAR,LILRA3,GZMA,HLA-DRB1,RUFY1
12,S100A10,IER2,TCL1A,IL32,NINJ1,HOPX,SRSF7,TUBB1
13,CD27,NPC2,LTB,NCR3,DRAP1,ID2,HLA-DMA,TMEM40
14,TMSB10,CCL3,HLA-DRB5,PPIA,ZNF706,PLAC8,HLA-DRB5,RGS18
15,TMEM123,GRN,VPREB3,HCST,ABI3,CD247,LSP1,ACRBP
16,TOMM20,CSF3R,LAPTM5,S100A4,SAT1,CD7,IL1B,MPP1
17,MALAT1,CTSS,BANK1,LCK,NAP1L1,CLIC3,VIM,RGS10
18,ACTG1,NCF2,IGLL5,AMICA1,CHCHD10,CST7,CD1C,TAGLN2
19,RPL7A,FPR1,HVCN1,PTPRCAP,HES4,IGFBP7,RNASE6,PTCRA
20,ANKRD12,CEBPD,EAF2,CD97,PPDPF,CCL4,SERPINF1,CALM3
21,PIK3IP1,TMEM176B,PTPN6,SAMD3,SERPINA1,GZMM,ANXA1,CD9
22,RPS20,LGALS3,HLA-DMA,POLR1D,FTL,XCL1,AP1S2,GRAP2
23,RPL41,TYMP,HLA-DMB,KLRB1,COTL1,SELL,TAGLN2,NGFRAP1
24,SOCS3,S100A6,ISG20,DUSP2,LRRC25,LIMD2,EIF3L,CLU
25,RNASET2,APOBEC3A,IGJ,COX7A2,ATP6V0D1,AKR1C3,GPX1,TUBA4A
26,NSMCE1,CD68,LY86,MT2A,RPS19,KLRD1,PHACTR1,FERMT3
27,MAL,UBXN11,HLA-DQA2,CD8B,CTSL,IL2RB,GRN,CA2
28,ARHGAP15,FOLR3,FCER2,HNRNPR,BID,CD63,ENHO,SEPT5
29,PASK,CST3,PTPRCAP,UBE2I,FAM26F,ARPC5L,CD33,TREML1
30,U2AF1,BLVRB,CD52,TOB1,ATP5I,IFITM2,CPVL,ODC1
31,RPS29,ASGR1,P2RX5,HLA-E,TIMP1,APMAP,RGS1,H3F3A
32,RPS28,CDA,SNX2,CCNI,CST3,PRSS23,HLA-DMB,AP001189.4
33,CCDC109B,SCO2,QRSL1,HNRNPC,CD79B,C5orf56,ALDH2,ILK
34,FYB,FTH1,RPS11,MYL12B,IFITM1,DHRS7,PLD4,C2orf88
35,SOD1,RAC1,GNG7,MRPL32,SLC16A3,DRAP1,ID2,MYL12A
36,RPS23,HMGB2,POLD4,DNAJB1,FTH1,SRGN,NDUFAB1,LIMS1
37,RPL24,NCF1,SNX3,POLR2L,CEBPB,ANXA6,GSTP1,OAZ1
38,TMEM66,CD37,PNOC,HSPA5,LILRB2,BST2,H2AFY,PRDX6
39,OCIAD2,PYCARD,FAIM3,CHST12,COX6B1,EFHD2,AP2S1,LAMTOR1
40,AES,CECR1,SNHG7,POMP,YBX1,ITGB2,ARL4C,CLDN5
41,PLP2,S100A4,PDLIM1,HLA-C,C1QA,CD300A,IGSF6,PGRMC1
42,RPL38,RHOA,FCRLA,SSBP4,C5AR1,C1orf162,HNRNPC,PDLIM1
43,HSPA8,VCAN,NCF1,CD3E,BRI3,HAVCR2,ARF5,NCOA4
44,STK17B,KLF6,SMIM14,CUTA,RP11-290F20.3,CCL3,EIF3K,OST4
45,CD44,BST1,IRF8,C9orf142,FMNL1,CTSD,KLF4,MMD
46,RP11-291B21.2,LGALS1,BLK,FXR1,WARS,UBB,CAPG,AC147651.3
47,RPS25,CD63,RPL18A,CDC42EP3,ADA,MATK,AMICA1,MAX
48,RPL30,UBE2D1,EVI2B,NDUFV2,LGALS1,ABI3,TPGS1,ITGA2B
49,LDLRAP1,S100A11,HLA-DOB,PTPRC,LYST,NDUFB2,SULF2,ITM2B
50,RPS14,GLIPR2,FAM65B,CD48,TUBA1B,RHOC,RNASET2,CMTM5
51,JUN,AIF1,PKIG,TIGIT,OAS1,CALM1,LGALS2,TSC22D1
52,RPL35A,CNPY3,POU2AF1,TGOLN2,ATP5E,LUC7L3,RPL39,CTSA
53,PCNP,CTSZ,TXNIP,TIAL1,CTSC,GPR56,RNH1,YWHAH
54,MRPL18,FCGR1A,CD40,XRCC5,NEAT1,SF3B5,DDIT4,CAPN1
55,RGL4,MRPL20,MARCH1,SH3BGRL3,FKBP1A,SERF2,RPL22,MYL6
56,CCR7,CD99,TSPAN13,VAMP5,TMEM258,KLRC1,GSN,GSTO1
57,GIMAP7,PRDX6,MEF2C,MZT2B,COX7C,PGK1,ID1,MARCH2
58,RPL9,IL8,CXCR4,SERINC1,VMP1,EIF3I,CTSH,TIMP1
59,RPS12,GCA,STX7,YWHAH,PPBP,HMGB1,HSPE1,SH3BGRL3
60,RPLP2,VAMP8,CD69,BAX,CD68,HSH2D,COPE,NAP1L1
61,RPS5,SMCO4,KLF2,RSF1,LYN,PTGDR,S100A10,H2AFJ
62,POLR3GL,AGTRAP,ADAM28,EEF1B2,H2AFZ,XBP1,LAMTOR1,PTPN18
63,TCEAL8,PLBD1,CXXC5,CLN3-1,ATP1B3,TTC38,TUBA1B,CDKN2D
64,RPS27,AP1S2,RPLP2,ADRM1,CTSS,APOBEC3G,SPINT2,TMSB4X
65,COX7C,S100A12,ISCU,SSNA1,RHOG,RAP1B,LAP3,PARVB
66,RPS3,AUP1,PARP1,MRPS16,HCK,AOAH,HLA-DQB2,ARPC1B
67,ABRACL,NFKBIA,CD22,LINC00152,MRPS16,ZAP70,COX6A1,ACTB
68,SKP1,TNFSF13B,GLG1,RNF167,COX5A,LITAF,HNRNPA0,CLEC1B
69,RPL36A,CYBA,SCPEP1,GIMAP4,C19orf38,IL2RG,GADD45B,RAP1B
70,MED28,RBP7,RPL8,ZAP70,ARPC1B,LAMP1,RBM39,GPX4
71,ZFAND1,LY6E,EIF4A2,RPL27,CPPED1,SERPINB1,APEX1,ARPC5
72,RPL32,C20orf24,PNISR,GZMM,LYL1,SH2D1B,CSTB,NT5C3A
73,PRDX2,BLVRA,YBX1,SPSB3,CDKN1C,TPST2,RNF130,MYL9
