Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	269/1406	6.269340e-58	4.432423e-55	0	0	3.755344e+00	4.946323e+02	POP5;RPL5;EIF4A1;RPL30;POP7;RPL3;RPL32;RPL31;RPL34;RRP1;EIF4A3;NUDT1;HNRNPU;THUMPD1;RPL8;IFIT1;RPL9;IFIT3;CCAR1;RPL7;RPS15;PNN;RPS14;ALKBH5;RPS16;RPS19;RPS18;MAGOH;RPL36;RPL35;RPL38;SNRPD3;RPL37;RPL39;RPS10;RPS13;RPS12;SRRM2;RPL21;SECISBP2;ACTN1;RPL23;RPL22;DNTTIP2;ACTN4;RC3H2;SRRM1;FAM133B;DDX39B;EWSR1;RPL24;TFAM;FLYWCH2;SUCLG1;NUP98;RPL29;EIF1B;RPL28;MACF1;DHX8;DHX9;MRPL16;BAZ2A;RPS4Y1;SAMSN1;PCBP1;JUN;XRCC6;RPL41;UPF3B;PA2G4;SNUPN;MRPL21;PARP12;MRPL22;CCT6A;RPS26;RPS25;RPS28;SNW1;RPS27;AGO3;FUBP3;RPL27A;HNRNPF;RPS20;DHX29;CDK13;FARSA;RPS21;SUGP1;DCP1B;RPS23;CCDC124;ADK;MRPL37;MRPL42;TMSB4X;RRP12;NELFE;CCT3;ZFR;MRPS21;PRPF40A;NUDT16L1;SRP9;WDR33;CSDE1;CANX;TCP1;ARHGEF1;PABPC1;HNRNPH3;MAPRE1;SF3B5;CSTB;RNMT;RPL12;SRRT;RPL11;USO1;MRPS31;NOC4L;RPS15A;SRP72;RPL14;RPS3;RPL13;RPS27A;EXOSC3;RPL18;SF3B1;SRSF11;CCT4;TEFM;RPL19;NPM1;YTHDF2;LRPPRC;ARCN1;RSL1D1;CMSS1;PHF5A;PRKRA;HNRNPA2B1;ZYX;TSR1;PRPF31;TARDBP;HSPA1A;ACAA2;YY1;PPP1CC;FBL;HELB;KPNA2;HMGN2;CHCHD1;PDIA3;RPS7;RPS8;RPS5;RPS6;NOSIP;ANXA11;RPSA;EEF1A1;ILF3;PRPF6;SBDS;NHP2;MATR3;SRSF6;SNRPC;DDX5;RBM8A;KMT2C;RPF2;SUPT6H;PRPF8;HNRNPDL;TPR;G3BP2;LLPH;ZC3H13;ZC3H14;ZC3H15;HSPA8;API5;CCDC137;MSN;HELZ;LSM5;EIF2S2;LSM2;SON;RCAN3;LSM14A;EIF4G2;DDX3Y;RBM26;DDX46;AKAP8L;HMGB2;DDX42;PSIP1;HSPB1;DDX41;RPS4X;PTBP1;RPL7A;MRPL1;RBM7;RBM33;RBM6;DDX56;RPL13A;EDF1;RPS3A;DDX52;YWHAZ;NEMF;OAS1;THRAP3;C1D;RPL37A;RBMS1;NSRP1;NUFIP2;USP10;POLDIP3;SRSF1;GTPBP10;RPL36A;U2AF1;SAMHD1;HSD17B10;HSPD1;FIP1L1;EIF4H;RBBP6;HNRNPA1;EIF4B;HNRNPA0;NOP56;SPEN;PTPN1;RBM39;NOP58;HNRNPA3;TAF15;CNBP;RPL35A;RPL23A;NAP1L1;DEK;HSPE1;NAP1L4;SNRNP40;EIF3L;EIF3I;EIF3H;EIF3E;VIM;SSBP1;EIF3D;RBMX;TPT1;METAP2
GO_Molecular_Function_2021	mRNA binding (GO:0003729)	46/263	3.700036e-09	1.307963e-06	0	0	2.945664e+00	5.718984e+01	EIF4A1;RPL5;DDX5;RBM8A;DHX9;EIF4A3;SRSF1;HNRNPU;RPL7;RPS14;PTBP1;PCBP1;TPR;RPS3;G3BP2;RPL35;SF3B1;RPS13;HNRNPA0;SRRM2;RPL41;YTHDF2;RPS7;SECISBP2;RPS5;CNBP;UPF3B;RPL13A;RPS3A;EIF2S2;RC3H2;RPS26;RSL1D1;FUBP3;HNRNPA2B1;RBMS1;NUP98;PABPC1;TARDBP;SRSF6;NSRP1;LSM14A;EIF3D;RBMX;EIF4G2;DCP1B
GO_Molecular_Function_2021	ubiquitin-like protein ligase binding (GO:0044389)	46/282	3.441578e-08	8.110653e-06	0	0	2.705718e+00	4.649709e+01	RPL5;RALA;UBXN1;TSG101;RNF34;RPL11;DERL1;TANK;FHIT;ACTG1;HSPD1;BAG6;CASP8;DDRGK1;BAG1;PSMD1;TNFRSF14;APBB1;NAE1;RPS27A;PRKACB;IKBKE;HSPA8;MOAP1;GABARAPL1;JUN;TPI1;UBE2B;STAT1;RPL23;PYHIN1;TNK2;RPA2;PA2G4;PARP9;YWHAZ;LRPPRC;DNAJA1;PSMA3;PINK1;TRAF3;TCP1;TRIB2;UBA52;UBE2K;HSPA1A
GO_Molecular_Function_2021	ubiquitin ligase inhibitor activity (GO:1990948)	7/8	5.274063e-08	9.321906e-06	0	0	9.559824e+01	1.602024e+03	RPS15;RPL5;RPS7;RPL23;RPL11;RPS20;RPL37
GO_Molecular_Function_2021	ubiquitin protein ligase binding (GO:0031625)	43/265	1.113604e-07	1.574636e-05	0	0	2.684729e+00	4.298383e+01	RPL5;RALA;UBXN1;TSG101;RNF34;RPL11;DERL1;TANK;FHIT;ACTG1;HSPD1;BAG6;CASP8;BAG1;PSMD1;TNFRSF14;APBB1;NAE1;RPS27A;PRKACB;IKBKE;HSPA8;MOAP1;GABARAPL1;JUN;TPI1;UBE2B;RPL23;PYHIN1;TNK2;RPA2;PA2G4;YWHAZ;LRPPRC;DNAJA1;PSMA3;PINK1;TRAF3;TCP1;TRIB2;UBA52;UBE2K;HSPA1A
GO_Molecular_Function_2021	ubiquitin-protein transferase inhibitor activity (GO:0055105)	7/9	2.231835e-07	2.629845e-05	0	0	4.779655e+01	7.320172e+02	RPS15;RPL5;RPS7;RPL23;RPL11;RPS20;RPL37
GO_Molecular_Function_2021	rRNA binding (GO:0019843)	14/42	4.047663e-07	4.088140e-05	0	0	6.853721e+00	1.008865e+02	RPL5;MRPL18;RPL12;RPL23;RPS5;RPL11;MRPL16;RPF2;MRPS6;MRPS18C;RPS14;RPS3;SBDS;RPS13
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	47/322	7.243294e-07	6.401261e-05	0	0	2.369234e+00	3.349627e+01	ITGB1;MACF1;RPL34;USO1;OLA1;CORO1B;GOLGA2;PCMT1;RPL7A;DNAJB1;LASP1;PCBP1;STK38;RPL14;PACSIN2;EIF4H;ARFIP2;EPS8L2;ARGLU1;EMD;TBC1D10A;ZC3H15;UNC45A;NOP56;LYPLA2;HSPA8;PTPN1;STAT1;CSNK1D;RPL23A;PAICS;YWHAZ;PPP1CA;RPS26;EEF1G;RSL1D1;EEF1D;GLOD4;RPL24;EIF3E;DHX29;FXYD5;RPL29;MAPRE1;EIF4G2;PFKP;HSPA1A
GO_Molecular_Function_2021	single-stranded RNA binding (GO:0003727)	13/45	6.418250e-06	5.041892e-04	0	0	5.563351e+00	6.651746e+01	DHX9;CNBP;ZFR;HNRNPU;PTBP1;ILF3;AGO3;HNRNPF;EIF4H;HNRNPA1;RBM7;SNRPC;EIF4B
GO_Molecular_Function_2021	pre-mRNA binding (GO:0036002)	10/29	1.329895e-05	9.402354e-04	0	0	7.196721e+00	8.080353e+01	PTBP1;DDX5;HNRNPU;U2AF1;HNRNPA1;RBM7;SNRPC;SRSF6;PRPF8;U2AF1L4
