Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	34/70	1.750141e-21	6.446612e-18	0	0	1.313392e+01	6.277305e+02	NDUFB9;COX7B;NDUFA11;UQCRB;NDUFB5;COX4I1;NDUFA10;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV3;NDUFV2;NDUFV1;COX8A;NDUFA8;NDUFA6;NDUFC2;SDHC;SDHD;COX6C;COX7A2L;NDUFS8;SDHAF2;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;CYCS
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	34/71	3.140094e-21	6.446612e-18	0	0	1.277827e+01	6.032623e+02	NDUFB9;COX7B;NDUFA11;UQCRB;NDUFB5;COX4I1;NDUFA10;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV3;NDUFV2;NDUFV1;COX8A;NDUFA8;NDUFA6;NDUFC2;SDHC;SDHD;COX6C;COX7A2L;NDUFS8;SDHAF2;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;CYCS
GO_Biological_Process_2021	mRNA processing (GO:0006397)	65/300	5.331698e-17	7.297317e-14	0	0	3.895637e+00	1.459706e+02	PDCD7;EIF4A3;HNRNPU;DDX41;PRPF19;USP39;PQBP1;RAVER1;SNRPD2;SNRPD1;PCF11;RSRC1;MAGOH;PRKACA;CMTR1;RBM17;SCAF11;PRPF40A;PLRG1;GTF2F2;THOC6;KIN;SFPQ;PRPF6;FRG1;SNRPG;SRSF2;SNRNP27;SRSF3;SNRPE;SRSF4;PABPC1;DNAJC8;AURKAIP1;SNRNP200;SRSF7;SNRPA;SNRPB;SF3B4;SRRT;WBP4;U2AF1L4;PABPN1;POLR2A;PUF60;POLR2E;SMNDC1;SRSF11;HNRNPA0;SF3A2;CPSF6;FUS;NONO;UPF3B;RPRD2;HNRNPL;SMU1;XAB2;LSM7;SNW1;SON;HNRNPA2B1;HNRNPD;RNPS1;HNRNPC
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	61/274	1.267574e-16	1.301165e-13	0	0	4.026004e+00	1.473689e+02	PDCD7;EIF4A3;HNRNPU;DDX41;PRPF19;USP39;PQBP1;RAVER1;SNRPD2;SNRPD1;PCF11;RSRC1;MAGOH;RBM17;SCAF11;PRPF40A;PLRG1;GTF2F2;SFPQ;SCNM1;PRPF6;CLNS1A;FRG1;SNRPG;SRSF2;STRAP;SNRNP27;SRSF3;SNRPE;SRSF4;PABPC1;DNAJC8;SNRNP200;SRSF7;SNRPA;SNRPB;SF3B4;SRRT;WBP4;U2AF1L4;PABPN1;POLR2A;PUF60;POLR2E;DCPS;SMNDC1;SRSF11;HNRNPA0;SF3A2;FUS;NONO;UPF3B;HNRNPL;SMU1;XAB2;LSM7;SNW1;HNRNPA2B1;HNRNPD;RNPS1;HNRNPC
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	56/251	2.058954e-15	1.690813e-12	0	0	4.025754e+00	1.361372e+02	PDCD7;EIF4A3;HNRNPU;DDX41;PRPF19;USP39;PQBP1;RAVER1;SNRPD2;SNRPD1;PCF11;RSRC1;MAGOH;RBM17;PRPF40A;PLRG1;GTF2F2;SFPQ;PRPF6;FRG1;SNRPG;SRSF2;SNRNP27;SRSF3;SNRPE;SRSF4;PABPC1;DNAJC8;SNRNP200;SRSF7;SNRPA;SNRPB;SF3B4;SRRT;WBP4;U2AF1L4;PABPN1;POLR2A;PUF60;POLR2E;SMNDC1;SRSF11;HNRNPA0;SF3A2;FUS;NONO;UPF3B;HNRNPL;SMU1;XAB2;LSM7;SNW1;HNRNPA2B1;HNRNPD;RNPS1;HNRNPC
GO_Biological_Process_2021	RNA processing (GO:0006396)	42/179	1.128378e-12	7.721865e-10	0	0	4.265674e+00	1.173497e+02	SF3B4;PDCD7;WBP4;HNRNPU;USP39;SNRPD2;PABPN1;SNRPD1;RSRC1;MAGOH;PRKACA;SRSF11;HNRNPA0;IVNS1ABP;RBM39;MBNL1;CPSF6;SF3A2;SCAF11;FUS;NONO;LSM1;HNRNPL;SMU1;KIN;SFPQ;PRPF6;SON;SCNM1;RRAGC;HNRNPA2B1;SNRPG;SRSF2;HNRNPD;LUC7L3;RBMS1;SRSF4;RNPS1;HNRNPC;AURKAIP1;SRSF7;SNRPB
GO_Biological_Process_2021	RNA splicing (GO:0008380)	29/98	8.089426e-12	4.745026e-09	0	0	5.812653e+00	1.484578e+02	SF3B4;PDCD7;WBP4;USP39;SNRPD2;SNRPD1;RSRC1;MAGOH;SMNDC1;SRSF11;IVNS1ABP;MBNL1;SCAF11;FUS;NONO;LSM1;SMU1;SFPQ;PRPF6;SCNM1;RRAGC;SNRPG;SRSF2;LUC7L3;SRSF4;RNPS1;HNRNPC;SRSF7;SNRPB
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	73/485	1.587785e-10	8.149305e-08	0	0	2.486725e+00	5.610925e+01	HEXB;ITGB2;GDI2;PYCARD;HEBP2;GLIPR1;PSMD7;PNP;LAMP2;CTSH;RAC1;ACAA1;GUSB;GYG1;CD33;FCER1G;ANXA2;DGAT1;SYK;RNASET2;GAA;PRKCD;RHOG;NDUFC2;MIF;SERPINB6;VAMP8;DYNC1LI1;CLEC4C;RAB31;PKM;RAP2B;TYROBP;CSNK2B;ADAM8;ALDOA;DNASE1L3;PPIA;VCL;RAB7A;CSTB;GRN;RAB5B;GSTP1;PRCP;CFP;CST3;SYNGR1;PRDX4;CREG1;MLEC;CD59;CCT8;S100A11;XRCC6;GSN;RAB4B;TRAPPC1;STK11IP;XRCC5;PA2G4;LYZ;BST2;PFKL;FABP5;SELL;IMPDH2;LAMTOR2;MNDA;CYSTM1;DEGS1;MAN2B1;LAMTOR1
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	71/481	6.798501e-10	3.101627e-07	0	0	2.426921e+00	5.123024e+01	HEXB;ITGB2;GDI2;PYCARD;HEBP2;GLIPR1;PSMD7;PNP;LAMP2;CTSH;RAC1;ACAA1;GUSB;GYG1;CD33;FCER1G;ANXA2;DGAT1;RNASET2;GAA;PRKCD;RHOG;NDUFC2;MIF;SERPINB6;VAMP8;DYNC1LI1;CLEC4C;RAB31;PKM;RAP2B;TYROBP;CSNK2B;ADAM8;ALDOA;PPIA;VCL;RAB7A;CSTB;GRN;RAB5B;GSTP1;PRCP;CFP;CST3;SYNGR1;PRDX4;CREG1;MLEC;CD59;CCT8;S100A11;XRCC6;GSN;RAB4B;TRAPPC1;STK11IP;XRCC5;PA2G4;LYZ;BST2;PFKL;FABP5;SELL;IMPDH2;LAMTOR2;MNDA;CYSTM1;DEGS1;MAN2B1;LAMTOR1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen (GO:0002478)	27/103	8.735531e-10	3.586809e-07	0	0	4.904165e+00	1.022933e+02	DCTN6;ACTR1A;HLA-DMA;HLA-DMB;AP1S2;AP2S1;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1;CD74;HLA-DRB5;SEC13;FCER1G;KIF22;DNM2;CLEC4A;DYNC1LI1;CANX;HLA-DPB1;HLA-DRA;SEC24D;HLA-DRB1;HLA-DQB2;LGMN;HLA-DQB1;RAB7A
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	25/90	9.753237e-10	3.640617e-07	0	0	5.304606e+00	1.100613e+02	NDUFB9;NDUFA11;COX16;NDUFB5;NDUFA10;UQCRFS1;NDUFV3;NDUFV2;NDUFV1;COA5;NDUFA8;NDUFA6;TIMMDC1;NDUFC2;TTC19;OXA1L;NDUFS8;SDHAF2;NDUFS6;NDUFS5;NDUFS4;LYRM7;NDUFAB1;NDUFS3;NDUFAF2
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	71/488	1.285565e-09	4.256174e-07	0	0	2.385265e+00	4.883130e+01	HEXB;ITGB2;GDI2;PYCARD;HEBP2;GLIPR1;PSMD7;PNP;LAMP2;CTSH;RAC1;ACAA1;GUSB;GYG1;CD33;FCER1G;ANXA2;DGAT1;RNASET2;GAA;PRKCD;RHOG;NDUFC2;MIF;SERPINB6;VAMP8;DYNC1LI1;CLEC4C;RAB31;PKM;RAP2B;TYROBP;CSNK2B;ADAM8;ALDOA;PPIA;VCL;RAB7A;CSTB;GRN;RAB5B;GSTP1;PRCP;CFP;CST3;SYNGR1;PRDX4;CREG1;MLEC;CD59;CCT8;S100A11;XRCC6;GSN;RAB4B;TRAPPC1;STK11IP;XRCC5;PA2G4;LYZ;BST2;PFKL;FABP5;SELL;IMPDH2;LAMTOR2;MNDA;CYSTM1;DEGS1;MAN2B1;LAMTOR1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	26/98	1.347547e-09	4.256174e-07	0	0	4.982259e+00	1.017625e+02	DCTN6;ACTR1A;HLA-DMA;HLA-DMB;AP1S2;AP2S1;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1;CD74;HLA-DRB5;SEC13;FCER1G;KIF22;DNM2;DYNC1LI1;CANX;HLA-DPB1;HLA-DRA;SEC24D;HLA-DRB1;HLA-DQB2;LGMN;HLA-DQB1;RAB7A
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	16/39	1.818755e-09	5.334148e-07	0	0	9.552254e+00	1.922402e+02	NDUFB9;NDUFA8;NDUFA6;NDUFA11;NDUFB5;NDUFA10;NDUFC2;NDUFS8;NDUFS6;NDUFS5;NDUFAB1;NDUFS4;NDUFS3;NDUFV3;NDUFV2;NDUFV1
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	26/100	2.161161e-09	5.915819e-07	0	0	4.847081e+00	9.671197e+01	DCTN6;ACTR1A;HLA-DMA;HLA-DMB;AP1S2;AP2S1;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DPA1;CD74;HLA-DRB5;SEC13;FCER1G;KIF22;DNM2;DYNC1LI1;CANX;HLA-DPB1;HLA-DRA;SEC24D;HLA-DRB1;HLA-DQB2;LGMN;HLA-DQB1;RAB7A
GO_Biological_Process_2021	mRNA metabolic process (GO:0016071)	25/95	3.346080e-09	8.586878e-07	0	0	4.924379e+00	9.610160e+01	SF3B4;RNH1;USP39;ZFP36;PCF11;PRKACA;SRSF11;HNRNPA0;CPSF6;SF3A2;SSB;SCAF11;NONO;CNOT10;KIN;SFPQ;SON;HNRNPA2B1;SNRPG;SRSF2;SNRPE;SRSF4;AURKAIP1;SRSF7;SNRPB
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	19/58	4.870723e-09	1.111066e-06	0	0	6.698718e+00	1.282136e+02	NDUFB9;NDUFA8;NDUFA6;TIMMDC1;NDUFA11;NDUFB5;NDUFA10;NDUFC2;OXA1L;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;NDUFAF2;NDUFV3;NDUFV2;NDUFV1
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	19/58	4.870723e-09	1.111066e-06	0	0	6.698718e+00	1.282136e+02	NDUFB9;NDUFA8;NDUFA6;TIMMDC1;NDUFA11;NDUFB5;NDUFA10;NDUFC2;OXA1L;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;NDUFAF2;NDUFV3;NDUFV2;NDUFV1
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	81/621	1.552989e-08	3.356091e-06	0	0	2.103372e+00	3.781968e+01	CD86;CDKN1A;SPI1;CDKN1B;FLT3;TRADD;RPLP0;ITGB2;TNFSF13B;PYCARD;RPS6KA4;PSMD7;CASP1;PRKACA;IL6R;TRIM22;APPL1;HLA-DPA1;IL13RA1;CCR2;ANXA1;FCER1G;ANXA2;SYK;RIPK2;IL15;PRKCD;IL18;MIF;YWHAZ;PSMA3;IL1B;IL3RA;CSNK2B;CANX;IRF7;IRF8;LCP1;PPIA;HLA-DQB2;HLA-DQB1;IFNAR1;CEBPD;CUL1;SAMHD1;CSF2RA;PSMB10;HSP90B1;PSMB4;PSMB5;PSMB3;INPP5D;STAT6;STX4;STX3;HLA-DQA2;CAMK2G;HLA-DQA1;MCL1;HLA-DRB5;STAT1;IL10RA;MX2;MX1;LILRB4;PSMB8;SMARCA4;BST2;NFKBIA;PSMC6;HNRNPA2B1;HLA-DPB1;BCL2;HLA-DRA;PLP2;TRIM38;VIM;XAF1;HLA-DRB1;MYD88;LIMS1
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	23/89	2.050156e-08	4.012149e-06	0	0	4.798905e+00	8.495389e+01	GADD45GIP1;GFM1;MRPS14;MRPS25;MRPL49;MRPL17;MRPL47;MRPL14;MRPL15;MRPS30;MRPL34;MRPS7;MRPL23;MRPS18C;MRPL11;MRPL55;MRPL41;MRPL3;OXA1L;MRPL2;MRPL9;AURKAIP1;DAP3
GO_Biological_Process_2021	translational termination (GO:0006415)	24/96	2.052000e-08	4.012149e-06	0	0	4.592180e+00	8.129016e+01	GADD45GIP1;MRPS14;MRPS25;MRPL49;MRPL17;MRPL47;MRPL14;MRPL15;MRPS30;MRPL34;MRPS7;MRPL23;MRPS18C;MRPL11;MRPL55;MRPL41;MRPL3;TRMT112;OXA1L;MRPL2;ETF1;MRPL9;AURKAIP1;DAP3
GO_Biological_Process_2021	mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	10/17	2.764681e-08	5.159899e-06	0	0	1.954655e+01	3.401834e+02	COX8A;COX7B;COX7A2L;COX4I1;CYCS;COX5B;COX6A1;COX6C;COX5A;COX7C
