Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	26/58	1.132041e-15	8.773317e-13	0	0	1.123425e+01	3.866239e+02	NDUFA13;NDUFB7;NDUFB10;NDUFB5;COX4I1;NDUFB2;NDUFB1;UQCR10;COX6A1;COX5B;COX5A;UQCRFS1;NDUFV3;COX8A;NDUFA3;NDUFA2;NDUFA1;NDUFC2;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;UQCRQ;NDUFS3;UQCRC1
GO_Molecular_Function_2021	NADH dehydrogenase (quinone) activity (GO:0050136)	15/35	2.824688e-09	7.297109e-07	0	0	1.029259e+01	2.026082e+02	NDUFA13;NDUFB7;NDUFB10;NDUFB5;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFC2;NDUFS8;NDUFS7;NDUFS6;NDUFS3;NDUFV3
GO_Molecular_Function_2021	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	15/35	2.824688e-09	7.297109e-07	0	0	1.029259e+01	2.026082e+02	NDUFA13;NDUFB7;NDUFB10;NDUFB5;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFC2;NDUFS8;NDUFS7;NDUFS6;NDUFS3;NDUFV3
GO_Molecular_Function_2021	ubiquitin-like protein ligase binding (GO:0044389)	43/282	6.484515e-07	1.235456e-04	0	0	2.491462e+00	3.550004e+01	YWHAE;GPI;CDKN1A;UBXN1;RALB;HM13;UBE2D1;UBE2L6;NEDD8;ARRB1;ARRB2;HIF1A;GABARAP;TRIOBP;RTN4;UBE2J1;ACTG1;SUMO3;PCBP2;BAG1;PRKACA;CCDC50;GABARAPL1;TPI1;RPL23;STAT2;NEK6;HSPA6;LAPTM5;ISG15;TNFRSF1B;PRDX6;RBX1;NFKBIA;PER1;UQCRC1;LTBR;TRIB1;EIF4E2;SLC25A5;UBA52;SQSTM1;HSPA1A
GO_Molecular_Function_2021	ubiquitin protein ligase binding (GO:0031625)	41/265	7.970684e-07	1.235456e-04	0	0	2.532912e+00	3.556797e+01	YWHAE;GPI;CDKN1A;UBXN1;RALB;HM13;UBE2D1;UBE2L6;NEDD8;ARRB1;ARRB2;HIF1A;GABARAP;TRIOBP;RTN4;UBE2J1;ACTG1;PCBP2;BAG1;PRKACA;CCDC50;GABARAPL1;TPI1;RPL23;NEK6;HSPA6;LAPTM5;ISG15;TNFRSF1B;PRDX6;RBX1;NFKBIA;PER1;UQCRC1;LTBR;TRIB1;EIF4E2;SLC25A5;UBA52;SQSTM1;HSPA1A
GO_Molecular_Function_2021	protein homodimerization activity (GO:0042803)	76/636	1.458650e-06	1.616966e-04	0	0	1.893607e+00	2.544629e+01	CDA;CALCOCO2;PDCD6;PLEK;ENO1;AHR;PARK7;TRIM8;PYCARD;HHEX;IMPA2;GLIPR2;KYNU;MLX;AKT1;MFSD1;NUDT16;LRRFIP1;IL6R;SH3GLB1;BNIP3L;TPI1;STARD3NL;RIPK2;TESC;SLC11A1;DNTTIP1;IRAK3;COMMD1;OXA1L;TYROBP;DPYD;S100A6;CHMP4B;ANG;TKT;ATF3;PAFAH1B2;CSF1R;CEBPA;CEBPB;PDXK;SHMT2;HM13;CORO1A;TYMP;SNX2;NACC2;PSAP;HMOX1;FLNA;ZBTB7B;SRGAP2;S100A11;S100A10;MCL1;NQO2;GCA;CARD9;NAGA;LILRB1;MYO9B;SNF8;LILRB2;GGCT;BST2;CCDC88A;CD4;TP53I3;S100Z;GLB1;BHLHE40;CRYL1;BAX;GLA;MAP3K11
GO_Molecular_Function_2021	proton transmembrane transporter activity (GO:0015078)	13/40	1.460485e-06	1.616966e-04	0	0	6.595374e+00	8.862034e+01	COX8A;COX4I1;UQCR10;COX5B;COX6A1;COX5A;COX6B1;COX7A2L;UQCRQ;ATP6V1B2;UQCRC1;UQCRFS1;ATP6V1F
GO_Molecular_Function_2021	Toll-like receptor binding (GO:0035325)	7/11	1.809490e-06	1.752944e-04	0	0	2.389571e+01	3.159602e+02	UNC93B1;TOLLIP;CD36;S100A9;MYD88;S100A8;TLR2
GO_Molecular_Function_2021	MHC class II protein complex binding (GO:0023026)	8/17	6.636985e-06	5.715182e-04	0	0	1.214315e+01	1.447810e+02	YWHAE;CD74;CD4;HLA-DMA;HLA-DMB;PKM;HLA-DRA;HLA-DRB1
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	44/322	9.285834e-06	7.196522e-04	0	0	2.188753e+00	2.536112e+01	YWHAE;AHNAK;TWF2;HDLBP;CAPG;ENO1;IQGAP1;PARK7;PSEN1;RTN4;PSMB6;PCMT1;SNX2;PCBP1;PRDX1;BSG;CTNNA1;CDH23;EFHD2;TRIM25;FLNA;LRRFIP1;CLIC1;YKT6;WASF2;S100A11;VASP;CAST;SH3GLB1;ANXA1;ANXA2;PRDX6;PPP1CA;RAB10;PKM;NUMB;PLIN3;CHMP4B;PFN1;TLN1;ALDOA;HSPA1A;PICALM;PLEC
