Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	68/93	8.229402e-59	3.023482e-55	0	0	3.883567e+01	5.194069e+03	EIF4A2;RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;ETF1;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	66/90	3.001202e-57	5.513208e-54	0	0	3.920594e+01	5.102588e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	67/94	1.002141e-56	1.227289e-53	0	0	3.539917e+01	4.564462e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	69/103	1.928731e-55	1.771539e-52	0	0	2.898380e+01	3.651534e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;SPCS2;RPS27;RPS29;RPL27A;SRPRB;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	71/113	4.612176e-54	3.389027e-51	0	0	2.416991e+01	2.968328e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SMG7;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;UPF2;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL27;ETF1;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;UPF3A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RNPS1;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	73/171	7.476833e-40	4.578314e-37	0	0	1.063459e+01	9.580876e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SMG7;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;UPF2;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL27;ETF1;RPL26;RPL29;UBA52;DDX5;RPL10;RPL12;RPL11;ZFP36L1;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;UPF3A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RNPS1;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	78/214	1.251465e-36	5.765161e-34	0	0	8.202846e+00	6.781190e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL7;RPS15;EEF1B2;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;DHPS;MRPS18A;RPL13A;RPSA;RPS3A;QRSL1;EEF1A1;EEF1G;EEF1D;RPL37A;RPL27;ETF1;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;PTCD3;RPL35A;RPL23A;EEF2;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;ABCE1;RPS21;RPS24;RPS23
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	68/162	1.255343e-36	5.765161e-34	0	0	1.029033e+01	8.506567e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;DHPS;MRPS18A;RPL13A;RPSA;RPS3A;EEF1A1;RPL37A;RPL27;RPL26;RPL29;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	93/314	4.727080e-35	1.929699e-32	0	0	6.061309e+00	4.790687e+02	RPL4;RPL5;RPL30;FEN1;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;PWP1;RPL9;RPL7;RPS15;EEF1B2;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;TOP1MT;RPL36;RPL35;RPLP2;RPL38;RPL37;NBN;RPS11;RPS10;RPS13;MEF2A;RPS9;RFC4;RPL21;RPS7;RPS8;RFC2;RPL23;RPS5;RPL22;RPS6;DHPS;MRPS18A;RPL13A;RPSA;RPS3A;EEF1A1;EEF1G;EEF1D;RPL37A;RPL27;MCM5;RPL26;RPL29;PTMA;BLM;SET;RPL10;RPL12;GCNT1;RPL11;RPS15A;POLD2;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;NAP1L1;RPL23A;EEF2;FAM111B;RPS25;RPS28;GOLPH3;RPS27;FUBP3;RPS29;RPL27A;RPA3;RAD17;RNPS1;RPS20;RPS21;RPS24;EIF4G2;RPS23
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	61/162	8.339467e-30	3.063920e-27	0	0	8.542121e+00	5.719510e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;FBL;RPL7A;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS9;RPL21;RPS7;PIH1D1;RPL23;RPL22;RPS6;WDR74;DDX10;RPL13A;DKC1;RPL37A;RPL27;RPL26;RPL29;UBA52;DDX27;RPL10;RPL12;RPL11;BMS1;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;UTP6;KRR1;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;NOL11;RPS24
