Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	529/5192	1.497635e-26	5.571203e-24	0	0	1.881699e+00	1.118921e+02	TES;HNRNPU;ENO1;SLA2;NOC2L;SMC4;GPATCH8;DCAF7;PSMD8;ALKBH3;PSMD7;PSMD4;SCP2;HENMT1;PRKACB;IER2;DDX17;STARD3;HES6;SAP30BP;MBNL1;FNBP1;ARMC8;EID1;RNF126;DDX39A;RNF125;BIN1;DDIT3;HOXB4;HOXB2;MPPE1;VPS25;OPTN;LRPAP1;URI1;CTBP2;WDR61;IQGAP1;AAAS;MTDH;PRDX5;LDHA;ZBTB7A;SERF2;VTI1B;LYN;PRPF38A;NFATC3;UPF3B;NFATC2;SNF8;FLI1;HNRNPL;EHD1;HNRNPM;FIBP;PPP5C;EIF5;HNRNPK;EIF6;HNRNPF;HNRNPC;ITPA;TCF25;HEXA;CLTB;SRP54;LITAF;PRSS23;UBL5;TMSB4X;RIOK2;JAK1;DUSP2;CNOT6L;ANXA1;TPI1;ANXA4;SERPINB9;DYNLL1;TERF1;SIRT2;SERPINB6;PSMA5;GCHFR;PSMA6;VAMP7;PSMA4;NCOR1;HCLS1;VAMP2;SF3B4;ZNF595;SF3B5;SF3B3;AOAH;CCNDBP1;ASCL2;PSMA7;TMEM165;PSMB6;PSMB7;PSMB2;PSMB3;PPP1R7;NSD1;PSMB1;PPP1R8;FLNA;BRD7;SF3B1;SRSF11;NKTR;CDKN2D;WWOX;YTHDF2;CDKN2C;GSN;CRBN;ZNF580;MDH2;CSNK1A1;MGMT;AGK;CARD8;APEX2;PSMB8;DEF6;PSMB9;PHF5A;PSMC3;PSMC4;SNX17;SERBP1;PKN1;CRLF3;MTCH2;PDCD6;UBE2D2;UBE2D3;ZBTB20;RORA;PARK7;YY1;MAEA;CFL1;ZNF207;PIM1;KPNA2;TXNL4A;MAF1;SNRNP35;HMGN3;AP2M1;HMGN1;RAB2A;IK;UBE2E3;F2R;GTF3A;DGKZ;SRSF2;SNRPG;SRSF4;S100A4;ANAPC5;SNRPE;ERH;TNIK;TOX;SQSTM1;KPNB1;SNRPB;KMT2E;MAX;MAZ;CREM;RHOBTB3;CORO1A;HSP90B1;SLC9A3R1;STIP1;SMYD3;ZNF302;TIA1;OSBPL5;POLR3GL;ZBTB16;LSM1;ARPC4;ARPC5;LSM4;HOPX;LSM3;DRAP1;PTPRE;DAB2;SCCPDH;ARPC2;SP3;TADA3;PIN1;ZNF655;COPS8;RNF187;RAD9A;CELF2;FHL3;FASLG;SYNE1;LBH;SUMO1;VPS72;SNRNP70;SUMO3;SUMO2;IDH3B;TNPO1;YAF2;LBR;ACTR3;EIF5A;HSP90AA1;RFC2;VPS37B;RAD23B;DDOST;PATL2;ARL4C;METTL23;PTP4A2;TFDP2;SYF2;CTDSP1;TMBIM1;TMBIM6;DNAJC8;DCTPP1;SLC25A11;GAPDH;HDAC2;HDAC1;CCDC69;VPS4B;PRCP;PDHB;CXXC5;MLLT6;IFI16;RBBP4;DNAJB6;CCDC85B;KATNA1;RSBN1L;POLR2E;SAP18;POLR2F;FYN;POLR2G;SNRPB2;RBBP7;POLR2H;POLR2L;CYB5B;NDUFA9;SMARCE1;HNRNPA3;GZMA;CNBP;MAP1LC3B2;CDC5L;GZMB;EXOG;PTPN12;GZMH;KLF6;MFAP1;EIF3G;DRG1;PTPN6;STUB1;SMARCB1;TP53RK;GFI1;UBE2L6;IFI35;NUDT5;ACTB;UBE2L3;NFU1;RASSF1;MT2A;SNRPD1;PPP2R1A;RASSF5;BSG;MAGOH;DPF2;EPC1;ARL6IP4;ZNF600;SKP1;SRRM2;ABT1;IMP3;CIRBP;CSNK1D;ACTN4;RUNX3;JMJD6;INPP4A;SUB1;CSNK2B;VDAC3;CD2BP2;VDAC2;KDELR2;PFN1;AURKAIP1;BEX4;GGNBP2;ANP32A;TXK;ZBTB1;GSKIP;UBE2J2;ZNHIT1;PPCS;PCBP1;DPH3;INPP5K;LYAR;RALGDS;DECR1;APOBEC3C;SRPK2;XBP1;APOBEC3G;GADD45B;XRCC5;APOBEC3H;GADD45A;SMARCA5;NTAN1;MANF;ID2;RNPS1;ATM;CALR;CALM1;CLIC3;PPP1R11;TECR;AATF;PRPF19;MAP1LC3B;RAC2;ACADM;RAC1;CLIC1;CTSC;TMED5;RAB8B;SEC13;PARP4;STARD3NL;PRMT2;TUBB;RHOG;RHOF;RHOC;UCHL5;RHOA;COMMD5;MLF2;SCNM1;SLTM;HNRNPH2;SLU7;CD63;SP100;PCNA;WAS;NEDD9;RELA;TCEAL8;PPP2CA;NT5C;SERTAD1;EXOSC9;SCAND1;RAE1;RANBP1;YIPF3;YIPF4;PTGES3;AKR1C3;RPA2;PPP1CA;BATF;MAD2L2;THEMIS2;STK17A;HNRNPA2B1;MPHOSPH8;MPHOSPH6;SPPL2A;ARID4B;CIB1;SRP14;GIMAP7;ETS1;ACTG1;CCND3;CHCHD2;CCND2;RGS3;BANF1;ZBP1;PDIA3;G6PD;ARID5A;LGALS9C;LGALS9B;MAU2;PPIE;CHMP4A;PPIB;PPIA;PPID;DDX6;DDX5;TMED10;AKNA;PSMD14;RBM8A;PSMD13;IRAK1;ZMAT2;UBB;IRAK2;UBC;LPXN;PMAIP1;BPTF;UBE2F;HSPA8;TGFB1;CPSF6;HSPA5;ECD;CCZ1;MSN;ISG15;USB1;IFT20;ISG20;DIAPH1;ARHGAP30;NASP;BHLHE40;UBE2N;CYCS;HMGB1;ELAVL1;RBM3;GATAD1;CYP2R1;MYBL1;BUD31;PPP2R5A;IRAK4;PPP2R5C;TRNAU1AP;SAFB;YWHAZ;TGFBR1;ELF1;DDX19B;IRF3;RABEP2;THRAP3;IRF1;IRF7;MYH9;TERF2IP;LUC7L3;ITGB1BP1;EAPP;IRF9;OTUB1;SASH3;ATF6B;PNKP;RNF8;MAT2B;SAMHD1;PSMB10;ADD1;TBX21;TRA2A;ERBB2;TMEM208;BNIP2;PTK2B;MAPK1;RALY;GBP2;GBP4;KLRG1;TAF15;TAF12;WTAP;B3GAT3;CMTM6;DTNBP1;DEK;S100B;USP28;USF1;CCS;KANSL1;ABHD17A;CDK2AP2;BAX;LPIN2;SSBP3;RAN
GO_Cellular_Component_2021	nucleus (GO:0005634)	464/4484	6.508051e-24	1.210498e-21	0	0	1.859110e+00	9.925604e+01	TES;HNRNPU;ENO1;NOC2L;SMC4;GPATCH8;DCAF7;PSMD8;ALKBH3;PSMD7;PSMD4;HENMT1;PRKACB;IER2;DDX17;HES6;SAP30BP;MBNL1;ARMC8;EID1;RNF126;DDX39A;BIN1;DDIT3;HOXB4;HOXB2;VPS25;OPTN;URI1;CTBP2;WDR61;IQGAP1;AAAS;MTDH;PRDX5;LDHA;ZBTB7A;SERF2;LYN;PRPF38A;NFATC3;UPF3B;NFATC2;SNF8;FLI1;HNRNPL;HNRNPM;FIBP;PPP5C;EIF5;HNRNPK;EIF6;HNRNPF;HNRNPC;TCF25;SRP54;PRSS23;UBL5;TMSB4X;RIOK2;JAK1;DUSP2;CNOT6L;ANXA1;TPI1;ANXA4;SERPINB9;DYNLL1;TERF1;SIRT2;SERPINB6;PSMA5;GCHFR;PSMA6;PSMA4;NCOR1;HCLS1;SF3B4;ZNF595;SF3B5;SF3B3;CCNDBP1;ASCL2;PSMA7;PSMB6;PSMB7;PSMB2;PSMB3;PPP1R7;NSD1;PSMB1;PPP1R8;FLNA;BRD7;SF3B1;SRSF11;NKTR;CDKN2D;WWOX;YTHDF2;CDKN2C;GSN;CRBN;ZNF580;MDH2;CSNK1A1;MGMT;CARD8;APEX2;PSMB8;DEF6;PSMB9;PHF5A;PSMC3;PSMC4;SERBP1;PKN1;CRLF3;MTCH2;PDCD6;UBE2D2;UBE2D3;ZBTB20;RORA;PARK7;YY1;MAEA;CFL1;ZNF207;PIM1;KPNA2;TXNL4A;MAF1;SNRNP35;HMGN3;HMGN1;RAB2A;IK;UBE2E3;GTF3A;DGKZ;SRSF2;SNRPG;SRSF4;S100A4;ANAPC5;SNRPE;ERH;TNIK;TOX;KPNB1;SNRPB;KMT2E;MAX;MAZ;CREM;CORO1A;HSP90B1;SLC9A3R1;STIP1;SMYD3;ZNF302;TIA1;POLR3GL;ZBTB16;LSM1;ARPC4;ARPC5;LSM4;HOPX;LSM3;DRAP1;PTPRE;SCCPDH;ARPC2;SP3;TADA3;PIN1;ZNF655;COPS8;RNF187;RAD9A;CELF2;FHL3;FASLG;SYNE1;LBH;SUMO1;VPS72;SNRNP70;SUMO3;SUMO2;IDH3B;TNPO1;YAF2;LBR;ACTR3;EIF5A;HSP90AA1;RFC2;RAD23B;PATL2;ARL4C;METTL23;PTP4A2;TFDP2;SYF2;CTDSP1;TMBIM6;DNAJC8;DCTPP1;SLC25A11;GAPDH;HDAC2;HDAC1;CCDC69;VPS4B;PDHB;CXXC5;MLLT6;IFI16;RBBP4;DNAJB6;CCDC85B;KATNA1;RSBN1L;POLR2E;SAP18;POLR2F;FYN;POLR2G;SNRPB2;RBBP7;POLR2H;POLR2L;NDUFA9;SMARCE1;HNRNPA3;GZMA;CNBP;CDC5L;GZMB;EXOG;PTPN12;KLF6;MFAP1;EIF3G;DRG1;PTPN6;STUB1;SMARCB1;TP53RK;GFI1;UBE2L6;IFI35;NUDT5;ACTB;UBE2L3;NFU1;RASSF1;MT2A;SNRPD1;PPP2R1A;RASSF5;MAGOH;DPF2;EPC1;ARL6IP4;ZNF600;SKP1;SRRM2;ABT1;IMP3;CIRBP;CSNK1D;ACTN4;RUNX3;JMJD6;INPP4A;SUB1;CSNK2B;VDAC3;CD2BP2;VDAC2;PFN1;AURKAIP1;BEX4;GGNBP2;ANP32A;TXK;ZBTB1;GSKIP;UBE2J2;ZNHIT1;PPCS;PCBP1;DPH3;INPP5K;LYAR;RALGDS;DECR1;APOBEC3C;SRPK2;XBP1;APOBEC3G;GADD45B;XRCC5;APOBEC3H;GADD45A;SMARCA5;NTAN1;MANF;ID2;RNPS1;ATM;CALR;CALM1;CLIC3;PPP1R11;TECR;AATF;PRPF19;ACADM;CLIC1;PARP4;PRMT2;TUBB;UCHL5;COMMD5;MLF2;SCNM1;SLTM;HNRNPH2;SLU7;SP100;PCNA;WAS;NEDD9;RELA;TCEAL8;PPP2CA;NT5C;SERTAD1;EXOSC9;SCAND1;RAE1;RANBP1;PTGES3;AKR1C3;RPA2;PPP1CA;BATF;MAD2L2;THEMIS2;STK17A;HNRNPA2B1;MPHOSPH8;MPHOSPH6;ARID4B;CIB1;SRP14;ETS1;ACTG1;CCND3;CHCHD2;CCND2;RGS3;BANF1;ZBP1;PDIA3;ARID5A;LGALS9C;LGALS9B;MAU2;PPIE;CHMP4A;PPIB;PPIA;PPID;DDX6;DDX5;PSMD14;RBM8A;PSMD13;IRAK1;ZMAT2;UBB;IRAK2;UBC;LPXN;PMAIP1;BPTF;UBE2F;HSPA8;TGFB1;CPSF6;HSPA5;ECD;MSN;ISG15;USB1;ISG20;DIAPH1;NASP;BHLHE40;UBE2N;CYCS;HMGB1;ELAVL1;RBM3;GATAD1;MYBL1;BUD31;PPP2R5A;IRAK4;PPP2R5C;TRNAU1AP;SAFB;YWHAZ;TGFBR1;ELF1;DDX19B;IRF3;THRAP3;IRF1;IRF7;MYH9;TERF2IP;LUC7L3;ITGB1BP1;EAPP;IRF9;OTUB1;SASH3;ATF6B;PNKP;RNF8;MAT2B;SAMHD1;PSMB10;ADD1;TBX21;TRA2A;ERBB2;PTK2B;MAPK1;RALY;GBP2;GBP4;TAF15;TAF12;WTAP;DTNBP1;DEK;S100B;USP28;USF1;CCS;KANSL1;CDK2AP2;BAX;LPIN2;SSBP3;RAN
GO_Cellular_Component_2021	secretory granule membrane (GO:0030667)	60/274	5.111383e-16	6.338115e-14	0	0	3.938279e+00	1.386664e+02	ITGAM;SLC44A2;TMEM179B;ITGB2;LPCAT1;MAGT1;ITGAL;STK10;LAMP1;TBC1D10C;RAC1;CD53;FCER1G;CD300A;ATP6AP2;HLA-B;RHOG;HLA-C;NDUFC2;CYBA;RHOF;TMC6;DYNLL1;RHOA;DDOST;SERPINB6;VAMP8;VAMP7;TYROBP;RAB37;TMBIM1;ADAM8;CD47;VAMP2;RAB7A;CD63;RAB5C;TMED10;PRCP;IQGAP1;SRI;IQGAP2;RAP1B;SYNGR1;ORMDL3;STOM;SLC15A4;HMOX2;LAIR1;RAB4B;CMTM6;RAB27B;BST2;DIAPH1;PTPRC;SELL;VAPA;RAB18;PAM;LAMTOR3
GO_Cellular_Component_2021	ficolin-1-rich granule (GO:0101002)	46/184	7.648143e-15	7.112773e-13	0	0	4.651824e+00	1.512043e+02	PSMD14;TMEM179B;PSMD13;GMFG;GSTP1;ITGB2;PRCP;HMGB1;SRP14;PSMB7;PSMD6;PSMD7;LAMP1;PSMB1;TBC1D10C;MAPK1;CAPN1;OSTF1;RAC1;GYG1;CTSD;HSPA8;HSP90AA1;DBNL;FCER1G;GSN;CD300A;PGAM1;ATP6AP2;PDAP1;MIF;ARPC5;DYNLL1;RHOA;SERPINB6;PSMA5;ACLY;DIAPH1;BIN2;PSMC3;CSNK2B;PPIE;ADAM8;PPIA;ACTR10;KPNB1
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	69/394	4.374091e-13	2.930462e-11	0	0	2.984700e+00	8.493833e+01	ARF1;TES;YWHAB;ITGB2;ARPC5L;SLA;FHL3;ILK;ACTB;ACTG1;LASP1;YWHAQ;CFL1;BSG;ANXA6;RAC2;CAPN2;FLOT1;ITGB7;RAC1;CAPN1;B2M;JAK1;ACTR3;CAP1;PDIA3;ANXA1;PPP1R12A;RHOG;RRAS2;ACTN4;YWHAZ;RHOA;DNM2;MYH9;EVL;ITGB1BP1;LCP1;PFN1;MAPRE1;PPIB;MAPRE2;PPIA;ARF6;PXN;IQGAP1;ADD1;HSP90B1;CDC42;FLNA;LPXN;MAPK1;PTK2B;CD99;VASP;HSPA9;HSPA8;GSN;HSPA5;MSN;ARPC5;DAB2;HNRNPK;PTPRC;ARPC2;P4HB;CALR;LAMTOR3;FERMT3
GO_Cellular_Component_2021	U2-type spliceosomal complex (GO:0005684)	29/89	5.322872e-13	2.930462e-11	0	0	6.687792e+00	1.890077e+02	SF3B4;SF3B5;SF3B3;RBM8A;PRPF19;ZMAT2;SNRNP70;SNRPD1;SNRPB2;TXNL4A;SF3B1;SRRM2;IK;PRPF38A;CCDC12;BUD31;CDC5L;PRPF40A;LSM4;LSM3;SNRNP40;PHF5A;MFAP1;SYF2;SNRPG;LUC7L3;PPIE;SNRPE;SNRPB
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	68/387	5.514310e-13	2.930462e-11	0	0	2.995451e+00	8.455037e+01	ARF1;TES;YWHAB;ITGB2;ARPC5L;SLA;FHL3;ILK;ACTB;ACTG1;LASP1;YWHAQ;CFL1;BSG;ANXA6;RAC2;CAPN2;FLOT1;ITGB7;RAC1;CAPN1;B2M;JAK1;ACTR3;CAP1;PDIA3;ANXA1;PPP1R12A;RHOG;RRAS2;ACTN4;YWHAZ;RHOA;DNM2;MYH9;EVL;ITGB1BP1;LCP1;PFN1;MAPRE1;PPIB;MAPRE2;PPIA;ARF6;PXN;IQGAP1;ADD1;HSP90B1;CDC42;FLNA;LPXN;MAPK1;PTK2B;CD99;VASP;HSPA9;HSPA8;GSN;HSPA5;MSN;ARPC5;DAB2;HNRNPK;PTPRC;ARPC2;P4HB;CALR;LAMTOR3
GO_Cellular_Component_2021	secretory granule lumen (GO:0034774)	58/316	4.552358e-12	2.116846e-10	0	0	3.145403e+00	8.214339e+01	ARHGAP9;GMFG;HEXB;CTSW;HMGB1;SRP14;PSMD6;PSMD7;TMSB4X;OSTF1;B2M;CTSD;GYG1;CTSC;CAP1;SRGN;CCT2;SERPINB1;HSP90AA1;DBNL;NHLRC3;PGAM1;TUBB;PRSS57;ACTN4;ARMC8;MIF;PSMA5;FGR;ACLY;BIN2;CSNK2B;PPIE;PPIA;KPNB1;PSMD14;PSMD13;GSTP1;PLAC8;PSMB7;PSMB1;MAPK1;VTI1B;HSPA8;GSN;TGFB1;TRAPPC1;XRCC5;RAB27A;ARPC5;POMC;ERP44;SCCPDH;PSMC3;MAGED2;PTPN6;ACTR10;FERMT3
GO_Cellular_Component_2021	mitochondrial respiratory chain complex I (GO:0005747)	19/42	6.618129e-12	2.461944e-10	0	0	1.136847e+01	2.926382e+02	NDUFA9;NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFA4;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFC2;NDUFS8;NDUFAB1;NDUFS2;NDUFV1
GO_Cellular_Component_2021	respiratory chain complex I (GO:0045271)	19/42	6.618129e-12	2.461944e-10	0	0	1.136847e+01	2.926382e+02	NDUFA9;NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFA4;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFC2;NDUFS8;NDUFAB1;NDUFS2;NDUFV1
