,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
0,LDHB,S100A8,CD79A,CCL5,GNLY,FCGR3A,FCER1A,PPBP
1,RGCC,LYZ,HLA-DRA,GZMK,GZMB,LST1,HLA-DQA1,PF4
2,RPL22,S100A9,MS4A1,NKG7,NKG7,IFITM2,CLEC10A,GNG11
3,IL32,LGALS2,CD74,CST7,CTSW,MT2A,CST3,SDPR
4,LTB,FCN1,CD79B,CD3D,FGFBP2,FCER1G,HLA-DQB1,GPX1
5,NOSIP,CD14,HLA-DPB1,GZMA,PRF1,LILRA3,HLA-DPB1,NRGN
6,CD3D,FTL,HLA-DRB1,CD8A,TYROBP,AIF1,HLA-DPA1,HIST1H2AC
7,CD3E,MS4A6A,HLA-DQA1,CTSW,XCL2,IFITM3,HLA-DRA,GP9
8,FYB,GSTP1,CD37,KLRG1,FCER1G,RHOC,LYZ,TPM4
9,TMEM123,CFD,HLA-DPA1,GZMH,FCGR3A,STXBP2,HLA-DQA2,CCL5
10,RPL31,NPC2,HLA-DQB1,IL32,SPON2,NINJ1,CD74,RUFY1
11,RPL7A,GPX1,LINC00926,S100A6,CD7,SAT1,HLA-DRB1,SPARC
12,VIM,TYROBP,TCL1A,LYAR,GZMA,PSAP,SRSF7,TUBB1
13,RPS29,APOBEC3A,LTB,NCR3,ID2,MS4A7,HLA-DMA,TMEM40
14,TMEM66,NCF2,HLA-DRB5,HCST,HOPX,ABI3,LSP1,RGS18
15,CD27,GRN,BANK1,LCK,CLIC3,SERPINA1,HLA-DRB5,ACRBP
16,SOD1,CTSS,VPREB3,S100A4,XCL1,DRAP1,IL1B,RGS10
17,TMSB10,IER2,LAPTM5,AMICA1,SELL,CHCHD10,VIM,GRAP2
18,MYL12A,LGALS3,IGLL5,POLR1D,CD247,LYN,CD1C,MPP1
19,JUNB,S100A6,HVCN1,HNRNPR,KLRD1,COTL1,RNASE6,CD9
20,PLP2,CSF3R,EAF2,PTPRCAP,IGFBP7,LRRC25,ANXA1,PTCRA
21,CCR7,TMEM176B,HLA-DMA,CDC42EP3,IL2RB,RP11-290F20.3,SERPINF1,CALM3
22,COX7C,LGALS1,HLA-DMB,TOB1,PLAC8,CD79B,TAGLN2,TAGLN2
23,RPS25,CD37,HLA-DQA2,MT2A,CST7,ATP5I,AP1S2,NGFRAP1
24,RPS20,CEBPD,LY86,SAMD3,CD63,FAM26F,EIF3L,CLU
25,TOMM20,BLVRB,FCER2,CD8B,AKR1C3,ATP6V0D1,GPX1,TUBA4A
26,MAL,ASGR1,IGJ,TIGIT,GZMM,NAP1L1,PHACTR1,FERMT3
27,IL7R,CCL3,PTPN6,NDUFV2,CTSD,PPDPF,ENHO,SEPT5
28,S100A10,CD68,CD52,POLR2L,ITGB2,RPS19,CPVL,CA2
29,SKP1,CST3,SNX2,SPOCK2,CCL4,C5AR1,GRN,AP001189.4
30,RPL36A,RHOA,P2RX5,SH3BGRL3,DHRS7,BID,CD33,TREML1
31,RPS23,SCO2,PTPRCAP,SSBP4,SRGN,ZNF706,RGS1,ODC1
32,RNASET2,S100A4,ISG20,RARRES3,LIMD2,FKBP1A,ALDH2,C2orf88
33,STK17B,FTH1,POLD4,HLA-E,IFITM2,C1QA,HLA-DMB,H3F3A
34,RPLP2,FPR1,QRSL1,CD48,BST2,CST3,PLD4,LIMS1
35,AES,CECR1,SNHG7,UBE2I,C5orf56,OAS1,NDUFAB1,MYL12A
36,RPL38,FOLR3,RPS11,KLRB1,CD300A,FTL,ID2,ILK
37,ANKRD12,TNFSF13B,GNG7,CCNI,TTC38,FTH1,H2AFY,LAMTOR1
38,RPS14,GLIPR2,FAIM3,CXCR4,PRSS23,TUBA1B,GSTP1,AC147651.3
39,NDFIP1,KLF6,PNOC,STOML2,KLRC1,SLC16A3,ARL4C,PGRMC1
40,LDLRAP1,SAT2,SMIM14,DUSP2,DRAP1,HES4,IGSF6,PRDX6
41,RPL41,MRPL20,NCF1,GZMM,ARPC5L,COX7C,AP2S1,OAZ1
42,RPS3,ATP5G2,PDLIM1,COX6C,APMAP,SNHG15,AMICA1,CLDN5
43,PIK3IP1,TYMP,BLK,HLA-C,APOBEC3G,TYROBP,HNRNPC,PDLIM1
44,PRDX2,PSAP,FCRLA,DNAJB1,C1orf162,HCK,ARF5,MAX
45,EIF3H,RAC1,IRF8,LINC00152,UBB,CTSL,CAPG,OST4
46,SOCS3,TKT,KLF2,GUK1,CALM1,CD68,EIF3K,NCOA4
47,GIMAP7,CD63,PKIG,SPSB3,SERF2,C19orf38,KLF4,MMD
48,RPS12,CTSZ,SNX3,CDC123,ZAP70,RHOG,TPGS1,ITGA2B
49,ARHGEF1,UBE2D1,RPL18A,CHST12,HAVCR2,COX6B1,SULF2,ITM2B
50,MALAT1,BLVRA,POU2AF1,AHSA1,XBP1,PPBP,LGALS2,CMTM5
51,RPS28,AIF1,MARCH1,C1QBP,NDUFB2,LYST,RNASET2,CTSA
52,NEAT1,TALDO1,CD40,STK17A,CTSC,CD44,RPL39,TSC22D1
53,PCNP,CD99,MEF2C,MYL12B,ABI3,BLOC1S1,RPL22,CAPN1
54,ITM2B,UBXN11,TSPAN13,SSNA1,PTGDR,MS4A4A,DDIT4,MARCH2
55,HNRNPA1,GCA,ISCU,PPIA,EFHD2,ATP1B3,RNH1,YWHAH
56,CD40LG,BNIP3L,PNISR,CD3G,MATK,CYTIP,S100A10,TIMP1
57,SREK1IP1,NCF1,STX7,AC092580.4,ANXA6,IFITM1,GSN,PTPN18
58,NSMCE1,S100A11,PARP1,MMADHC,GPR56,CAMK1,CTSH,GSTO1
59,IK,NEAT1,ADAM28,HSPA5,RHOC,CKB,HSPE1,NAP1L1
60,CCDC109B,LY86,EEF1B2,MSI2,CHMP2A,PLAC8,LAMTOR1,H2AFJ
61,RPL9,MPEG1,FAM65B,CD2,LUC7L3,CSNK2B,ID1,MYL6
62,RPL30,METTL9,CXXC5,POMP,CCL3,LYL1,COPE,PARVB
63,TBCC,PYCARD,EEF2,GIMAP5,SH2D1B,HCLS1,SPINT2,NT5C3A
64,GSTK1,ASAH1,HNRNPDL,SUN2,SERPINB1,ZNHIT3,LAP3,GPX4
65,RGS10,CDA,CD22,HNRNPC,NT5C,COX8A,TUBA1B,CLEC1B
66,RPS27,HSD17B11,CXCR4,AP3S1,NDUFB11,LILRB2,HNRNPA0,TMSB4X
67,PASK,NFKBIA,RPLP2,HNRNPK,TPST2,TIMP1,HLA-DQB2,SH3BGRL3
68,TRABD2A,S100A12,MBD4,RGS14,CD69,TNFRSF1B,COX6A1,ACTN1
69,RPL24,CTSB,RPL8,SP140,PRDX5,CDKN1C,RBM39,CDKN2D
70,TRADD,AP1S2,PLAC8,ATP5A1,AOAH,GNAI2,GADD45B,ARPC5
