Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	ficolin-1-rich granule (GO:0101002)	51/184	2.284577e-18	8.064555e-16	0	0	5.373069e+00	2.182560e+02	FCN1;CDA;GPI;SERPINA1;CTSZ;APEH;CTSS;LGALS3;PNP;PSMD7;FTH1;COTL1;SIRPA;CTSH;CAPN1;RAC1;CTSD;CTSB;CD93;DYNLT1;SLC11A1;PGAM1;DYNLL1;RHOA;PSMA5;PKM;CRISPLD2;ARL8A;PAFAH1B2;CFD;ASAH1;PSMD13;GSTP1;FPR1;A1BG;GNS;CST3;ALOX5;LTA4H;ATP6V0A1;GSN;PDAP1;EEF2;DERA;DIAPH1;IMPDH1;QPCT;MNDA;LAMTOR1;YPEL5;SIGLEC5
GO_Cellular_Component_2021	ficolin-1-rich granule lumen (GO:1904813)	38/123	9.802137e-16	1.730077e-13	0	0	6.219249e+00	2.149295e+02	FCN1;CFD;CDA;GPI;ASAH1;SERPINA1;PSMD13;GSTP1;CTSZ;A1BG;APEH;GNS;CTSS;CST3;PNP;PSMD7;FTH1;ALOX5;COTL1;CTSH;CAPN1;LTA4H;CTSD;CTSB;GSN;DYNLT1;PGAM1;PDAP1;EEF2;DERA;PSMA5;PKM;CRISPLD2;IMPDH1;QPCT;MNDA;YPEL5;PAFAH1B2
GO_Cellular_Component_2021	secretory granule lumen (GO:0034774)	60/316	4.272481e-13	5.027287e-11	0	0	3.284647e+00	9.355138e+01	FCN1;LGALS3BP;APP;CDA;GPI;SERPINA1;HEXB;CTSZ;PYCARD;PNP;PSMD7;TMSB4X;COTL1;PSMD1;CTSH;CTSD;SPTAN1;CAMP;SERPINB1;ANXA2;DYNLT1;PGAM1;RNASE2;APRT;OSCAR;PSMA5;PKM;CRISPLD2;NPC2;S100A9;PAFAH1B2;S100A8;FTL;CFD;GRN;PSMD13;GSTP1;A1BG;CFP;GNS;ALOX5;CREG1;NEU1;S100A12;AGA;S100A11;VTI1B;GSN;GCA;RAB27A;LYZ;EEF2;PRDX6;DERA;SCCPDH;IMPDH1;QPCT;MNDA;HPSE;FOLR3
GO_Cellular_Component_2021	large ribosomal subunit (GO:0015934)	22/59	1.603048e-11	1.414690e-09	0	0	8.194739e+00	2.036928e+02	RPL41;RPL3;RPL32;RPL10;RPLP1;RPL23;RPL11;RPL13A;RPL6;RPL7;MRPL11;MRPL22;RPL14;RPL13;RPL26;RPL15;RPL29;RPL18;RPL39;RPL28;RPL17;RPL19
GO_Cellular_Component_2021	cytosolic large ribosomal subunit (GO:0022625)	20/55	2.276892e-10	1.607486e-08	0	0	7.864651e+00	1.746191e+02	RPL41;RPL3;RPL32;RPL10;RPLP1;RPL23;RPL11;RPL13A;RPL6;RPL7;RPL14;RPL13;RPL26;RPL15;RPL29;RPL18;RPL39;RPL28;RPL17;RPL19
GO_Cellular_Component_2021	tertiary granule (GO:0070820)	36/164	3.401291e-10	2.001093e-08	0	0	3.897683e+00	8.497609e+01	CDA;ASAH1;ITGAM;CLEC12A;FPR1;CFP;CTSS;CST3;LGALS3;NRAS;FTH1;SIRPA;CTSH;LTA4H;RAC1;GOLGA7;CTSD;SPTAN1;CAMP;ATP6V0A1;CD93;SLC11A1;CYBA;LYZ;DYNLL1;RHOA;OSCAR;RAP2C;VAMP8;DIAPH1;QPCT;FOLR3;LAMTOR1;YPEL5;ARL8A;SIGLEC5
GO_Cellular_Component_2021	mitochondrial membrane (GO:0031966)	70/469	5.517232e-10	2.293917e-08	0	0	2.458298e+00	5.240593e+01	IFI27L2;NDUFA13;NDUFA11;MRPL37;ECSIT;MRPL34;MRPL32;MRPL33;MRPL4;LGALS3;CASP8;AIFM1;TIMM17A;TSPO;IKBKE;TMEM14C;BNIP3L;RSAD2;NDUFC2;VRK2;KMO;MRPS6;MRPL43;MRPS5;RAB32;HADHA;COX7A2L;MRPL51;IFI27;UQCRC1;YME1L1;ULK1;TMEM126B;UQCRC2;SLC25A5;UBA52;SLC25A11;SMIM20;NDUFB9;STOML2;NDUFB7;NDUFB10;MRPS36;NDUFB11;TIMM13;IFI6;NDUFB1;MRPL14;MFF;MRPL13;MRPL54;MRPL11;MRPL20;RHOT2;BCL2L11;UBB;UCP2;CYC1;NDUFV3;BAD;MRPL27;MRPL28;COQ7;MRPL22;COQ2;TOMM7;NDUFAF3;KRAS;SLC25A33;CDS2
GO_Cellular_Component_2021	cytoplasmic vesicle lumen (GO:0060205)	29/115	5.683509e-10	2.293917e-08	0	0	4.659368e+00	9.918994e+01	FCN1;CFD;CDA;GPI;PSMD13;GSTP1;A1BG;PYCARD;PNP;PSMD7;ALOX5;COTL1;S100A12;CTSH;S100A11;SERPINB1;GSN;DYNLT1;PGAM1;EEF2;DERA;APRT;PSMA5;PKM;CRISPLD2;IMPDH1;S100A9;S100A8;PAFAH1B2
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	454/5192	5.848514e-10	2.293917e-08	0	0	1.451527e+00	3.085896e+01	RB1;SPI1;RPL3;TFRC;ZNF292;SMC4;RPL6;RPL7;PSMD8;PSMD9;ALKBH5;PSMD7;ZMIZ1;ZC3H12A;CREB3L2;AP1S2;PSMD1;IER2;CDK5RAP3;IER3;STARD3;MEF2C;PIH1D1;DNTTIP1;EWSR1;CLNS1A;PSME3;ATF5;ATF6;UBA52;SF1;CTBP2;PRKDC;XPA;SDR39U1;ZNF22;IQGAP1;RPS4Y1;MEFV;OAZ1;HIF1A;OAZ2;WDR70;PTPMT1;PRDX1;VTI1A;PIP5K1A;S100A12;HMOX1;LTA4H;S100A11;SERF2;VTI1B;BTF3;F8A1;PLK2;PBX2;TRIP4;IRF2BP2;SNF8;PRDX6;EIF1;FOSL2;HNRNPM;FIBP;AGO1;HNRNPD;PPT1;ITPA;SERPINA1;HEXA;CLTB;SNX10;ECSIT;LITAF;SMG6;UBL5;CHAF1A;AIFM1;TMSB4X;TSPO;IKBKE;TIGD1;NELFE;UPF2;ANXA2;DUSP1;SLC2A13;AEN;SERPINB9;SIRT7;FOS;ASH1L;DYNLL1;GNL1;PSMA5;NCOR2;TAF6L;RPL10;RPS27L;GPS2;CCNDBP1;PSMA7;PSMB6;HLA-DMA;HLA-DMB;PPP1R7;AP2S1;RPL13;BRD9;RPL15;ZNF467;RPL18;RPL17;SF3B1;EGLN1;WWOX;TRMT10B;EGLN2;YTHDF2;GSN;MDH2;CSNK1A1;TRMT1;ELP5;SCAF4;PSMC5;PHF5A;RYBP;NFIC;GID8;FOSB;PKN2;YPEL5;LAMTOR4;UBE2D1;CASC3;PARK7;IPO5;PYCARD;ZFP36;KPNA4;TXNL4A;AP2M1;BNIP3L;ZNF561;RPS9;UBE2E1;VRK2;VRK3;PGD;RNF40;THOC6;S100A6;SRSF2;S100A4;ANAPC5;SNRNP25;S100A9;S100A8;SNRPB;FTO;KHDRBS1;CSF1R;NOTCH1;CREBL2;EIF1AD;BAG4;ADAP2;STK38;BAG1;PSAP;ABL1;SAFB2;ZNF668;ZNF787;ZNF544;FOXN3;EEF2;QKI;RGCC;SCCPDH;UBLCP1;ARPC2;P4HA1;SP1;MAFK;HPSE;SP140L;CNOT8;RNF187;CALCOCO2;AKAP8L;FHL3;TNFSF13B;FUNDC2;HHEX;LBH;SUMO1;PPP6R1;SNRNP70;CTNNBL1;EIF5A;EIF5B;BCAS3;PDCD6IP;CDADC1;RFC4;GPX4;ACTR6;RPL13A;SMC1A;DDOST;PTP4A1;PTP4A2;DNAJC2;NSMCE4A;TFDP1;PKM;SYF2;MCM3;TOP1;DNAJC8;SLC25A5;SLC25A11;GAPDH;HDAC4;HDAC5;CEBPB;SMARCD3;UHRF2;PPM1M;HDAC1;CCDC69;PRCC;CEBPG;DNAJB6;ZNF746;IGF2BP2;HNRNPA1;POLR2I;POLR2J;POLR2L;PPIL1;PPIL2;CNBP;MAP1LC3B2;CDC5L;PTPN12;HNRNPAB;PNRC1;PML;KLF6;TRIM39;IMPDH1;DRG2;MNDA;PPIL4;TPT1;EIF4A1;CCNI;KDELR1;IFI35;ACTB;LGALS3;RASSF2;FTH1;BSG;DPF2;KAT8;LGALS9;FBXO7;GLUL;SRRM2;ABT1;ARRDC4;NSMCE2;TALDO1;KRT7;PISD;SRRM1;XRN2;AKAP9;CD2BP2;DHX9;TSHZ2;TXN;OSGEP;UBE2J1;ZNHIT1;ZNF703;PCBP2;NEU1;ATP6V0A1;IQSEC1;SIAH2;XRCC1;NMI;PARP14;ZNF814;ID1;NDUFAF3;GRB2;CALR;APOBEC3A;ITM2B;RPS24;CUTC;APOBEC3B;RPAIN;CSRNP1;SLC35F6;CITED2;FAF1;NKAP;SRA1;CTSS;C1QBP;UIMC1;MLX;CHAMP1;CTSH;RAC1;DLAT;SPTAN1;PCYT1A;STARD3NL;PRMT1;TFEB;AGTRAP;TYK2;TOPORS;RHOA;GAK;TFEC;WAC;PTMA;STX12;CD63;NEDD8;CAPG;AIF1;FAM172A;CTNNA1;EXOSC2;APBB3;RANBP1;SPRYD4;RPA2;HYPK;NLRP12;SEC23IP;THEMIS2;CTNNB1;HDGF;MIDN;POGK;HDLBP;TTF1;NR3C1;FBL;RGS2;POGZ;BANF1;ZBP1;NOSIP;RSBN1;ALDH3A2;BRMS1;CHMP4B;CHMP4A;PPIG;DDX5;AKNA;UBA7;RBM8A;PSMD13;TCF7;STK4;PRPF8;ZFP36L2;ZFP36L1;UBB;CAMTA1;NLRP3;CAMTA2;CYC1;SMAD2;CBX3;ISG15;COQ7;AZIN1;NFKBIA;DIAPH1;NR4A1;DIAPH2;ARHGAP30;YWHAE;RERE;GSK3B;ABCD3;USP34;HMGB2;DDX42;YBX3;RBM3;SFR1;PPP2R5E;PDE4B;PDE4A;RBM7;RBM5;RBM14;BUD31;IRAK4;SENP2;SFPQ;DDX19B;TRAPPC6A;EEF1D;OAS2;IRF1;OAS3;ATP6V1B2;BLVRB;IRF8;TERF2IP;IRF5;PFDN2;KDM7A;OTUB1;USP15;ATF6B;NAA20;PNKP;GOSR1;RNF7;SAMHD1;RNF113A;UGP2;TRA2B;BNIP2;GBP2;GBP4;CDK11A;KDM4B;NAA10;POLM;POLE4;CCS;TEN1;RANGRF;NAA16;FAM50A
GO_Cellular_Component_2021	organelle inner membrane (GO:0019866)	55/346	4.153402e-09	1.466151e-07	0	0	2.633697e+00	5.082861e+01	NDUFA13;NDUFA11;MRPL37;ECSIT;MRPL34;MRPL32;MRPL33;MRPL4;LGALS3;AIFM1;TIMM17A;EMD;TMEM14C;RSAD2;NDUFC2;MRPS6;MRPL43;MRPS5;MFSD10;HADHA;COX7A2L;MRPL51;IFI27;UQCRC1;YME1L1;TMEM126B;UQCRC2;SLC25A5;SLC25A11;SMIM20;NDUFB9;STOML2;NDUFB7;NDUFB10;MRPS36;NDUFB11;IFI6;TIMM13;NDUFB1;MRPL14;MRPL13;MRPL54;MRPL11;MRPL20;UCP2;CYC1;NDUFV3;CBX3;MRPL27;MRPL28;COQ7;MRPL22;COQ2;NDUFAF3;CDS2
