Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	115/485	4.627601e-33	1.880657e-29	0	0	4.518387e+00	3.364087e+02	CDA;TMEM179B;GMFG;PYCARD;STK10;PSMD6;FTH1;TBC1D10C;COTL1;OSTF1;CD300A;SLC11A1;PRKCD;HLA-B;ADAM10;CYBB;CYBA;DOK3;TYROBP;BIN2;CSNK2B;FTL;CFD;RAB5C;PSMD11;STXBP3;BRI3;COPB1;STXBP2;C5AR1;CFP;IQGAP2;PLAC8;SDCBP;DPP7;PSAP;LTA4H;ATP6V1D;S100A11;VAT1;HSPA8;PA2G4;ARPC5;PPBP;IGF2R;PTPRC;TOLLIP;CYSTM1;SERPINA1;SIGLEC9;HSP90AB1;SLC44A2;GDI2;LPCAT1;TCIRG1;ITGAL;CTSS;SIRPB1;GLIPR1;FCGR3B;ACTR1B;SNAP29;CTSD;CTSC;CTSB;CAP1;CD53;HSP90AA1;DBNL;FCER1G;ANXA2;SYK;RNASET2;GAA;TUBB;ATP6AP2;RHOG;PLAUR;KCNAB2;TNFRSF1B;SERPINB6;FGR;NPC2;PLEKHO2;CD47;VAMP2;CD44;CSTB;ASAH1;PDXK;ROCK1;MVP;PTAFR;FGL2;RETN;LILRA2;LILRA3;CST3;PSMB7;RAB24;MAPK1;LAIR1;PTGES2;CMTM6;LILRB2;LILRB3;CPPED1;TSPAN14;VAPA;P2RX1;PSMC2;RAB18;LAMTOR2;PTPN6;CD68
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	113/481	4.187596e-32	8.509196e-29	0	0	4.457327e+00	3.220446e+02	CDA;TMEM179B;GMFG;PYCARD;STK10;PSMD6;FTH1;TBC1D10C;COTL1;OSTF1;CD300A;SLC11A1;PRKCD;HLA-B;ADAM10;CYBB;CYBA;DOK3;TYROBP;BIN2;CSNK2B;FTL;CFD;RAB5C;PSMD11;STXBP3;BRI3;COPB1;STXBP2;C5AR1;CFP;IQGAP2;PLAC8;SDCBP;DPP7;PSAP;LTA4H;ATP6V1D;S100A11;VAT1;HSPA8;PA2G4;ARPC5;PPBP;IGF2R;PTPRC;TOLLIP;CYSTM1;SERPINA1;SIGLEC9;HSP90AB1;SLC44A2;GDI2;LPCAT1;TCIRG1;ITGAL;CTSS;SIRPB1;GLIPR1;FCGR3B;ACTR1B;SNAP29;CTSD;CTSC;CTSB;CAP1;CD53;HSP90AA1;DBNL;FCER1G;ANXA2;RNASET2;GAA;TUBB;ATP6AP2;RHOG;PLAUR;KCNAB2;TNFRSF1B;SERPINB6;FGR;NPC2;PLEKHO2;CD47;VAMP2;CD44;CSTB;ASAH1;PDXK;ROCK1;MVP;PTAFR;FGL2;RETN;LILRA3;CST3;PSMB7;RAB24;MAPK1;LAIR1;PTGES2;CMTM6;LILRB2;LILRB3;CPPED1;TSPAN14;VAPA;P2RX1;PSMC2;RAB18;LAMTOR2;PTPN6;CD68
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	113/488	1.691416e-31	2.291305e-28	0	0	4.372447e+00	3.098079e+02	CDA;TMEM179B;GMFG;PYCARD;STK10;PSMD6;FTH1;TBC1D10C;COTL1;OSTF1;CD300A;SLC11A1;PRKCD;HLA-B;ADAM10;CYBB;CYBA;DOK3;TYROBP;BIN2;CSNK2B;FTL;CFD;RAB5C;PSMD11;STXBP3;BRI3;COPB1;STXBP2;C5AR1;CFP;IQGAP2;PLAC8;SDCBP;DPP7;PSAP;LTA4H;ATP6V1D;S100A11;VAT1;HSPA8;PA2G4;ARPC5;PPBP;IGF2R;PTPRC;TOLLIP;CYSTM1;SERPINA1;SIGLEC9;HSP90AB1;SLC44A2;GDI2;LPCAT1;TCIRG1;ITGAL;CTSS;SIRPB1;GLIPR1;FCGR3B;ACTR1B;SNAP29;CTSD;CTSC;CTSB;CAP1;CD53;HSP90AA1;DBNL;FCER1G;ANXA2;RNASET2;GAA;TUBB;ATP6AP2;RHOG;PLAUR;KCNAB2;TNFRSF1B;SERPINB6;FGR;NPC2;PLEKHO2;CD47;VAMP2;CD44;CSTB;ASAH1;PDXK;ROCK1;MVP;PTAFR;FGL2;RETN;LILRA3;CST3;PSMB7;RAB24;MAPK1;LAIR1;PTGES2;CMTM6;LILRB2;LILRB3;CPPED1;TSPAN14;VAPA;P2RX1;PSMC2;RAB18;LAMTOR2;PTPN6;CD68
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	24/70	1.557761e-11	1.582685e-08	0	0	7.197831e+00	1.791194e+02	COX8A;NDUFB7;NDUFA6;NDUFB6;NDUFA5;NDUFA12;NDUFB5;NDUFA4;NDUFA3;NDUFA1;NDUFC1;UQCR10;COX5B;COX7C;COX5A;UQCRH;COX6B1;SDHAF2;UQCRQ;NDUFAB1;NDUFS3;UQCRFS1;NDUFS2;NDUFV2
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	24/71	2.201440e-11	1.789330e-08	0	0	7.044306e+00	1.728625e+02	COX8A;NDUFB7;NDUFA6;NDUFB6;NDUFA5;NDUFA12;NDUFB5;NDUFA4;NDUFA3;NDUFA1;NDUFC1;UQCR10;COX5B;COX7C;COX5A;UQCRH;COX6B1;SDHAF2;UQCRQ;NDUFAB1;NDUFS3;UQCRFS1;NDUFS2;NDUFV2
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway (GO:0038094)	24/72	3.089202e-11	2.092419e-08	0	0	6.897179e+00	1.669153e+02	CYFIP2;ACTR3;LYN;HSP90AA1;HSP90AB1;FCER1G;SYK;WIPF1;ARPC1B;ARPC1A;PRKCD;LIMK1;BRK1;CD3G;ARPC4;ARPC5;ACTB;FGR;HCK;FCGR3A;ARPC3;MAPK1;FYN;MYO1G
GO_Biological_Process_2021	Fc receptor mediated stimulatory signaling pathway (GO:0002431)	24/74	5.961280e-11	3.460949e-08	0	0	6.620579e+00	1.558693e+02	CYFIP2;ACTR3;LYN;HSP90AA1;HSP90AB1;FCER1G;SYK;WIPF1;ARPC1B;ARPC1A;PRKCD;LIMK1;BRK1;CD3G;ARPC4;ARPC5;ACTB;FGR;HCK;FCGR3A;ARPC3;MAPK1;FYN;MYO1G
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	87/621	1.249739e-10	6.348674e-08	0	0	2.295998e+00	5.235546e+01	IFITM3;CD86;CDKN1A;IFITM1;SPI1;IFITM2;CCL4L1;SLA;ADAR;IFI35;IFI30;IKBKB;PYCARD;PSMD6;MT2A;TRIM5;TMSB4X;CFL1;CASP1;AKT1;TRIM25;TRIM26;TIMP1;HLA-DPA1;IFNAR2;HSP90AA1;JAGN1;FCER1G;ANXA2;CISH;SYK;IFNGR2;PRKCD;HLA-B;TNFRSF1B;HLA-F;RBX1;HCK;PSMA3;OAS1;CSNK2B;IRF2;PSME1;IRF7;CDIP1;PSME2;LTB;BIRC2;CD44;IRF9;PSMD11;PTAFR;IFI6;CSF2RB;PSMA7;RELA;PSMB7;IRAK1;PSMB3;UBC;HMOX1;TNFRSF14;CSK;FYN;IL12RB1;CD300LF;MAP3K3;HSPA8;TGFB1;IL10RA;STAT2;STAT3;MSN;ISG15;PPBP;LILRB2;SOD2;PSMB9;SOD1;PSMC4;TOLLIP;PSMC2;PTPN6;XAF1;HLA-DRB1;MYD88;PF4
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	23/71	1.532654e-10	6.920786e-08	0	0	6.604893e+00	1.492630e+02	CYFIP2;ACTR3;LYN;HSP90AA1;HSP90AB1;SYK;WIPF1;ARPC1B;ARPC1A;PRKCD;LIMK1;BRK1;CD3G;ARPC4;ARPC5;ACTB;FGR;HCK;FCGR3A;ARPC3;MAPK1;FYN;MYO1G
GO_Biological_Process_2021	regulation of mRNA stability (GO:0043488)	34/146	1.964077e-10	7.982010e-08	0	0	4.204362e+00	9.397098e+01	PSMD11;SET;ANP32A;ROCK1;YBX1;ELAVL1;PSMA7;PSMB7;PSMD6;LARP1;PSMB3;KHSRP;UBC;EXOSC8;AKT1;TNPO1;EXOSC3;NUP214;HSPA8;SLC11A1;METTL3;PRKCD;CIRBP;PUM2;PSMB9;PSMA3;THRAP3;PSMC4;PSMC2;SERBP1;PSME1;PSME2;PABPC1;DCP2
