Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	181/1406	2.870398e-17	2.109743e-14	0	0	2.160949e+00	8.230947e+01	SRP19;RTCA;NUDT1;RPL8;RRP9;THG1L;LSM10;PPP1CC;LGALS1;RPS19;KHSRP;MAGOH;CWC22;TRIM25;ARL6IP4;UBAP2L;DENR;NUDT16;SNRPD3;SLC16A3;CHCHD1;EIF2A;DDX17;DDX18;PNISR;METTL3;CIRBP;ANXA11;IMP4;TRNT1;ZCRB1;POLRMT;CDC40;FAM133B;ZC3H11A;NCL;RPP21;SNRPG;CCDC86;S100A4;ERH;SNRPF;SRSF6;PFN1;EIF1B;DAP3;ZCCHC8;SLBP;ANP32A;DDX1;CSTF2;ZCCHC9;TWF2;RTF1;CORO1A;SAMSN1;MRPL10;RTN4;GTF2E2;MTDH;HELZ2;EMG1;LARP1;G3BP1;UBC;G3BP2;GAR1;LTA4H;MAP4;NLRP1;TRAP1;HSPA8;UBE2I;APOBEC3G;LSM1;MSN;PA2G4;TBCA;MRPL23;EIF2S2;LSM4;EIF2S1;MRPL21;LSM3;EIF1;PUM2;AIMP1;HNRNPL;MOV10;LSM6;FUBP1;UBE2O;MPHOSPH10;PIN4;NOL12;LSM14A;APOBEC3A;EIF4G2;RPS23;DDX3Y;MRPS15;HSP90AB1;DDX47;CELF2;MRPS11;GDI2;ADK;ADAR;DDX41;YBX1;AATF;ELAVL1;SYNE1;IFIH1;DUSP11;SYNCRIP;TUBA1B;MRPL40;TMSB4X;DHX15;NELFCD;LRRFIP1;TNPO1;YWHAG;PELP1;LRRC47;HSP90AA1;MRPS26;DDX59;ANXA2;NCBP2;DDX56;DDX52;DDX50;TSN;MRPL44;HADHB;NEMF;OAS1;NOA1;THRAP3;FRG1;RBMS1;ARHGEF1;HNRNPH2;PABPC1;EIF4E2;NSRP1;DCP2;DDX28;CSTB;SF3B2;STAU1;LRP1;AHNAK;RPL12;SRRT;DDX23;U2AF1;ADD1;EIF4H;SAP18;RBBP6;POLR2G;ZNF622;EXOSC3;DCAF13;UTP6;TRMT10C;STAT3;RSRC2;NAP1L1;KTN1;EIF3I;SERBP1;EIF3G;ZYX;PRPF31;SLIRP;RAN;EIF3B
GO_Molecular_Function_2021	oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	21/58	8.883075e-11	3.264530e-08	0	0	7.816456e+00	1.809063e+02	COX8A;NDUFB7;NDUFA6;NDUFB6;NDUFA5;NDUFA12;NDUFB5;NDUFA4;NDUFA3;NDUFA1;NDUFC1;UQCR10;COX5B;COX5A;UQCRH;COX6B1;UQCRQ;NDUFS3;UQCRFS1;NDUFS2;NDUFV2
GO_Molecular_Function_2021	NADH dehydrogenase (quinone) activity (GO:0050136)	13/35	2.475338e-07	4.548434e-05	0	0	8.096499e+00	1.231617e+02	NDUFB7;NDUFA6;NDUFB6;NDUFA5;NDUFA12;NDUFB5;NDUFA4;NDUFA3;NDUFA1;NDUFC1;NDUFS3;NDUFS2;NDUFV2
GO_Molecular_Function_2021	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	13/35	2.475338e-07	4.548434e-05	0	0	8.096499e+00	1.231617e+02	NDUFB7;NDUFA6;NDUFB6;NDUFA5;NDUFA12;NDUFB5;NDUFA4;NDUFA3;NDUFA1;NDUFC1;NDUFS3;NDUFS2;NDUFV2
GO_Molecular_Function_2021	ubiquitin-like protein ligase binding (GO:0044389)	42/282	1.635774e-06	2.404588e-04	0	0	2.421426e+00	3.226161e+01	CDKN1A;UBXN1;HSP90AB1;UBE2D4;DERL1;UBE2L6;ARRB1;BCL10;ARRB2;CLU;GABARAP;RELA;RTN4;TUBA1B;BAG5;UBC;SNX9;TNFRSF14;CKB;RFFL;HSPA8;HSP90AA1;TPI1;UBE2B;DTX3L;ARRDC1;PYHIN1;TUBB;STAT2;LAPTM5;ISG15;PA2G4;TNFRSF1B;RBX1;PER1;RRAGA;PSMA3;HGS;JKAMP;TXNIP;NDUFS2;EIF4E2
GO_Molecular_Function_2021	ubiquitin protein ligase binding (GO:0031625)	39/265	5.094272e-06	6.240483e-04	0	0	2.384188e+00	2.905704e+01	CDKN1A;UBXN1;HSP90AB1;UBE2D4;DERL1;UBE2L6;ARRB1;BCL10;ARRB2;CLU;GABARAP;RELA;RTN4;TUBA1B;BAG5;UBC;SNX9;TNFRSF14;CKB;RFFL;HSPA8;HSP90AA1;TPI1;UBE2B;ARRDC1;PYHIN1;TUBB;LAPTM5;ISG15;PA2G4;TNFRSF1B;RBX1;PER1;RRAGA;PSMA3;JKAMP;TXNIP;NDUFS2;EIF4E2
GO_Molecular_Function_2021	GDP binding (GO:0019003)	15/67	3.745782e-05	3.933071e-03	0	0	3.951881e+00	4.027873e+01	RAB2A;RAB5C;ARL3;GNAI3;RAB11B;MRAS;RRAGC;RRAS;RHEB;RAB18;HRAS;RAB5A;RAB8A;RAN;ARF6
GO_Molecular_Function_2021	guanyl ribonucleotide binding (GO:0032561)	31/214	6.209205e-05	5.704707e-03	0	0	2.331890e+00	2.258877e+01	RAB5C;ARL3;GNAI3;ARL2;THG1L;TUBA1B;TUBA1A;RRAS;NUDT16;HRAS;RAB8A;RAB2A;GCH1;TUBB;RHOG;RHOH;RHOC;RHOB;RAB11B;DNM2;GLUD1;RRAGA;ARL4A;MRAS;RRAGC;RHEB;NOA1;RAB18;RAB5A;RAN;ARF6
GO_Molecular_Function_2021	GTP binding (GO:0005525)	28/189	9.297681e-05	7.593107e-03	0	0	2.391531e+00	2.220097e+01	ARL3;ARL2;THG1L;TUBA1B;TUBA1A;RRAS;NUDT16;HRAS;RAB8A;RAB2A;GCH1;TUBB;RHOG;RHOH;RHOC;DNM2;RHOB;RAB11B;GLUD1;RRAGA;ARL4A;MRAS;RRAGC;RHEB;NOA1;RAB5A;RAN;ARF6
GO_Molecular_Function_2021	protease binding (GO:0002020)	20/118	1.450464e-04	1.011717e-02	0	0	2.799287e+00	2.474138e+01	CSTB;SERPINA1;ANXA2;RHBDD2;RIOK3;DERL1;TYSND1;BFAR;BCL10;SRI;SERPINB6;PYCARD;CST3;RNF139;PSAP;UBC;CHMP3;CARD16;TIMP1;RFFL
GO_Molecular_Function_2021	kinase binding (GO:0019900)	53/461	1.514134e-04	1.011717e-02	0	0	1.795860e+00	1.579548e+01	CDKN1A;HSP90AB1;AP2A1;WDR45;LYST;ELAVL1;ACTB;IKBKB;PPP1CC;UFL1;CCND3;RPS19;TRIM5;CASP1;CHP1;CIR1;TRIM27;IFNAR2;NSF;FBXW5;PRKCD;RHOG;RHOH;ADAM10;RHOC;RHOB;FGR;CKS2;TAX1BP1;HCLS1;SIK1;CARD16;UTRN;MVP;BCL10;RELA;BAG5;IRAK1;RBBP6;RFFL;RAB11FIP2;CDKN2D;TRAP1;TCF7L2;STAT3;MSN;PER1;PTPRC;PIK3IP1;TOLLIP;PTPN6;CALM3;CALM2
GO_Molecular_Function_2021	ubiquitin-like protein conjugating enzyme activity (GO:0061650)	10/38	1.779854e-04	1.090161e-02	0	0	4.881127e+00	4.214272e+01	UBE2I;UBE2D4;UBE2Q1;UBE2B;UBE2D3;UFC1;UBE2O;UBE2L6;BIRC6;UBE2Z
