Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	231/1406	7.914908e-38	5.714564e-35	0	0	3.009984e+00	2.571414e+02	RPL4;POP5;EIF4A1;POP7;RTCB;EIF4A3;NUDT1;HNRNPU;ENO1;RPL8;UBE2L3;LSM10;TIAL1;LGALS3;ALKBH5;ENDOV;LGALS1;PSMD4;SNRPD1;MAGOH;ARL6IP4;RPS11;RPL39;EIF2A;DDX17;MBNL1;RPL23;FAM133B;DYNC1LI1;CLNS1A;SUB1;XRN2;FLYWCH2;KCTD12;PFN1;EZR;EIF1B;ANP32A;RPN1;TWF2;MRPL14;MRPL15;TXN;MRPL11;MTDH;RRS1;BTF3;XRCC6;XRCC5;MRPL27;LARP7;EIF2AK2;UPF3B;MRPL23;MRPL21;BST2;CCT6A;EIF5;SNW1;HNRNPD;SPATS2L;GRB2;DHX29;CALR;HNRNPC;RPS24;MRPS15;MRPS12;CCDC124;GDI2;AATF;MRPL41;TUBA1B;PCF11;C1QBP;SEC61B;CCT3;ANXA2;PRMT1;NBPF10;PRPF40A;MRPL45;MRPS7;GNL2;NME1;HADHB;PSMA1;CSDE1;CANX;FRG1;STRAP;PABPC1;ALDOA;SF3B4;SF3B5;CSTB;GRN;AHNAK;NOC4L;MRPL54;SRP72;RPS2;SRSF11;CCT4;YTHDF3;MDH2;MCRS1;TRMT1;TUBB4B;KTN1;APEX1;SERBP1;HNRNPA2B1;ZYX;SRP19;PARK7;ZFP36;NUDT16;KPNA2;SLC16A3;ZBP1;RPS9;ZCRB1;ILF2;ATXN2L;EBNA1BP2;ILF3;NCL;RPL7L1;SRSF2;SNRPG;NHP2;SRSF3;SRSF4;S100A4;SNRPF;PPIB;SNRPC;SRSF7;PPIA;FKBP3;SNRPA;SRSF9;SNRPB;DAP3;VCP;RBM8A;RPS19BP1;KMT2C;CORO1A;RTN4;HSP90B1;ATXN2;NDUFV3;ZC3H15;FDPS;UBE2I;CPSF6;NONO;LSM1;MSN;EIF2S2;LSM2;DIAPH1;LSM7;SON;LSM6;RCAN3;GRSF1;YWHAE;DDX49;YBX1;YBX3;RBM3;MRPL3;PTBP1;MRPL9;LRRFIP1;ZNF385A;DDX54;SFPQ;PKM;OAS1;THRAP3;RBMS1;LUC7L3;ETF1;TOP1;SLC25A5;EIF4E2;HDAC2;SRSF1;DDX21;SAMHD1;HSD17B10;HSPD1;REPIN1;IFI16;PABPN1;POLR2A;PUF60;TRA2B;BMS1;FAM120A;EIF4H;SAP18;RALY;SMNDC1;HNRNPA0;NOP56;PTPN1;RBM39;HNRNPA3;DUT;SSB;DEK;SSRP1;HSPE1;EIF3L;EIF3I;EIF3H;RBM42;ACIN1;EIF3E;SLIRP;VIM;EIF3D;EIF3A;RPL26L1;RAN;METAP2
GO_Molecular_Function_2021	oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	33/58	8.756464e-24	3.161083e-21	0	0	1.835372e+01	9.744404e+02	NDUFB10;NDUFB5;COX4I1;NDUFB4;NDUFA10;NDUFB3;NDUFB1;UQCR10;COX6A1;COX5B;COX5A;UQCRH;UQCRFS1;NDUFV3;NDUFV2;NDUFV1;COX8A;NDUFA8;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC2;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2
GO_Molecular_Function_2021	NADH dehydrogenase (quinone) activity (GO:0050136)	22/35	1.305352e-17	2.356161e-15	0	0	2.335360e+01	9.079288e+02	NDUFA8;NDUFA6;NDUFB10;NDUFB5;NDUFA4;NDUFB4;NDUFA10;NDUFB3;NDUFA2;NDUFA1;NDUFB1;NDUFC2;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFV3;NDUFV2;NDUFV1
GO_Molecular_Function_2021	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	22/35	1.305352e-17	2.356161e-15	0	0	2.335360e+01	9.079288e+02	NDUFA8;NDUFA6;NDUFB10;NDUFB5;NDUFA4;NDUFB4;NDUFA10;NDUFB3;NDUFA2;NDUFA1;NDUFB1;NDUFC2;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFV3;NDUFV2;NDUFV1
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	60/322	9.940801e-13	1.435452e-10	0	0	3.208378e+00	8.866980e+01	YWHAE;YWHAB;OLA1;ENO1;PARK7;BZW2;PCMT1;ATIC;KIF5B;EFHD2;LRRFIP1;CLIC1;EIF2A;NUDC;ANXA1;ANXA2;ATXN2L;PKM;NUMB;PLIN3;CHMP4B;TAGLN2;EZR;PFN1;TLN1;ALDOA;VCL;CHMP5;AHNAK;TWF2;CAPG;CORO1B;RTN4;PSMB6;LDHA;PUF60;PACSIN2;EIF4H;STX5;SNX9;CCT8;RPS2;PAK2;ABCF3;S100A11;SNX5;ZC3H15;VASP;NOP56;RANBP1;PTPN1;STAT1;PRDX6;KTN1;EHD4;EIF5;SERBP1;EIF3E;DHX29;RAN
GO_Molecular_Function_2021	MHC class II receptor activity (GO:0032395)	8/10	1.899542e-08	2.285782e-06	0	0	5.466471e+01	9.718876e+02	HLA-DRA;HLA-DOA;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Molecular_Function_2021	translation initiation factor activity (GO:0003743)	15/41	3.727305e-08	3.844449e-06	0	0	7.914823e+00	1.353830e+02	EIF4A1;EIF2S2;EIF3M;EIF5;EIF3K;EIF3L;EIF3I;EIF3H;EIF3E;EIF2B1;EIF4E2;EIF1B;EIF3D;EIF3A;EIF2A
GO_Molecular_Function_2021	MHC class II protein complex binding (GO:0023026)	9/17	4.784199e-07	4.317740e-05	0	0	1.538078e+01	2.238331e+02	YWHAE;CD74;CD4;HLA-DMA;HLA-DMB;PKM;HLA-DRA;HLA-DOA;HLA-DRB1
GO_Molecular_Function_2021	proton transmembrane transporter activity (GO:0015078)	13/40	1.460485e-06	1.171634e-04	0	0	6.595374e+00	8.862034e+01	COX8A;NDUFA4;COX4I1;UQCR10;COX5B;COX6A1;COX5A;UQCRH;COX6B1;COX7A2L;UQCRC1;UQCRFS1;ATP6V1F
GO_Molecular_Function_2021	cytochrome-c oxidase activity (GO:0004129)	8/15	1.989286e-06	1.436265e-04	0	0	1.561430e+01	2.049803e+02	COX8A;COX7A2L;NDUFA4;COX4I1;COX5B;COX6A1;COX5A;COX6B1
