Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	platelet degranulation (GO:0002576)	36/125	6.245977e-14	2.569595e-10	0	0	5.617473e+00	1.707951e+02	TOR4A;APP;CD63;SPARC;WDR1;ITGB3;ITGA2B;SERPINE1;STXBP2;PLEK;ENDOD1;F13A1;CLU;THBS1;CYB5R1;TMSB4X;FLNA;TIMP1;LY6G6F;SRGN;TGFB1;ACTN1;RAB27B;PPBP;GTPBP2;SYTL4;TUBA4A;MMRN1;CD9;TAGLN2;MAGED2;TLN1;ALDOA;VCL;FERMT3;PF4
GO_Biological_Process_2021	homotypic cell-cell adhesion (GO:0034109)	21/44	1.355859e-13	2.598825e-10	0	0	1.258377e+01	3.728466e+02	P2RY12;ITGB3;ACTN1;PLEK;HSPB1;ILK;GP1BA;PIK3CB;ACTB;MYL12A;PIK3CG;ACTG1;GNAS;FLNA;MYH9;TLN1;MYL9;CD99;VCL;FERMT3;TJP2
GO_Biological_Process_2021	platelet aggregation (GO:0070527)	19/36	1.895108e-13	2.598825e-10	0	0	1.538583e+01	4.507177e+02	P2RY12;ITGB3;ACTN1;PLEK;HSPB1;ILK;GP1BA;PIK3CB;ACTB;MYL12A;PIK3CG;ACTG1;GNAS;FLNA;MYH9;TLN1;MYL9;VCL;FERMT3
GO_Biological_Process_2021	regulated exocytosis (GO:0045055)	41/180	5.835488e-12	6.001799e-09	0	0	4.100665e+00	1.060722e+02	TOR4A;APP;CD63;SPARC;WDR1;ITGB3;ITGA2B;SERPINE1;STXBP2;PLEK;ENDOD1;F13A1;CLU;THBS1;CYB5R1;TMSB4X;FLNA;TIMP1;LY6G6F;SNCA;SRGN;TGFB1;ACTN1;RAB27B;PPBP;GTPBP2;SYTL4;TUBA4A;RAB10;RAB31;VAMP7;MMRN1;MYH9;CD9;TAGLN2;MAGED2;TLN1;ALDOA;VCL;FERMT3;PF4
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	70/481	1.663653e-09	1.368853e-06	0	0	2.384952e+00	4.821001e+01	PYGB;SLC44A2;SNAP23;FAF2;PTPRJ;PYGL;TCIRG1;HMGB1;ITGAL;SRP14;FTH1;ITGAX;COTL1;CAPN1;GUSB;CEP290;B2M;CTSD;KCMF1;DBNL;PRKCD;HLA-C;ANO6;RHOF;DYNLL1;RHOA;CEACAM3;VAMP7;RAB31;PKM;RAB37;TMBIM1;ALDOA;VCL;FTL;CD63;ASAH1;VCP;CANT1;STXBP2;RAP1B;CST3;PGRMC1;CYB5R3;ORMDL3;STOM;ATP6V1D;CTSA;GSN;TRAPPC1;SIGLEC14;JUP;CMTM6;ARPC5;PPBP;TUBB4B;PRDX6;SVIP;DERA;RAB10;DIAPH1;VAPA;TOLLIP;P2RX1;LCN2;LAMTOR1;YPEL5;CD68;ACTR10;GLA
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	70/485	2.376077e-09	1.629197e-06	0	0	2.361446e+00	4.689315e+01	PYGB;SLC44A2;SNAP23;FAF2;PTPRJ;PYGL;TCIRG1;HMGB1;ITGAL;SRP14;FTH1;ITGAX;COTL1;CAPN1;GUSB;CEP290;B2M;CTSD;KCMF1;DBNL;PRKCD;HLA-C;ANO6;RHOF;DYNLL1;RHOA;CEACAM3;VAMP7;RAB31;PKM;RAB37;TMBIM1;ALDOA;VCL;FTL;CD63;ASAH1;VCP;CANT1;STXBP2;RAP1B;CST3;PGRMC1;CYB5R3;ORMDL3;STOM;ATP6V1D;CTSA;GSN;TRAPPC1;SIGLEC14;JUP;CMTM6;ARPC5;PPBP;TUBB4B;PRDX6;SVIP;DERA;RAB10;DIAPH1;VAPA;TOLLIP;P2RX1;LCN2;LAMTOR1;YPEL5;CD68;ACTR10;GLA
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	70/488	3.092933e-09	1.817761e-06	0	0	2.344111e+00	4.593086e+01	PYGB;SLC44A2;SNAP23;FAF2;PTPRJ;PYGL;TCIRG1;HMGB1;ITGAL;SRP14;FTH1;ITGAX;COTL1;CAPN1;GUSB;CEP290;B2M;CTSD;KCMF1;DBNL;PRKCD;HLA-C;ANO6;RHOF;DYNLL1;RHOA;CEACAM3;VAMP7;RAB31;PKM;RAB37;TMBIM1;ALDOA;VCL;FTL;CD63;ASAH1;VCP;CANT1;STXBP2;RAP1B;CST3;PGRMC1;CYB5R3;ORMDL3;STOM;ATP6V1D;CTSA;GSN;TRAPPC1;SIGLEC14;JUP;CMTM6;ARPC5;PPBP;TUBB4B;PRDX6;SVIP;DERA;RAB10;DIAPH1;VAPA;TOLLIP;P2RX1;LCN2;LAMTOR1;YPEL5;CD68;ACTR10;GLA
GO_Biological_Process_2021	protein transport (GO:0015031)	57/369	6.343090e-09	3.261934e-06	0	0	2.546709e+00	4.807141e+01	ARF3;ARF1;AP2A1;TCIRG1;CLU;RPGR;ARL6IP5;TMED3;TLK1;ATP6V1E1;TBC1D22A;ARL5A;CEP290;RAB8A;YWHAH;PRKCB;TANGO2;RUFY1;RAB32;RAB31;CTTN;TBC1D5;ATP6V1B2;TBC1D25;MYH9;RAB38;BLZF1;COPA;NECAB3;TBC1D9B;STXBP2;SEL1L;NAPG;STX11;HDAC6;GGA3;KIF3B;SCFD2;TBC1D13;SNX9;STX4;TBC1D17;ATP6V1D;RAB6B;RILP;TBC1D15;SNX6;CTSA;RABGAP1L;CMTM6;RABL2A;TVP23B;ARCN1;RAB10;TBCK;RAB13;VIPAS39
GO_Biological_Process_2021	membrane organization (GO:0061024)	42/242	2.207688e-08	1.009159e-05	0	0	2.912032e+00	5.133543e+01	SCARB2;HIP1;SNAP23;CLTA;AP2A1;ARRB1;STON2;PIK3C2A;ATP2C1;ACTB;NAPG;STX11;ACTG1;CORO1C;SNX3;UBB;OPA1;UBC;AP2S1;PACSIN2;SNX9;LDLRAP1;EMD;AP2M1;AGFG1;TOR1A;STAM;EPS15L1;ARPC5;TOR1B;DNM3;RABIF;DAB2;VAMP7;CTTN;ARPC2;NPC1;VAPA;TRIP10;CHMP4B;GRB2;CHMP6
GO_Biological_Process_2021	actin filament organization (GO:0007015)	29/152	4.293519e-07	1.766354e-04	0	0	3.251269e+00	4.766682e+01	HIP1;FHOD1;RHOBTB1;TRIOBP;CORO1C;SAMD14;FLNA;GAS2L1;SVIL;DMTN;GSN;TPM4;TPM3;ACTN1;TMOD3;TPM1;DSTN;MYO5A;RHOF;RHOC;RHOA;VIL1;MARCKS;MYO1C;ELMO1;CORO7;ALDOA;MCU;DBN1
GO_Biological_Process_2021	cellular protein localization (GO:0034613)	47/329	1.345985e-06	5.033985e-04	0	0	2.309542e+00	3.122127e+01	ARF3;CD63;ARF1;COPA;TBC1D9B;STXBP2;AP2A1;NAPG;STX11;BICD2;HDAC6;RPGR;HHEX;GGA3;WNT11;SCFD2;EPB41L3;TMED3;TBC1D13;FLNA;TLK1;SNX9;STX4;TBC1D17;TBC1D22A;RAB6B;ARL5A;TBC1D15;SNX6;JAM3;YWHAH;CTSA;RABGAP1L;RABL2A;WIPI1;ARCN1;RAB32;TBCK;RAB31;CTTN;TBC1D5;TBC1D25;RAB38;ESAM;VIPAS39;LAMTOR1;VCL
GO_Biological_Process_2021	regulation of focal adhesion assembly (GO:0051893)	15/54	2.179643e-06	7.472543e-04	0	0	5.272861e+00	6.873886e+01	DMTN;PTEN;PTPRJ;ARHGAP6;THBS1;RHOA;PTK2;ACTG1;CORO1C;SLC9A1;DUSP22;PTPRA;VCL;CLASP1;LIMS1
GO_Biological_Process_2021	intracellular protein transport (GO:0006886)	47/336	2.440301e-06	7.722613e-04	0	0	2.252742e+00	2.911306e+01	ARF3;ARF1;C2CD5;COPA;TBC1D9B;STXBP2;AP2A1;PTTG1IP;NAPG;STX11;HDAC6;RPGR;GGA3;SCFD2;NUP62;TMED3;TBC1D13;TLK1;SNX9;STX4;E2F3;TBC1D17;TBC1D22A;RAB6B;ARL5A;TBC1D15;SNX6;YWHAH;CTSA;RABGAP1L;TGFB1;STRADB;RABL2A;XPO7;NUTF2;STAM;ARCN1;RAB32;TBCK;RAB31;MYO1C;CTTN;TBC1D5;TBC1D25;RAB38;VIPAS39;VPS28
GO_Biological_Process_2021	Ras protein signal transduction (GO:0007265)	26/142	3.718390e-06	1.092675e-03	0	0	3.085104e+00	3.857065e+01	CDKN1A;RALB;GDI1;BRK1;PARK7;RASGRP2;ARHGAP6;RASGRP3;RAP1B;GNA13;GRAP2;ARHGDIB;CFL1;CTNNAL1;DBNL;SETDB1;CDKN2A;RHOA;CDK2;GNB1;ELMO1;RAPGEF2;GRB2;TAX1BP3;SOS1;LAT
